Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.457827e+01,-1.417539e+01,-1.431900e+01,-1.437116e+01,-1.445297e+01,-1.434258e+01,-1.422955e+01,-1.404661e+01
1.250000e+00,-1.535677e+01,-1.498527e+01,-1.514533e+01,-1.524998e+01,-1.549175e+01,-1.517963e+01,-1.508793e+01,-1.505377e+01
1.750000e+00,-1.586377e+01,-1.558803e+01,-1.576191e+01,-1.585014e+01,-1.607951e+01,-1.578989e+01,-1.568803e+01,-1.564477e+01
2.250000e+00,-1.636918e+01,-1.612099e+01,-1.619502e+01,-1.631444e+01,-1.643573e+01,-1.629393e+01,-1.616235e+01,-1.605073e+01
2.750000e+00,-1.677268e+01,-1.653178e+01,-1.660150e+01,-1.663994e+01,-1.681180e+01,-1.670165e+01,-1.647606e+01,-1.643714e+01
3.250000e+00,-1.710661e+01,-1.687071e+01,-1.695050e+01,-1.696957e+01,-1.711718e+01,-1.704221e+01,-1.681606e+01,-1.672941e+01
3.750000e+00,-1.742441e+01,-1.717722e+01,-1.722736e+01,-1.721706e+01,-1.731868e+01,-1.733674e+01,-1.706495e+01,-1.696874e+01
4.250000e+00,-1.771268e+01,-1.745015e+01,-1.748887e+01,-1.746731e+01,-1.749272e+01,-1.760074e+01,-1.733136e+01,-1.716447e+01
4.750000e+00,-1.798669e+01,-1.769065e+01,-1.771336e+01,-1.767310e+01,-1.768015e+01,-1.782206e+01,-1.754413e+01,-1.735627e+01
5.250000e+00,-1.824509e+01,-1.790614e+01,-1.790177e+01,-1.785125e+01,-1.787208e+01,-1.802299e+01,-1.772060e+01,-1.754661e+01
5.750000e+00,-1.844966e+01,-1.811042e+01,-1.807433e+01,-1.800547e+01,-1.803220e+01,-1.821638e+01,-1.787549e+01,-1.771062e+01
6.250000e+00,-1.862487e+01,-1.827206e+01,-1.822062e+01,-1.815308e+01,-1.816640e+01,-1.837213e+01,-1.802908e+01,-1.783889e+01
6.750000e+00,-1.880019e+01,-1.842134e+01,-1.837178e+01,-1.827181e+01,-1.824833e+01,-1.851821e+01,-1.815611e+01,-1.793025e+01
7.250000e+00,-1.896481e+01,-1.855645e+01,-1.849946e+01,-1.838554e+01,-1.836506e+01,-1.864804e+01,-1.827574e+01,-1.803083e+01
7.750000e+00,-1.910146e+01,-1.867652e+01,-1.861798e+01,-1.848557e+01,-1.846978e+01,-1.876432e+01,-1.837870e+01,-1.812901e+01
8.250000e+00,-1.921579e+01,-1.878502e+01,-1.872440e+01,-1.858388e+01,-1.855390e+01,-1.886812e+01,-1.848464e+01,-1.819576e+01
8.750000e+00,-1.931546e+01,-1.888605e+01,-1.882281e+01,-1.866382e+01,-1.862541e+01,-1.896759e+01,-1.856919e+01,-1.826142e+01
9.250000e+00,-1.940283e+01,-1.897595e+01,-1.890761e+01,-1.872823e+01,-1.868854e+01,-1.905553e+01,-1.863818e+01,-1.830345e+01
9.750000e+00,-1.948080e+01,-1.905666e+01,-1.899204e+01,-1.879259e+01,-1.874530e+01,-1.913926e+01,-1.871056e+01,-1.834393e+01
1.025000e+01,-1.954904e+01,-1.912365e+01,-1.907072e+01,-1.885228e+01,-1.880878e+01,-1.921028e+01,-1.877655e+01,-1.837903e+01
1.075000e+01,-1.960382e+01,-1.918548e+01,-1.913859e+01,-1.891161e+01,-1.885624e+01,-1.927383e+01,-1.883770e+01,-1.842283e+01
1.125000e+01,-1.964173e+01,-1.924072e+01,-1.920705e+01,-1.896029e+01,-1.890184e+01,-1.933698e+01,-1.889024e+01,-1.844756e+01
1.175000e+01,-1.967668e+01,-1.928998e+01,-1.926572e+01,-1.900231e+01,-1.893079e+01,-1.938992e+01,-1.893837e+01,-1.846013e+01
1.225000e+01,-1.970372e+01,-1.933219e+01,-1.932090e+01,-1.905637e+01,-1.896837e+01,-1.943793e+01,-1.899694e+01,-1.848467e+01
1.275000e+01,-1.972176e+01,-1.936760e+01,-1.937610e+01,-1.909411e+01,-1.900676e+01,-1.948284e+01,-1.904038e+01,-1.850096e+01
1.325000e+01,-1.973242e+01,-1.940096e+01,-1.943162e+01,-1.913865e+01,-1.904927e+01,-1.952519e+01,-1.908917e+01,-1.851817e+01
1.375000e+01,-1.974342e+01,-1.942740e+01,-1.947647e+01,-1.917351e+01,-1.908347e+01,-1.956026e+01,-1.912787e+01,-1.853161e+01
1.425000e+01,-1.974076e+01,-1.945188e+01,-1.952048e+01,-1.920994e+01,-1.910746e+01,-1.959294e+01,-1.916795e+01,-1.854489e+01
1.475000e+01,-1.973075e+01,-1.946775e+01,-1.955998e+01,-1.924556e+01,-1.912974e+01,-1.961799e+01,-1.920970e+01,-1.854001e+01
1.525000e+01,-1.971650e+01,-1.947764e+01,-1.959154e+01,-1.927784e+01,-1.916009e+01,-1.963803e+01,-1.924769e+01,-1.853892e+01
1.575000e+01,-1.969360e+01,-1.947961e+01,-1.962522e+01,-1.931023e+01,-1.919635e+01,-1.965214e+01,-1.928456e+01,-1.854914e+01
1.625000e+01,-1.967078e+01,-1.948120e+01,-1.965821e+01,-1.934449e+01,-1.922346e+01,-1.966596e+01,-1.932388e+01,-1.854943e+01
1.675000e+01,-1.964230e+01,-1.947689e+01,-1.968027e+01,-1.936532e+01,-1.925457e+01,-1.967233e+01,-1.934727e+01,-1.854831e+01
1.725000e+01,-1.961066e+01,-1.947129e+01,-1.969762e+01,-1.938435e+01,-1.928302e+01,-1.967697e+01,-1.936925e+01,-1.854506e+01
1.775000e+01,-1.956858e+01,-1.945984e+01,-1.971927e+01,-1.940537e+01,-1.930965e+01,-1.967885e+01,-1.939493e+01,-1.853099e+01
1.825000e+01,-1.952993e+01,-1.944457e+01,-1.973685e+01,-1.942456e+01,-1.934079e+01,-1.967484e+01,-1.941804e+01,-1.852511e+01
1.875000e+01,-1.949523e+01,-1.942714e+01,-1.974995e+01,-1.943789e+01,-1.937277e+01,-1.966706e+01,-1.943397e+01,-1.852589e+01
1.925000e+01,-1.945426e+01,-1.940778e+01,-1.976022e+01,-1.945307e+01,-1.939943e+01,-1.965816e+01,-1.945278e+01,-1.851232e+01
1.975000e+01,-1.940890e+01,-1.938914e+01,-1.976721e+01,-1.946205e+01,-1.941736e+01,-1.964967e+01,-1.946320e+01,-1.850019e+01
2.025000e+01,-1.936073e+01,-1.936767e+01,-1.977487e+01,-1.946864e+01,-1.944447e+01,-1.963913e+01,-1.946920e+01,-1.850195e+01
