Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.051565e+01,-1.172040e+01,-1.249977e+01,-1.257267e+01,-1.280859e+01,-1.214809e+01,-1.232871e+01,-1.248968e+01
1.250000e+00,-1.197141e+01,-1.299291e+01,-1.335716e+01,-1.363713e+01,-1.390880e+01,-1.323820e+01,-1.344241e+01,-1.345446e+01
1.750000e+00,-1.288441e+01,-1.381453e+01,-1.427879e+01,-1.446612e+01,-1.449819e+01,-1.410235e+01,-1.434045e+01,-1.404605e+01
2.250000e+00,-1.399069e+01,-1.457694e+01,-1.497952e+01,-1.516745e+01,-1.532169e+01,-1.483079e+01,-1.500825e+01,-1.483725e+01
2.750000e+00,-1.472730e+01,-1.521351e+01,-1.557122e+01,-1.569203e+01,-1.586166e+01,-1.543497e+01,-1.554746e+01,-1.534121e+01
3.250000e+00,-1.545946e+01,-1.583029e+01,-1.607575e+01,-1.619393e+01,-1.643585e+01,-1.601980e+01,-1.604671e+01,-1.586266e+01
3.750000e+00,-1.612046e+01,-1.633672e+01,-1.655568e+01,-1.668160e+01,-1.691336e+01,-1.649580e+01,-1.655106e+01,-1.631931e+01
4.250000e+00,-1.672319e+01,-1.681010e+01,-1.696206e+01,-1.705320e+01,-1.731542e+01,-1.695160e+01,-1.691987e+01,-1.671212e+01
4.750000e+00,-1.725602e+01,-1.718707e+01,-1.728125e+01,-1.738983e+01,-1.764607e+01,-1.730027e+01,-1.726210e+01,-1.704648e+01
5.250000e+00,-1.770194e+01,-1.750071e+01,-1.755622e+01,-1.765788e+01,-1.790890e+01,-1.758849e+01,-1.753865e+01,-1.729235e+01
5.750000e+00,-1.804884e+01,-1.775990e+01,-1.779533e+01,-1.789772e+01,-1.810336e+01,-1.783414e+01,-1.778830e+01,-1.749472e+01
6.250000e+00,-1.836648e+01,-1.799209e+01,-1.799536e+01,-1.807877e+01,-1.825882e+01,-1.804968e+01,-1.797753e+01,-1.765585e+01
6.750000e+00,-1.862867e+01,-1.819145e+01,-1.816613e+01,-1.824014e+01,-1.838105e+01,-1.823665e+01,-1.814246e+01,-1.781453e+01
7.250000e+00,-1.884057e+01,-1.835656e+01,-1.831991e+01,-1.837639e+01,-1.849412e+01,-1.839129e+01,-1.828325e+01,-1.794660e+01
7.750000e+00,-1.900827e+01,-1.849715e+01,-1.844429e+01,-1.848778e+01,-1.859532e+01,-1.852602e+01,-1.839766e+01,-1.804305e+01
8.250000e+00,-1.915111e+01,-1.863089e+01,-1.855537e+01,-1.858262e+01,-1.867351e+01,-1.865156e+01,-1.849598e+01,-1.812680e+01
8.750000e+00,-1.926844e+01,-1.874162e+01,-1.866239e+01,-1.867243e+01,-1.874923e+01,-1.875874e+01,-1.858961e+01,-1.820493e+01
9.250000e+00,-1.937764e+01,-1.884155e+01,-1.874488e+01,-1.875128e+01,-1.882665e+01,-1.885204e+01,-1.867112e+01,-1.827839e+01
9.750000e+00,-1.945866e+01,-1.893320e+01,-1.882957e+01,-1.881806e+01,-1.889469e+01,-1.893907e+01,-1.874323e+01,-1.833122e+01
1.025000e+01,-1.952430e+01,-1.901423e+01,-1.889989e+01,-1.887941e+01,-1.895554e+01,-1.901950e+01,-1.880881e+01,-1.836917e+01
1.075000e+01,-1.957517e+01,-1.908010e+01,-1.896921e+01,-1.893695e+01,-1.903600e+01,-1.908593e+01,-1.886996e+01,-1.841847e+01
1.125000e+01,-1.961931e+01,-1.913857e+01,-1.903439e+01,-1.898637e+01,-1.909288e+01,-1.914481e+01,-1.891984e+01,-1.846309e+01
1.175000e+01,-1.965674e+01,-1.919786e+01,-1.909141e+01,-1.903416e+01,-1.914979e+01,-1.920323e+01,-1.897239e+01,-1.850286e+01
