Time,gZ,rZ,iZ
7.500000e-01,-1.337934e+01,-1.343019e+01,-1.340583e+01
1.250000e+00,-1.412186e+01,-1.428985e+01,-1.425506e+01
1.750000e+00,-1.471953e+01,-1.481282e+01,-1.481844e+01
2.250000e+00,-1.520167e+01,-1.535546e+01,-1.526056e+01
2.750000e+00,-1.565093e+01,-1.578890e+01,-1.569668e+01
3.250000e+00,-1.611518e+01,-1.620807e+01,-1.612764e+01
3.750000e+00,-1.656949e+01,-1.660433e+01,-1.657486e+01
4.250000e+00,-1.698608e+01,-1.695756e+01,-1.687833e+01
4.750000e+00,-1.734224e+01,-1.727287e+01,-1.717935e+01
5.250000e+00,-1.763977e+01,-1.752274e+01,-1.742209e+01
5.750000e+00,-1.790362e+01,-1.773124e+01,-1.762153e+01
6.250000e+00,-1.812764e+01,-1.792625e+01,-1.775356e+01
6.750000e+00,-1.830934e+01,-1.807269e+01,-1.786888e+01
7.250000e+00,-1.847515e+01,-1.819701e+01,-1.799048e+01
7.750000e+00,-1.861220e+01,-1.830259e+01,-1.807570e+01
8.250000e+00,-1.873705e+01,-1.840060e+01,-1.815079e+01
8.750000e+00,-1.884877e+01,-1.848374e+01,-1.822690e+01
9.250000e+00,-1.894353e+01,-1.855488e+01,-1.828987e+01
9.750000e+00,-1.902592e+01,-1.863263e+01,-1.834019e+01
1.025000e+01,-1.910432e+01,-1.868883e+01,-1.840221e+01
1.075000e+01,-1.917765e+01,-1.874683e+01,-1.844457e+01
1.125000e+01,-1.924333e+01,-1.879587e+01,-1.849446e+01
1.175000e+01,-1.930188e+01,-1.884189e+01,-1.853959e+01
1.225000e+01,-1.935690e+01,-1.888983e+01,-1.857724e+01
1.275000e+01,-1.940911e+01,-1.892858e+01,-1.861520e+01
1.325000e+01,-1.945838e+01,-1.897074e+01,-1.865131e+01
1.375000e+01,-1.949908e+01,-1.900733e+01,-1.868750e+01
1.425000e+01,-1.953803e+01,-1.904361e+01,-1.873295e+01
1.475000e+01,-1.957104e+01,-1.907386e+01,-1.877313e+01
1.525000e+01,-1.959839e+01,-1.909573e+01,-1.882248e+01
1.575000e+01,-1.962677e+01,-1.912215e+01,-1.888245e+01
1.625000e+01,-1.965034e+01,-1.915244e+01,-1.893673e+01
1.675000e+01,-1.967178e+01,-1.917451e+01,-1.899546e+01
1.725000e+01,-1.968833e+01,-1.919238e+01,-1.905476e+01
1.775000e+01,-1.970293e+01,-1.921142e+01,-1.911251e+01
1.825000e+01,-1.971475e+01,-1.923027e+01,-1.916235e+01
1.875000e+01,-1.972108e+01,-1.924402e+01,-1.919781e+01
1.925000e+01,-1.972541e+01,-1.925444e+01,-1.923395e+01
1.975000e+01,-1.973139e+01,-1.925968e+01,-1.926652e+01
2.025000e+01,-1.973295e+01,-1.926723e+01,-1.928638e+01
2.075000e+01,-1.972965e+01,-1.927866e+01,-1.930127e+01
