Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.408182e+01,-1.368152e+01,-1.392354e+01,-1.403151e+01,-1.408770e+01,-1.386598e+01,-1.385943e+01,-1.376046e+01
1.250000e+00,-1.475758e+01,-1.444871e+01,-1.480293e+01,-1.493936e+01,-1.516850e+01,-1.470887e+01,-1.477045e+01,-1.472976e+01
1.750000e+00,-1.521222e+01,-1.505973e+01,-1.545158e+01,-1.554796e+01,-1.576863e+01,-1.532545e+01,-1.538534e+01,-1.531323e+01
2.250000e+00,-1.564199e+01,-1.553150e+01,-1.595412e+01,-1.606996e+01,-1.630183e+01,-1.579984e+01,-1.591530e+01,-1.583420e+01
2.750000e+00,-1.603460e+01,-1.594259e+01,-1.638222e+01,-1.649001e+01,-1.670261e+01,-1.621248e+01,-1.634381e+01,-1.622872e+01
3.250000e+00,-1.637102e+01,-1.631078e+01,-1.670846e+01,-1.682859e+01,-1.704703e+01,-1.656354e+01,-1.667938e+01,-1.657053e+01
3.750000e+00,-1.665291e+01,-1.663484e+01,-1.703394e+01,-1.714387e+01,-1.734543e+01,-1.689051e+01,-1.699893e+01,-1.686840e+01
4.250000e+00,-1.694610e+01,-1.693291e+01,-1.730403e+01,-1.740455e+01,-1.759184e+01,-1.718293e+01,-1.726500e+01,-1.711086e+01
4.750000e+00,-1.723723e+01,-1.720513e+01,-1.754812e+01,-1.763910e+01,-1.783039e+01,-1.743841e+01,-1.750506e+01,-1.733390e+01
5.250000e+00,-1.747193e+01,-1.743988e+01,-1.776005e+01,-1.784303e+01,-1.799742e+01,-1.766011e+01,-1.771687e+01,-1.750469e+01
5.750000e+00,-1.768306e+01,-1.765442e+01,-1.795877e+01,-1.801850e+01,-1.814679e+01,-1.786802e+01,-1.790176e+01,-1.764358e+01
6.250000e+00,-1.788835e+01,-1.784670e+01,-1.812247e+01,-1.817888e+01,-1.830236e+01,-1.804795e+01,-1.806653e+01,-1.778698e+01
6.750000e+00,-1.806770e+01,-1.801988e+01,-1.827075e+01,-1.831467e+01,-1.843582e+01,-1.821210e+01,-1.820784e+01,-1.790973e+01
7.250000e+00,-1.822840e+01,-1.817600e+01,-1.840438e+01,-1.844862e+01,-1.855536e+01,-1.836060e+01,-1.834711e+01,-1.802157e+01
7.750000e+00,-1.835616e+01,-1.831007e+01,-1.853313e+01,-1.855470e+01,-1.866481e+01,-1.849223e+01,-1.845605e+01,-1.811531e+01
8.250000e+00,-1.848194e+01,-1.842939e+01,-1.864956e+01,-1.865213e+01,-1.876540e+01,-1.860770e+01,-1.855852e+01,-1.818871e+01
8.750000e+00,-1.858376e+01,-1.853479e+01,-1.875056e+01,-1.873648e+01,-1.885738e+01,-1.870959e+01,-1.865012e+01,-1.825799e+01
9.250000e+00,-1.867022e+01,-1.862974e+01,-1.884424e+01,-1.881936e+01,-1.893329e+01,-1.880513e+01,-1.873501e+01,-1.832124e+01
9.750000e+00,-1.874795e+01,-1.871230e+01,-1.893173e+01,-1.889435e+01,-1.900410e+01,-1.889055e+01,-1.881521e+01,-1.837688e+01
1.025000e+01,-1.881091e+01,-1.878601e+01,-1.900205e+01,-1.895506e+01,-1.906913e+01,-1.896322e+01,-1.888019e+01,-1.841974e+01
1.075000e+01,-1.885814e+01,-1.884473e+01,-1.907340e+01,-1.901980e+01,-1.913634e+01,-1.902732e+01,-1.894956e+01,-1.847231e+01
1.125000e+01,-1.889737e+01,-1.889919e+01,-1.913333e+01,-1.907630e+01,-1.920059e+01,-1.908248e+01,-1.900832e+01,-1.851113e+01
