Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-7.786563e+00,-1.017070e+01,-1.103934e+01,-1.167714e+01,-1.229228e+01,-1.058085e+01,-1.139815e+01,-1.182137e+01
1.250000e+00,-9.821211e+00,-1.170671e+01,-1.240295e+01,-1.302094e+01,-1.343205e+01,-1.206886e+01,-1.278245e+01,-1.301391e+01
1.750000e+00,-1.147709e+01,-1.296847e+01,-1.366190e+01,-1.397364e+01,-1.414997e+01,-1.329937e+01,-1.380853e+01,-1.367091e+01
2.250000e+00,-1.279649e+01,-1.385900e+01,-1.446123e+01,-1.468663e+01,-1.482249e+01,-1.417301e+01,-1.451964e+01,-1.441180e+01
2.750000e+00,-1.386485e+01,-1.463981e+01,-1.508353e+01,-1.533364e+01,-1.538091e+01,-1.489731e+01,-1.517016e+01,-1.502796e+01
3.250000e+00,-1.470401e+01,-1.526214e+01,-1.566616e+01,-1.586562e+01,-1.595315e+01,-1.548885e+01,-1.572332e+01,-1.551827e+01
3.750000e+00,-1.540046e+01,-1.584730e+01,-1.614457e+01,-1.630589e+01,-1.643731e+01,-1.604567e+01,-1.615528e+01,-1.596576e+01
4.250000e+00,-1.597476e+01,-1.629301e+01,-1.656801e+01,-1.673135e+01,-1.688047e+01,-1.647971e+01,-1.659197e+01,-1.636538e+01
4.750000e+00,-1.645906e+01,-1.668550e+01,-1.692199e+01,-1.707587e+01,-1.728610e+01,-1.685011e+01,-1.693840e+01,-1.672153e+01
5.250000e+00,-1.689724e+01,-1.703182e+01,-1.723403e+01,-1.739856e+01,-1.762991e+01,-1.718117e+01,-1.726693e+01,-1.703095e+01
5.750000e+00,-1.727920e+01,-1.732741e+01,-1.750486e+01,-1.765550e+01,-1.792513e+01,-1.746309e+01,-1.752083e+01,-1.731279e+01
6.250000e+00,-1.762091e+01,-1.758561e+01,-1.772988e+01,-1.788118e+01,-1.817320e+01,-1.770375e+01,-1.775214e+01,-1.753013e+01
6.750000e+00,-1.791324e+01,-1.780786e+01,-1.793084e+01,-1.806790e+01,-1.836067e+01,-1.791517e+01,-1.794760e+01,-1.769304e+01
7.250000e+00,-1.816055e+01,-1.799325e+01,-1.811417e+01,-1.823631e+01,-1.853064e+01,-1.810127e+01,-1.812346e+01,-1.783863e+01
7.750000e+00,-1.837129e+01,-1.816072e+01,-1.827118e+01,-1.837584e+01,-1.867529e+01,-1.825961e+01,-1.826700e+01,-1.796515e+01
8.250000e+00,-1.854371e+01,-1.829600e+01,-1.839067e+01,-1.849629e+01,-1.878450e+01,-1.838660e+01,-1.839250e+01,-1.806259e+01
8.750000e+00,-1.868051e+01,-1.842019e+01,-1.850653e+01,-1.861226e+01,-1.888848e+01,-1.850985e+01,-1.851494e+01,-1.815139e+01
9.250000e+00,-1.879365e+01,-1.853023e+01,-1.860758e+01,-1.870112e+01,-1.898427e+01,-1.861578e+01,-1.860798e+01,-1.823114e+01
9.750000e+00,-1.888972e+01,-1.862708e+01,-1.869285e+01,-1.877939e+01,-1.907291e+01,-1.870951e+01,-1.868802e+01,-1.830001e+01
1.025000e+01,-1.896757e+01,-1.871162e+01,-1.877381e+01,-1.884985e+01,-1.914883e+01,-1.879397e+01,-1.876260e+01,-1.835846e+01
1.075000e+01,-1.902928e+01,-1.878833e+01,-1.884860e+01,-1.891484e+01,-1.921625e+01,-1.886973e+01,-1.883404e+01,-1.840117e+01
1.125000e+01,-1.907307e+01,-1.885465e+01,-1.891130e+01,-1.897207e+01,-1.927925e+01,-1.893465e+01,-1.889261e+01,-1.845222e+01
1.175000e+01,-1.910212e+01,-1.891690e+01,-1.896749e+01,-1.901682e+01,-1.933872e+01,-1.899916e+01,-1.893734e+01,-1.849962e+01
1.225000e+01,-1.912704e+01,-1.897078e+01,-1.902617e+01,-1.905957e+01,-1.938566e+01,-1.905471e+01,-1.898609e+01,-1.852243e+01
1.275000e+01,-1.913932e+01,-1.901618e+01,-1.907286e+01,-1.909726e+01,-1.942836e+01,-1.910178e+01,-1.902886e+01,-1.853712e+01
1.325000e+01,-1.914744e+01,-1.905996e+01,-1.912063e+01,-1.913338e+01,-1.946428e+01,-1.914838e+01,-1.907062e+01,-1.855068e+01
1.375000e+01,-1.914378e+01,-1.909981e+01,-1.916021e+01,-1.916351e+01,-1.950050e+01,-1.918858e+01,-1.910454e+01,-1.856404e+01
1.425000e+01,-1.913322e+01,-1.913192e+01,-1.919749e+01,-1.918992e+01,-1.953467e+01,-1.922362e+01,-1.913353e+01,-1.857480e+01
1.475000e+01,-1.911792e+01,-1.916144e+01,-1.923334e+01,-1.920997e+01,-1.956221e+01,-1.925768e+01,-1.915819e+01,-1.858081e+01
1.525000e+01,-1.909996e+01,-1.918937e+01,-1.926452e+01,-1.922505e+01,-1.958435e+01,-1.929022e+01,-1.917978e+01,-1.856707e+01
1.575000e+01,-1.907639e+01,-1.921390e+01,-1.929410e+01,-1.924351e+01,-1.960058e+01,-1.931854e+01,-1.920192e+01,-1.855861e+01
1.625000e+01,-1.905061e+01,-1.923311e+01,-1.931897e+01,-1.925673e+01,-1.961362e+01,-1.934091e+01,-1.921999e+01,-1.854421e+01
1.675000e+01,-1.902327e+01,-1.924414e+01,-1.934056e+01,-1.926796e+01,-1.962433e+01,-1.935674e+01,-1.923668e+01,-1.852248e+01
1.725000e+01,-1.899013e+01,-1.925192e+01,-1.935852e+01,-1.927521e+01,-1.963324e+01,-1.936975e+01,-1.924878e+01,-1.850306e+01
1.775000e+01,-1.895375e+01,-1.925765e+01,-1.937953e+01,-1.928441e+01,-1.963831e+01,-1.938271e+01,-1.926291e+01,-1.847873e+01
1.825000e+01,-1.891553e+01,-1.925905e+01,-1.939880e+01,-1.928826e+01,-1.964024e+01,-1.939083e+01,-1.927148e+01,-1.845147e+01
1.875000e+01,-1.887440e+01,-1.925777e+01,-1.941165e+01,-1.929094e+01,-1.963661e+01,-1.939535e+01,-1.927808e+01,-1.842096e+01
1.925000e+01,-1.882465e+01,-1.925165e+01,-1.941965e+01,-1.929074e+01,-1.962599e+01,-1.939597e+01,-1.928138e+01,-1.838882e+01
1.975000e+01,-1.877521e+01,-1.924227e+01,-1.942801e+01,-1.928985e+01,-1.961628e+01,-1.939468e+01,-1.928263e+01,-1.835746e+01
2.025000e+01,-1.872492e+01,-1.922610e+01,-1.943306e+01,-1.928983e+01,-1.960208e+01,-1.938729e+01,-1.928554e+01,-1.832176e+01
2.075000e+01,-1.867449e+01,-1.920541e+01,-1.943523e+01,-1.928593e+01,-1.959359e+01,-1.937642e+01,-1.928440e+01,-1.829696e+01
