Time,gZ,rZ,iZ
7.500000e-01,-1.399195e+01,-1.399429e+01,-1.380767e+01
1.250000e+00,-1.468922e+01,-1.468743e+01,-1.462158e+01
1.750000e+00,-1.495419e+01,-1.511585e+01,-1.510608e+01
2.250000e+00,-1.514038e+01,-1.532580e+01,-1.529797e+01
2.750000e+00,-1.530012e+01,-1.554512e+01,-1.557160e+01
3.250000e+00,-1.563290e+01,-1.597278e+01,-1.586355e+01
3.750000e+00,-1.601776e+01,-1.631116e+01,-1.622387e+01
4.250000e+00,-1.640834e+01,-1.668914e+01,-1.658587e+01
4.750000e+00,-1.677906e+01,-1.702862e+01,-1.691419e+01
5.250000e+00,-1.712284e+01,-1.730165e+01,-1.720949e+01
5.750000e+00,-1.741591e+01,-1.755750e+01,-1.746633e+01
6.250000e+00,-1.768860e+01,-1.778691e+01,-1.769385e+01
6.750000e+00,-1.791975e+01,-1.797441e+01,-1.786951e+01
7.250000e+00,-1.812198e+01,-1.812741e+01,-1.803356e+01
7.750000e+00,-1.830376e+01,-1.826440e+01,-1.817838e+01
8.250000e+00,-1.845567e+01,-1.838434e+01,-1.828763e+01
8.750000e+00,-1.859473e+01,-1.849112e+01,-1.839326e+01
9.250000e+00,-1.870928e+01,-1.858393e+01,-1.848759e+01
9.750000e+00,-1.881120e+01,-1.866829e+01,-1.856188e+01
1.025000e+01,-1.890128e+01,-1.874131e+01,-1.864201e+01
1.075000e+01,-1.897696e+01,-1.880913e+01,-1.871303e+01
1.125000e+01,-1.904728e+01,-1.886345e+01,-1.877033e+01
1.175000e+01,-1.911367e+01,-1.891824e+01,-1.882258e+01
1.225000e+01,-1.917246e+01,-1.896669e+01,-1.886756e+01
1.275000e+01,-1.921566e+01,-1.900495e+01,-1.890705e+01
1.325000e+01,-1.926400e+01,-1.903867e+01,-1.894801e+01
1.375000e+01,-1.930621e+01,-1.906249e+01,-1.898481e+01
1.425000e+01,-1.934307e+01,-1.908805e+01,-1.901447e+01
1.475000e+01,-1.937396e+01,-1.910988e+01,-1.904122e+01
1.525000e+01,-1.939984e+01,-1.913498e+01,-1.906815e+01
1.575000e+01,-1.942150e+01,-1.915169e+01,-1.909254e+01
1.625000e+01,-1.944233e+01,-1.916417e+01,-1.911269e+01
1.675000e+01,-1.945642e+01,-1.917651e+01,-1.912882e+01
1.725000e+01,-1.947028e+01,-1.918606e+01,-1.914476e+01
1.775000e+01,-1.948405e+01,-1.919611e+01,-1.915160e+01
1.825000e+01,-1.949331e+01,-1.920025e+01,-1.916862e+01
1.875000e+01,-1.949791e+01,-1.920113e+01,-1.917557e+01
1.925000e+01,-1.949991e+01,-1.920081e+01,-1.918027e+01
1.975000e+01,-1.949922e+01,-1.920054e+01,-1.918432e+01
2.025000e+01,-1.949598e+01,-1.919963e+01,-1.918445e+01
2.075000e+01,-1.948736e+01,-1.919173e+01,-1.918060e+01
