Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.567876e+01,-1.482404e+01,-1.489744e+01,-1.492022e+01,-1.501307e+01,-1.492847e+01,-1.478718e+01,-1.459251e+01
1.250000e+00,-1.631842e+01,-1.565368e+01,-1.564736e+01,-1.576391e+01,-1.582859e+01,-1.576320e+01,-1.561918e+01,-1.546145e+01
1.750000e+00,-1.650239e+01,-1.601098e+01,-1.613676e+01,-1.623204e+01,-1.633466e+01,-1.619193e+01,-1.607772e+01,-1.596600e+01
2.250000e+00,-1.649583e+01,-1.613943e+01,-1.637933e+01,-1.651818e+01,-1.670079e+01,-1.636772e+01,-1.636083e+01,-1.628255e+01
2.750000e+00,-1.636347e+01,-1.618294e+01,-1.658086e+01,-1.666250e+01,-1.691372e+01,-1.647530e+01,-1.649641e+01,-1.647880e+01
3.250000e+00,-1.620853e+01,-1.614447e+01,-1.673524e+01,-1.680720e+01,-1.706564e+01,-1.649967e+01,-1.665449e+01,-1.657365e+01
3.750000e+00,-1.616103e+01,-1.617642e+01,-1.688087e+01,-1.697544e+01,-1.721456e+01,-1.657546e+01,-1.682056e+01,-1.674487e+01
4.250000e+00,-1.625417e+01,-1.631230e+01,-1.709479e+01,-1.719786e+01,-1.739231e+01,-1.672663e+01,-1.705761e+01,-1.690473e+01
4.750000e+00,-1.645327e+01,-1.652941e+01,-1.732185e+01,-1.742898e+01,-1.763162e+01,-1.695039e+01,-1.728545e+01,-1.715222e+01
5.250000e+00,-1.669087e+01,-1.677094e+01,-1.756884e+01,-1.765770e+01,-1.786008e+01,-1.719182e+01,-1.751932e+01,-1.736895e+01
5.750000e+00,-1.697010e+01,-1.704981e+01,-1.782393e+01,-1.787737e+01,-1.804238e+01,-1.746044e+01,-1.774721e+01,-1.755303e+01
6.250000e+00,-1.725890e+01,-1.730232e+01,-1.803177e+01,-1.806281e+01,-1.821211e+01,-1.769691e+01,-1.794192e+01,-1.770943e+01
6.750000e+00,-1.750519e+01,-1.754064e+01,-1.822101e+01,-1.822920e+01,-1.834792e+01,-1.791832e+01,-1.811430e+01,-1.784665e+01
7.250000e+00,-1.772728e+01,-1.774609e+01,-1.839176e+01,-1.836659e+01,-1.847545e+01,-1.811174e+01,-1.826121e+01,-1.795620e+01
7.750000e+00,-1.792237e+01,-1.792666e+01,-1.853765e+01,-1.849960e+01,-1.859823e+01,-1.827522e+01,-1.839842e+01,-1.807001e+01
8.250000e+00,-1.810689e+01,-1.809920e+01,-1.866664e+01,-1.860841e+01,-1.869339e+01,-1.843469e+01,-1.851307e+01,-1.815421e+01
8.750000e+00,-1.827695e+01,-1.824943e+01,-1.878929e+01,-1.871596e+01,-1.878240e+01,-1.857197e+01,-1.862682e+01,-1.823795e+01
9.250000e+00,-1.840681e+01,-1.837768e+01,-1.889494e+01,-1.879970e+01,-1.885525e+01,-1.869435e+01,-1.871143e+01,-1.830484e+01
9.750000e+00,-1.853627e+01,-1.849044e+01,-1.898893e+01,-1.888449e+01,-1.892261e+01,-1.879624e+01,-1.880343e+01,-1.836381e+01
1.025000e+01,-1.865061e+01,-1.859731e+01,-1.906498e+01,-1.895710e+01,-1.899342e+01,-1.889043e+01,-1.888424e+01,-1.841058e+01
1.075000e+01,-1.873587e+01,-1.868345e+01,-1.913404e+01,-1.901819e+01,-1.905028e+01,-1.897251e+01,-1.894771e+01,-1.845440e+01
1.125000e+01,-1.880305e+01,-1.874671e+01,-1.920559e+01,-1.908024e+01,-1.910762e+01,-1.903785e+01,-1.901423e+01,-1.849706e+01
