Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-6.772779e+00	-7.392876e+00	-7.821669e+00	-9.495403e+00	-1.036540e+01	-7.605729e+00	-9.287514e+00	-9.318606e+00
1.500000e+00	-9.882440e+00	-1.147575e+01	-1.205550e+01	-1.274182e+01	-1.308382e+01	-1.187133e+01	-1.256086e+01	-1.258240e+01
2.500000e+00	-1.299950e+01	-1.389623e+01	-1.438949e+01	-1.463427e+01	-1.472849e+01	-1.418061e+01	-1.445654e+01	-1.435460e+01
3.500000e+00	-1.488847e+01	-1.527392e+01	-1.565346e+01	-1.575136e+01	-1.577954e+01	-1.551368e+01	-1.559330e+01	-1.539153e+01
4.500000e+00	-1.600473e+01	-1.616391e+01	-1.639903e+01	-1.651936e+01	-1.671977e+01	-1.634258e+01	-1.636186e+01	-1.618775e+01
5.500000e+00	-1.679113e+01	-1.678023e+01	-1.697502e+01	-1.709531e+01	-1.740910e+01	-1.693203e+01	-1.693921e+01	-1.679006e+01
6.500000e+00	-1.737188e+01	-1.723620e+01	-1.738705e+01	-1.753550e+01	-1.791839e+01	-1.735985e+01	-1.736683e+01	-1.729248e+01
7.500000e+00	-1.780385e+01	-1.757687e+01	-1.772580e+01	-1.787303e+01	-1.829901e+01	-1.769291e+01	-1.771261e+01	-1.763032e+01
8.500000e+00	-1.811036e+01	-1.785293e+01	-1.797118e+01	-1.812448e+01	-1.853518e+01	-1.796049e+01	-1.796623e+01	-1.786366e+01
9.500000e+00	-1.835317e+01	-1.808641e+01	-1.819945e+01	-1.834269e+01	-1.874787e+01	-1.818971e+01	-1.818803e+01	-1.807058e+01
1.050000e+01	-1.851132e+01	-1.825315e+01	-1.836962e+01	-1.850261e+01	-1.892491e+01	-1.836293e+01	-1.835253e+01	-1.822519e+01
1.150000e+01	-1.862499e+01	-1.840052e+01	-1.850685e+01	-1.864606e+01	-1.905627e+01	-1.850845e+01	-1.850087e+01	-1.834704e+01
1.250000e+01	-1.869421e+01	-1.851309e+01	-1.863814e+01	-1.875120e+01	-1.915853e+01	-1.862650e+01	-1.861143e+01	-1.842646e+01
1.350000e+01	-1.873463e+01	-1.861857e+01	-1.874778e+01	-1.884097e+01	-1.924850e+01	-1.873476e+01	-1.870731e+01	-1.848886e+01
1.450000e+01	-1.872941e+01	-1.870079e+01	-1.883284e+01	-1.889291e+01	-1.932062e+01	-1.881992e+01	-1.876926e+01	-1.851620e+01
1.550000e+01	-1.869975e+01	-1.877740e+01	-1.890872e+01	-1.893795e+01	-1.936174e+01	-1.889885e+01	-1.882633e+01	-1.850885e+01
1.650000e+01	-1.866113e+01	-1.882807e+01	-1.896775e+01	-1.896494e+01	-1.938004e+01	-1.895805e+01	-1.886521e+01	-1.849455e+01
1.750000e+01	-1.858064e+01	-1.885002e+01	-1.902402e+01	-1.898343e+01	-1.937719e+01	-1.899462e+01	-1.889774e+01	-1.843616e+01
1.850000e+01	-1.850063e+01	-1.885018e+01	-1.906301e+01	-1.898674e+01	-1.935574e+01	-1.900801e+01	-1.891403e+01	-1.837256e+01
1.950000e+01	-1.837185e+01	-1.881243e+01	-1.909271e+01	-1.897830e+01	-1.932980e+01	-1.899485e+01	-1.891824e+01	-1.830407e+01
2.050000e+01	-1.823286e+01	-1.874939e+01	-1.910867e+01	-1.896455e+01	-1.929030e+01	-1.896106e+01	-1.891790e+01	-1.821814e+01
2.150000e+01	-1.806652e+01	-1.866097e+01	-1.909818e+01	-1.893561e+01	-1.922700e+01	-1.890503e+01	-1.889697e+01	-1.813519e+01
2.250000e+01	-1.787993e+01	-1.853500e+01	-1.907555e+01	-1.890597e+01	-1.918057e+01	-1.881608e+01	-1.887615e+01	-1.806623e+01
2.350000e+01	-1.768538e+01	-1.839159e+01	-1.902960e+01	-1.885670e+01	-1.912870e+01	-1.871132e+01	-1.883095e+01	-1.800264e+01
2.450000e+01	-1.746698e+01	-1.824145e+01	-1.894983e+01	-1.880062e+01	-1.908409e+01	-1.858950e+01	-1.877694e+01	-1.796447e+01
