Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.471582e+01	-1.397593e+01	-1.401924e+01	-1.387379e+01	-1.402985e+01	-1.410958e+01	-1.374732e+01	-1.355698e+01
1.500000e+00	-1.690746e+01	-1.604581e+01	-1.593058e+01	-1.571976e+01	-1.569417e+01	-1.610412e+01	-1.562490e+01	-1.531851e+01
2.500000e+00	-1.819500e+01	-1.709297e+01	-1.691850e+01	-1.665063e+01	-1.653512e+01	-1.712674e+01	-1.656364e+01	-1.619649e+01
3.500000e+00	-1.888884e+01	-1.775173e+01	-1.753720e+01	-1.722978e+01	-1.704635e+01	-1.777638e+01	-1.714544e+01	-1.674352e+01
4.500000e+00	-1.931551e+01	-1.818774e+01	-1.796813e+01	-1.766091e+01	-1.742203e+01	-1.821308e+01	-1.758096e+01	-1.713332e+01
5.500000e+00	-1.959831e+01	-1.850517e+01	-1.828033e+01	-1.796245e+01	-1.779419e+01	-1.852655e+01	-1.787779e+01	-1.747700e+01
6.500000e+00	-1.979324e+01	-1.873990e+01	-1.852923e+01	-1.821803e+01	-1.807115e+01	-1.876478e+01	-1.812625e+01	-1.776438e+01
7.500000e+00	-1.992737e+01	-1.892738e+01	-1.875793e+01	-1.844764e+01	-1.831720e+01	-1.896381e+01	-1.835103e+01	-1.801131e+01
8.500000e+00	-2.001914e+01	-1.909186e+01	-1.896483e+01	-1.865585e+01	-1.852685e+01	-1.913624e+01	-1.856431e+01	-1.819756e+01
9.500000e+00	-2.007515e+01	-1.921630e+01	-1.912760e+01	-1.882113e+01	-1.869765e+01	-1.927812e+01	-1.872979e+01	-1.835342e+01
1.050000e+01	-2.009086e+01	-1.932887e+01	-1.926178e+01	-1.897543e+01	-1.887320e+01	-1.939570e+01	-1.888649e+01	-1.850866e+01
1.150000e+01	-2.008155e+01	-1.942625e+01	-1.937109e+01	-1.911136e+01	-1.901351e+01	-1.949603e+01	-1.902595e+01	-1.862205e+01
1.250000e+01	-2.006509e+01	-1.949453e+01	-1.946173e+01	-1.920098e+01	-1.912312e+01	-1.957561e+01	-1.911829e+01	-1.870422e+01
1.350000e+01	-2.001439e+01	-1.955261e+01	-1.954155e+01	-1.927477e+01	-1.919961e+01	-1.965057e+01	-1.919666e+01	-1.874265e+01
1.450000e+01	-1.995396e+01	-1.958654e+01	-1.961531e+01	-1.933987e+01	-1.924862e+01	-1.970639e+01	-1.926778e+01	-1.877201e+01
1.550000e+01	-1.987661e+01	-1.959528e+01	-1.967917e+01	-1.938396e+01	-1.929011e+01	-1.973891e+01	-1.932295e+01	-1.875413e+01
1.650000e+01	-1.978629e+01	-1.956667e+01	-1.973889e+01	-1.942393e+01	-1.933148e+01	-1.974093e+01	-1.937312e+01	-1.874000e+01
1.750000e+01	-1.968582e+01	-1.953644e+01	-1.977853e+01	-1.947860e+01	-1.936442e+01	-1.973816e+01	-1.943458e+01	-1.872890e+01
1.850000e+01	-1.956010e+01	-1.946898e+01	-1.980703e+01	-1.949492e+01	-1.938030e+01	-1.970628e+01	-1.945662e+01	-1.871716e+01
1.950000e+01	-1.946626e+01	-1.938685e+01	-1.983020e+01	-1.952732e+01	-1.940915e+01	-1.965374e+01	-1.949543e+01	-1.870051e+01
2.050000e+01	-1.934268e+01	-1.929769e+01	-1.982423e+01	-1.953108e+01	-1.943821e+01	-1.959141e+01	-1.950169e+01	-1.870022e+01
2.150000e+01	-1.919692e+01	-1.918788e+01	-1.980758e+01	-1.953127e+01	-1.948697e+01	-1.952108e+01	-1.950363e+01	-1.870568e+01
2.250000e+01	-1.904449e+01	-1.906239e+01	-1.975740e+01	-1.951181e+01	-1.951591e+01	-1.941791e+01	-1.948454e+01	-1.871751e+01
2.350000e+01	-1.888568e+01	-1.891948e+01	-1.969673e+01	-1.948444e+01	-1.956146e+01	-1.930012e+01	-1.945740e+01	-1.874823e+01
2.450000e+01	-1.869835e+01	-1.877924e+01	-1.961499e+01	-1.944008e+01	-1.958478e+01	-1.917809e+01	-1.940501e+01	-1.878334e+01
