Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.099688e+01	-1.170007e+01	-1.204790e+01	-1.222524e+01	-1.195770e+01	-1.195396e+01	-1.214579e+01	-1.157988e+01
1.500000e+00	-1.284576e+01	-1.356201e+01	-1.399082e+01	-1.401936e+01	-1.410825e+01	-1.382859e+01	-1.388421e+01	-1.356553e+01
2.500000e+00	-1.372786e+01	-1.454759e+01	-1.490713e+01	-1.500006e+01	-1.504629e+01	-1.479601e+01	-1.486548e+01	-1.451882e+01
3.500000e+00	-1.440712e+01	-1.520286e+01	-1.555781e+01	-1.568854e+01	-1.580547e+01	-1.544526e+01	-1.556329e+01	-1.517305e+01
4.500000e+00	-1.507202e+01	-1.579807e+01	-1.612190e+01	-1.616832e+01	-1.638480e+01	-1.602312e+01	-1.602841e+01	-1.573178e+01
5.500000e+00	-1.556106e+01	-1.626796e+01	-1.658136e+01	-1.661377e+01	-1.685371e+01	-1.649419e+01	-1.647875e+01	-1.617051e+01
6.500000e+00	-1.604570e+01	-1.669421e+01	-1.694958e+01	-1.697628e+01	-1.725524e+01	-1.689689e+01	-1.683462e+01	-1.656723e+01
7.500000e+00	-1.647516e+01	-1.708304e+01	-1.727750e+01	-1.730064e+01	-1.759928e+01	-1.726290e+01	-1.716246e+01	-1.691376e+01
8.500000e+00	-1.683046e+01	-1.739499e+01	-1.754071e+01	-1.755891e+01	-1.790103e+01	-1.756233e+01	-1.742518e+01	-1.719912e+01
9.500000e+00	-1.712147e+01	-1.765553e+01	-1.777480e+01	-1.779775e+01	-1.814753e+01	-1.781257e+01	-1.766571e+01	-1.743488e+01
1.050000e+01	-1.736250e+01	-1.787188e+01	-1.797361e+01	-1.799024e+01	-1.834279e+01	-1.802427e+01	-1.786874e+01	-1.760359e+01
1.150000e+01	-1.755626e+01	-1.804580e+01	-1.814725e+01	-1.815591e+01	-1.851657e+01	-1.819839e+01	-1.804491e+01	-1.774474e+01
1.250000e+01	-1.772099e+01	-1.818547e+01	-1.829099e+01	-1.828076e+01	-1.865537e+01	-1.833075e+01	-1.817341e+01	-1.785671e+01
1.350000e+01	-1.781989e+01	-1.830899e+01	-1.841986e+01	-1.838952e+01	-1.876350e+01	-1.845843e+01	-1.828564e+01	-1.794690e+01
1.450000e+01	-1.789790e+01	-1.839385e+01	-1.851986e+01	-1.847202e+01	-1.885834e+01	-1.854753e+01	-1.837305e+01	-1.801338e+01
1.550000e+01	-1.795826e+01	-1.846822e+01	-1.860945e+01	-1.854971e+01	-1.893701e+01	-1.862364e+01	-1.845465e+01	-1.808049e+01
1.650000e+01	-1.796938e+01	-1.851523e+01	-1.866697e+01	-1.861557e+01	-1.901103e+01	-1.867709e+01	-1.852130e+01	-1.813308e+01
1.750000e+01	-1.795580e+01	-1.855359e+01	-1.873247e+01	-1.865992e+01	-1.905979e+01	-1.872190e+01	-1.856611e+01	-1.817680e+01
1.850000e+01	-1.794854e+01	-1.857174e+01	-1.876783e+01	-1.869616e+01	-1.910623e+01	-1.874948e+01	-1.859953e+01	-1.822217e+01
1.950000e+01	-1.793028e+01	-1.858348e+01	-1.880955e+01	-1.873680e+01	-1.912943e+01	-1.877013e+01	-1.864386e+01	-1.823221e+01
2.050000e+01	-1.789033e+01	-1.858611e+01	-1.883653e+01	-1.876010e+01	-1.916048e+01	-1.877943e+01	-1.866680e+01	-1.825566e+01
2.150000e+01	-1.784824e+01	-1.857204e+01	-1.885957e+01	-1.877940e+01	-1.918635e+01	-1.877873e+01	-1.868358e+01	-1.828813e+01
2.250000e+01	-1.777826e+01	-1.854706e+01	-1.887632e+01	-1.879662e+01	-1.919593e+01	-1.876760e+01	-1.870352e+01	-1.829149e+01
2.350000e+01	-1.771356e+01	-1.851441e+01	-1.887430e+01	-1.879165e+01	-1.918893e+01	-1.874378e+01	-1.869888e+01	-1.827964e+01
2.450000e+01	-1.764117e+01	-1.848134e+01	-1.887679e+01	-1.879805e+01	-1.920415e+01	-1.872257e+01	-1.870424e+01	-1.828772e+01
