Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.297960e+01	-1.276672e+01	-1.297470e+01	-1.301056e+01	-1.299769e+01	-1.295636e+01	-1.291123e+01	-1.256635e+01
1.500000e+00	-1.475025e+01	-1.460940e+01	-1.484708e+01	-1.481984e+01	-1.496554e+01	-1.484978e+01	-1.470610e+01	-1.444105e+01
2.500000e+00	-1.552693e+01	-1.551762e+01	-1.572283e+01	-1.566105e+01	-1.590601e+01	-1.574833e+01	-1.555242e+01	-1.530617e+01
3.500000e+00	-1.606661e+01	-1.606357e+01	-1.633790e+01	-1.625241e+01	-1.652954e+01	-1.630790e+01	-1.612741e+01	-1.595806e+01
4.500000e+00	-1.651641e+01	-1.652260e+01	-1.675716e+01	-1.669634e+01	-1.699734e+01	-1.674205e+01	-1.656607e+01	-1.641431e+01
5.500000e+00	-1.687354e+01	-1.689816e+01	-1.712082e+01	-1.705498e+01	-1.731861e+01	-1.711433e+01	-1.692385e+01	-1.676065e+01
6.500000e+00	-1.717738e+01	-1.721257e+01	-1.743415e+01	-1.736336e+01	-1.761830e+01	-1.742331e+01	-1.723449e+01	-1.705621e+01
7.500000e+00	-1.744847e+01	-1.748250e+01	-1.769402e+01	-1.761896e+01	-1.783560e+01	-1.769184e+01	-1.749233e+01	-1.729499e+01
8.500000e+00	-1.766116e+01	-1.768650e+01	-1.790359e+01	-1.784076e+01	-1.801316e+01	-1.789087e+01	-1.772350e+01	-1.747634e+01
9.500000e+00	-1.785278e+01	-1.788375e+01	-1.808363e+01	-1.801617e+01	-1.816833e+01	-1.808656e+01	-1.790489e+01	-1.762995e+01
1.050000e+01	-1.799266e+01	-1.803744e+01	-1.826102e+01	-1.817906e+01	-1.831572e+01	-1.824502e+01	-1.807744e+01	-1.775991e+01
1.150000e+01	-1.809755e+01	-1.815676e+01	-1.838904e+01	-1.830286e+01	-1.843277e+01	-1.837032e+01	-1.820946e+01	-1.784742e+01
1.250000e+01	-1.819597e+01	-1.826436e+01	-1.850645e+01	-1.842003e+01	-1.853529e+01	-1.847844e+01	-1.833182e+01	-1.793297e+01
1.350000e+01	-1.825992e+01	-1.834299e+01	-1.860845e+01	-1.851224e+01	-1.864239e+01	-1.856603e+01	-1.842460e+01	-1.802150e+01
1.450000e+01	-1.830737e+01	-1.840087e+01	-1.869018e+01	-1.859296e+01	-1.873415e+01	-1.862824e+01	-1.850555e+01	-1.809627e+01
1.550000e+01	-1.832891e+01	-1.844934e+01	-1.876226e+01	-1.865386e+01	-1.879860e+01	-1.868189e+01	-1.857119e+01	-1.813282e+01
1.650000e+01	-1.833063e+01	-1.847302e+01	-1.881428e+01	-1.871436e+01	-1.886688e+01	-1.871520e+01	-1.863112e+01	-1.818922e+01
1.750000e+01	-1.830714e+01	-1.848324e+01	-1.886300e+01	-1.875748e+01	-1.890336e+01	-1.873417e+01	-1.867605e+01	-1.821985e+01
1.850000e+01	-1.827331e+01	-1.847802e+01	-1.890187e+01	-1.879727e+01	-1.896572e+01	-1.874308e+01	-1.871533e+01	-1.826171e+01
1.950000e+01	-1.822993e+01	-1.847495e+01	-1.892935e+01	-1.882378e+01	-1.900692e+01	-1.875120e+01	-1.874239e+01	-1.829585e+01
2.050000e+01	-1.816739e+01	-1.845141e+01	-1.894130e+01	-1.884714e+01	-1.902936e+01	-1.873525e+01	-1.876543e+01	-1.830525e+01
2.150000e+01	-1.810763e+01	-1.842106e+01	-1.894898e+01	-1.886829e+01	-1.905873e+01	-1.872101e+01	-1.878467e+01	-1.833836e+01
2.250000e+01	-1.803238e+01	-1.838591e+01	-1.895450e+01	-1.887124e+01	-1.907672e+01	-1.869322e+01	-1.879012e+01	-1.832712e+01
2.350000e+01	-1.794212e+01	-1.834202e+01	-1.894824e+01	-1.888054e+01	-1.910093e+01	-1.866368e+01	-1.879536e+01	-1.835422e+01
2.450000e+01	-1.785304e+01	-1.828720e+01	-1.893352e+01	-1.887473e+01	-1.910820e+01	-1.862250e+01	-1.878966e+01	-1.835874e+01
