Time,gZ,rZ,iZ
7.500000e-01,-1.433582e+01,-1.425263e+01,-1.413598e+01
1.250000e+00,-1.512652e+01,-1.509633e+01,-1.495424e+01
1.750000e+00,-1.562050e+01,-1.549249e+01,-1.547522e+01
2.250000e+00,-1.590028e+01,-1.588064e+01,-1.581473e+01
2.750000e+00,-1.611591e+01,-1.613843e+01,-1.613926e+01
3.250000e+00,-1.639028e+01,-1.646187e+01,-1.639194e+01
3.750000e+00,-1.669931e+01,-1.674627e+01,-1.667147e+01
4.250000e+00,-1.705394e+01,-1.707699e+01,-1.694839e+01
4.750000e+00,-1.739597e+01,-1.734057e+01,-1.718617e+01
5.250000e+00,-1.769889e+01,-1.756521e+01,-1.740444e+01
5.750000e+00,-1.796175e+01,-1.775762e+01,-1.756714e+01
6.250000e+00,-1.819129e+01,-1.790718e+01,-1.770815e+01
6.750000e+00,-1.838171e+01,-1.807463e+01,-1.784114e+01
7.250000e+00,-1.855047e+01,-1.819812e+01,-1.794331e+01
7.750000e+00,-1.868774e+01,-1.830447e+01,-1.803947e+01
8.250000e+00,-1.881532e+01,-1.839923e+01,-1.812822e+01
8.750000e+00,-1.892987e+01,-1.848242e+01,-1.818518e+01
9.250000e+00,-1.902113e+01,-1.854442e+01,-1.824839e+01
9.750000e+00,-1.910803e+01,-1.862353e+01,-1.831166e+01
1.025000e+01,-1.918901e+01,-1.867669e+01,-1.836323e+01
1.075000e+01,-1.926458e+01,-1.873467e+01,-1.840779e+01
1.125000e+01,-1.932397e+01,-1.878237e+01,-1.843837e+01
1.175000e+01,-1.938191e+01,-1.883253e+01,-1.847856e+01
1.225000e+01,-1.943996e+01,-1.887528e+01,-1.851064e+01
1.275000e+01,-1.948481e+01,-1.891112e+01,-1.853899e+01
1.325000e+01,-1.953386e+01,-1.895362e+01,-1.855273e+01
1.375000e+01,-1.957441e+01,-1.898570e+01,-1.857942e+01
1.425000e+01,-1.961059e+01,-1.902182e+01,-1.859618e+01
1.475000e+01,-1.964282e+01,-1.905758e+01,-1.861547e+01
1.525000e+01,-1.967283e+01,-1.908813e+01,-1.864265e+01
1.575000e+01,-1.969428e+01,-1.911374e+01,-1.866222e+01
1.625000e+01,-1.971763e+01,-1.913885e+01,-1.868413e+01
1.675000e+01,-1.973410e+01,-1.916956e+01,-1.871654e+01
1.725000e+01,-1.975050e+01,-1.919936e+01,-1.873980e+01
1.775000e+01,-1.975960e+01,-1.922462e+01,-1.877458e+01
1.825000e+01,-1.976661e+01,-1.924459e+01,-1.882345e+01
1.875000e+01,-1.977207e+01,-1.926172e+01,-1.886821e+01
1.925000e+01,-1.977014e+01,-1.927977e+01,-1.890386e+01
1.975000e+01,-1.976872e+01,-1.929222e+01,-1.893639e+01
2.025000e+01,-1.976516e+01,-1.929840e+01,-1.897864e+01
2.075000e+01,-1.976049e+01,-1.931145e+01,-1.901158e+01
