Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.494732e+01,-1.439375e+01,-1.453148e+01,-1.465672e+01,-1.474034e+01,-1.452864e+01,-1.450702e+01,-1.434090e+01
1.250000e+00,-1.568516e+01,-1.525112e+01,-1.535968e+01,-1.543746e+01,-1.557614e+01,-1.542150e+01,-1.528116e+01,-1.520204e+01
1.750000e+00,-1.605481e+01,-1.578371e+01,-1.592376e+01,-1.595793e+01,-1.610319e+01,-1.598126e+01,-1.580770e+01,-1.568846e+01
2.250000e+00,-1.634691e+01,-1.612850e+01,-1.626561e+01,-1.636938e+01,-1.649226e+01,-1.632377e+01,-1.622602e+01,-1.609832e+01
2.750000e+00,-1.659367e+01,-1.641063e+01,-1.659373e+01,-1.665599e+01,-1.677551e+01,-1.662328e+01,-1.650926e+01,-1.640032e+01
3.250000e+00,-1.680447e+01,-1.665287e+01,-1.683590e+01,-1.686298e+01,-1.706535e+01,-1.687346e+01,-1.670287e+01,-1.665967e+01
3.750000e+00,-1.702244e+01,-1.687931e+01,-1.713696e+01,-1.713145e+01,-1.728143e+01,-1.711511e+01,-1.698600e+01,-1.688002e+01
4.250000e+00,-1.725114e+01,-1.713875e+01,-1.735898e+01,-1.736664e+01,-1.747748e+01,-1.736920e+01,-1.723091e+01,-1.707416e+01
4.750000e+00,-1.753547e+01,-1.740222e+01,-1.761051e+01,-1.758059e+01,-1.763444e+01,-1.762514e+01,-1.745005e+01,-1.727644e+01
5.250000e+00,-1.782084e+01,-1.765058e+01,-1.784128e+01,-1.778538e+01,-1.782961e+01,-1.785999e+01,-1.765969e+01,-1.746711e+01
5.750000e+00,-1.807853e+01,-1.788584e+01,-1.802277e+01,-1.796584e+01,-1.802053e+01,-1.807100e+01,-1.784120e+01,-1.764865e+01
6.250000e+00,-1.832365e+01,-1.811098e+01,-1.818695e+01,-1.811013e+01,-1.814361e+01,-1.826920e+01,-1.799022e+01,-1.778544e+01
6.750000e+00,-1.854052e+01,-1.829655e+01,-1.835027e+01,-1.824384e+01,-1.824877e+01,-1.844648e+01,-1.812950e+01,-1.790060e+01
7.250000e+00,-1.873667e+01,-1.846031e+01,-1.849266e+01,-1.836621e+01,-1.837118e+01,-1.859930e+01,-1.825469e+01,-1.802460e+01
7.750000e+00,-1.892434e+01,-1.861056e+01,-1.862096e+01,-1.847098e+01,-1.846260e+01,-1.873761e+01,-1.836775e+01,-1.809610e+01
8.250000e+00,-1.907543e+01,-1.874055e+01,-1.872591e+01,-1.855940e+01,-1.853977e+01,-1.885730e+01,-1.846123e+01,-1.817063e+01
8.750000e+00,-1.921204e+01,-1.885779e+01,-1.883000e+01,-1.865923e+01,-1.863611e+01,-1.896715e+01,-1.856626e+01,-1.825903e+01
9.250000e+00,-1.932270e+01,-1.895514e+01,-1.892568e+01,-1.873778e+01,-1.870242e+01,-1.906358e+01,-1.864927e+01,-1.832219e+01
9.750000e+00,-1.942230e+01,-1.904881e+01,-1.900983e+01,-1.879249e+01,-1.875221e+01,-1.915202e+01,-1.871080e+01,-1.835249e+01
1.025000e+01,-1.951049e+01,-1.912874e+01,-1.908796e+01,-1.885287e+01,-1.880261e+01,-1.923272e+01,-1.877283e+01,-1.839737e+01
