Time,gZ,rZ,iZ
7.500000e-01,-1.345069e+01,-1.349993e+01,-1.344258e+01
1.250000e+00,-1.413594e+01,-1.428966e+01,-1.428729e+01
1.750000e+00,-1.464129e+01,-1.482650e+01,-1.476214e+01
2.250000e+00,-1.494227e+01,-1.513623e+01,-1.516493e+01
2.750000e+00,-1.525480e+01,-1.549303e+01,-1.546766e+01
3.250000e+00,-1.565720e+01,-1.590901e+01,-1.581006e+01
3.750000e+00,-1.606754e+01,-1.629010e+01,-1.616358e+01
4.250000e+00,-1.645113e+01,-1.664249e+01,-1.652367e+01
4.750000e+00,-1.683442e+01,-1.698757e+01,-1.685989e+01
5.250000e+00,-1.716169e+01,-1.728182e+01,-1.717162e+01
5.750000e+00,-1.744739e+01,-1.753292e+01,-1.742087e+01
6.250000e+00,-1.770900e+01,-1.775841e+01,-1.765191e+01
6.750000e+00,-1.793241e+01,-1.794012e+01,-1.786142e+01
7.250000e+00,-1.813806e+01,-1.811151e+01,-1.803095e+01
7.750000e+00,-1.831516e+01,-1.823996e+01,-1.817881e+01
8.250000e+00,-1.846126e+01,-1.836757e+01,-1.830585e+01
8.750000e+00,-1.859760e+01,-1.848057e+01,-1.842180e+01
9.250000e+00,-1.871279e+01,-1.856967e+01,-1.852354e+01
9.750000e+00,-1.881073e+01,-1.865874e+01,-1.862387e+01
1.025000e+01,-1.890364e+01,-1.872534e+01,-1.870529e+01
1.075000e+01,-1.898394e+01,-1.878988e+01,-1.876821e+01
1.125000e+01,-1.905586e+01,-1.885368e+01,-1.883448e+01
1.175000e+01,-1.911233e+01,-1.890129e+01,-1.888950e+01
1.225000e+01,-1.916951e+01,-1.894654e+01,-1.894044e+01
1.275000e+01,-1.922033e+01,-1.898710e+01,-1.898806e+01
1.325000e+01,-1.926481e+01,-1.902408e+01,-1.902285e+01
1.375000e+01,-1.930447e+01,-1.905485e+01,-1.905581e+01
1.425000e+01,-1.934171e+01,-1.908037e+01,-1.908462e+01
1.475000e+01,-1.937199e+01,-1.910119e+01,-1.910919e+01
1.525000e+01,-1.939947e+01,-1.912391e+01,-1.913216e+01
1.575000e+01,-1.942420e+01,-1.914440e+01,-1.914801e+01
1.625000e+01,-1.944267e+01,-1.915548e+01,-1.916667e+01
1.675000e+01,-1.946083e+01,-1.916788e+01,-1.918132e+01
1.725000e+01,-1.947619e+01,-1.918117e+01,-1.919017e+01
1.775000e+01,-1.948667e+01,-1.919388e+01,-1.919578e+01
1.825000e+01,-1.949462e+01,-1.920069e+01,-1.920728e+01
1.875000e+01,-1.949792e+01,-1.920498e+01,-1.921566e+01
1.925000e+01,-1.949709e+01,-1.920770e+01,-1.921556e+01
1.975000e+01,-1.949560e+01,-1.920709e+01,-1.921118e+01
2.025000e+01,-1.949280e+01,-1.920333e+01,-1.921000e+01
2.075000e+01,-1.948028e+01,-1.919883e+01,-1.921179e+01
