Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.499888e+01,-1.434836e+01,-1.445746e+01,-1.462046e+01,-1.478138e+01,-1.445661e+01,-1.445978e+01,-1.440500e+01
1.250000e+00,-1.550222e+01,-1.502471e+01,-1.527897e+01,-1.536299e+01,-1.556486e+01,-1.524747e+01,-1.519329e+01,-1.515161e+01
1.750000e+00,-1.576696e+01,-1.543510e+01,-1.579076e+01,-1.587538e+01,-1.608823e+01,-1.570204e+01,-1.571254e+01,-1.567136e+01
2.250000e+00,-1.587927e+01,-1.570216e+01,-1.612716e+01,-1.623723e+01,-1.646880e+01,-1.600049e+01,-1.607585e+01,-1.603138e+01
2.750000e+00,-1.595355e+01,-1.584269e+01,-1.638087e+01,-1.649482e+01,-1.672149e+01,-1.616893e+01,-1.634776e+01,-1.624386e+01
3.250000e+00,-1.599799e+01,-1.596844e+01,-1.658570e+01,-1.667788e+01,-1.693455e+01,-1.632682e+01,-1.652184e+01,-1.645160e+01
3.750000e+00,-1.613805e+01,-1.616378e+01,-1.681962e+01,-1.692549e+01,-1.714846e+01,-1.652651e+01,-1.677783e+01,-1.666548e+01
4.250000e+00,-1.630276e+01,-1.637835e+01,-1.705152e+01,-1.715601e+01,-1.735731e+01,-1.674014e+01,-1.701688e+01,-1.686447e+01
4.750000e+00,-1.652368e+01,-1.661707e+01,-1.730240e+01,-1.740692e+01,-1.758741e+01,-1.698278e+01,-1.726632e+01,-1.710870e+01
5.250000e+00,-1.678447e+01,-1.690275e+01,-1.753786e+01,-1.764051e+01,-1.782456e+01,-1.725485e+01,-1.750633e+01,-1.732898e+01
5.750000e+00,-1.705935e+01,-1.714682e+01,-1.777040e+01,-1.784979e+01,-1.801701e+01,-1.749251e+01,-1.771852e+01,-1.752043e+01
6.250000e+00,-1.732595e+01,-1.739783e+01,-1.797600e+01,-1.803887e+01,-1.820437e+01,-1.772286e+01,-1.791437e+01,-1.769358e+01
6.750000e+00,-1.757248e+01,-1.763653e+01,-1.816489e+01,-1.820354e+01,-1.833644e+01,-1.794365e+01,-1.809117e+01,-1.780763e+01
7.250000e+00,-1.781762e+01,-1.784993e+01,-1.833839e+01,-1.835573e+01,-1.848174e+01,-1.814048e+01,-1.824887e+01,-1.794595e+01
7.750000e+00,-1.801661e+01,-1.803364e+01,-1.849373e+01,-1.849203e+01,-1.859542e+01,-1.831253e+01,-1.839166e+01,-1.805587e+01
8.250000e+00,-1.818508e+01,-1.819640e+01,-1.861795e+01,-1.860643e+01,-1.871668e+01,-1.846319e+01,-1.850915e+01,-1.815699e+01
8.750000e+00,-1.834479e+01,-1.834806e+01,-1.874541e+01,-1.871489e+01,-1.880244e+01,-1.860495e+01,-1.862669e+01,-1.823562e+01
9.250000e+00,-1.847605e+01,-1.846808e+01,-1.884821e+01,-1.880385e+01,-1.887476e+01,-1.871931e+01,-1.872028e+01,-1.830244e+01
9.750000e+00,-1.859793e+01,-1.857919e+01,-1.893942e+01,-1.887990e+01,-1.895215e+01,-1.882262e+01,-1.880153e+01,-1.836412e+01
1.025000e+01,-1.869825e+01,-1.867883e+01,-1.903414e+01,-1.895637e+01,-1.902268e+01,-1.891960e+01,-1.888161e+01,-1.842061e+01
1.075000e+01,-1.878187e+01,-1.876161e+01,-1.910704e+01,-1.902444e+01,-1.909148e+01,-1.899906e+01,-1.895263e+01,-1.847199e+01
1.125000e+01,-1.884665e+01,-1.882564e+01,-1.916840e+01,-1.908031e+01,-1.914804e+01,-1.906312e+01,-1.901442e+01,-1.850640e+01
1.175000e+01,-1.889765e+01,-1.888703e+01,-1.923120e+01,-1.912539e+01,-1.918749e+01,-1.912607e+01,-1.906479e+01,-1.852873e+01
1.225000e+01,-1.894008e+01,-1.893708e+01,-1.928697e+01,-1.917579e+01,-1.924243e+01,-1.917751e+01,-1.911974e+01,-1.855460e+01
1.275000e+01,-1.898042e+01,-1.897946e+01,-1.933372e+01,-1.922329e+01,-1.929833e+01,-1.922322e+01,-1.917096e+01,-1.858606e+01
1.325000e+01,-1.900962e+01,-1.901962e+01,-1.938123e+01,-1.925993e+01,-1.934173e+01,-1.926559e+01,-1.921311e+01,-1.859405e+01
1.375000e+01,-1.902366e+01,-1.905035e+01,-1.942005e+01,-1.929300e+01,-1.937968e+01,-1.929848e+01,-1.925139e+01,-1.860229e+01
1.425000e+01,-1.903292e+01,-1.907361e+01,-1.945537e+01,-1.932047e+01,-1.941147e+01,-1.932609e+01,-1.928330e+01,-1.860647e+01
1.475000e+01,-1.903218e+01,-1.909194e+01,-1.948539e+01,-1.935060e+01,-1.944176e+01,-1.934880e+01,-1.931603e+01,-1.861559e+01
1.525000e+01,-1.903135e+01,-1.910585e+01,-1.950924e+01,-1.936983e+01,-1.947351e+01,-1.936604e+01,-1.933843e+01,-1.861727e+01
1.575000e+01,-1.902625e+01,-1.912000e+01,-1.953050e+01,-1.937878e+01,-1.950285e+01,-1.938462e+01,-1.935101e+01,-1.861602e+01
1.625000e+01,-1.901346e+01,-1.912538e+01,-1.954886e+01,-1.939024e+01,-1.952848e+01,-1.939580e+01,-1.936514e+01,-1.860950e+01
1.675000e+01,-1.898897e+01,-1.912776e+01,-1.956646e+01,-1.940473e+01,-1.954643e+01,-1.940263e+01,-1.938395e+01,-1.858982e+01
1.725000e+01,-1.895780e+01,-1.912793e+01,-1.958026e+01,-1.941472e+01,-1.955605e+01,-1.940844e+01,-1.939753e+01,-1.857197e+01
1.775000e+01,-1.892851e+01,-1.912411e+01,-1.959666e+01,-1.942646e+01,-1.956398e+01,-1.941179e+01,-1.941348e+01,-1.855888e+01
1.825000e+01,-1.889610e+01,-1.911976e+01,-1.960391e+01,-1.943011e+01,-1.957964e+01,-1.941233e+01,-1.941952e+01,-1.854724e+01
1.875000e+01,-1.886407e+01,-1.911294e+01,-1.960992e+01,-1.942815e+01,-1.958815e+01,-1.941032e+01,-1.942066e+01,-1.852726e+01
