Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.178038e+01	-1.228682e+01	-1.236526e+01	-1.246642e+01	-1.272694e+01	-1.243063e+01	-1.230811e+01	-1.214893e+01
1.500000e+00	-1.424340e+01	-1.441966e+01	-1.443853e+01	-1.437890e+01	-1.472903e+01	-1.452781e+01	-1.425910e+01	-1.401986e+01
2.500000e+00	-1.584477e+01	-1.563008e+01	-1.552360e+01	-1.539922e+01	-1.567863e+01	-1.568980e+01	-1.530811e+01	-1.499429e+01
3.500000e+00	-1.706559e+01	-1.642459e+01	-1.631058e+01	-1.606607e+01	-1.616516e+01	-1.645700e+01	-1.599455e+01	-1.562739e+01
4.500000e+00	-1.783993e+01	-1.693512e+01	-1.682330e+01	-1.657008e+01	-1.652965e+01	-1.696226e+01	-1.650879e+01	-1.605234e+01
5.500000e+00	-1.832194e+01	-1.731004e+01	-1.718066e+01	-1.695259e+01	-1.684005e+01	-1.733338e+01	-1.688977e+01	-1.642383e+01
6.500000e+00	-1.866693e+01	-1.762149e+01	-1.748199e+01	-1.725026e+01	-1.710804e+01	-1.764820e+01	-1.718236e+01	-1.672593e+01
7.500000e+00	-1.890459e+01	-1.787913e+01	-1.770540e+01	-1.747481e+01	-1.734488e+01	-1.790180e+01	-1.740890e+01	-1.692856e+01
8.500000e+00	-1.910537e+01	-1.807652e+01	-1.792596e+01	-1.767074e+01	-1.753120e+01	-1.809915e+01	-1.761197e+01	-1.711669e+01
9.500000e+00	-1.926147e+01	-1.824162e+01	-1.810540e+01	-1.785637e+01	-1.771131e+01	-1.827374e+01	-1.780008e+01	-1.728797e+01
1.050000e+01	-1.937030e+01	-1.838589e+01	-1.827443e+01	-1.800523e+01	-1.786474e+01	-1.842250e+01	-1.795421e+01	-1.742464e+01
1.150000e+01	-1.945864e+01	-1.850638e+01	-1.839444e+01	-1.814319e+01	-1.801943e+01	-1.854417e+01	-1.808930e+01	-1.756846e+01
1.250000e+01	-1.950834e+01	-1.861037e+01	-1.851870e+01	-1.826860e+01	-1.813799e+01	-1.864939e+01	-1.821848e+01	-1.767787e+01
1.350000e+01	-1.952593e+01	-1.869333e+01	-1.860533e+01	-1.838263e+01	-1.826393e+01	-1.873042e+01	-1.832491e+01	-1.780281e+01
1.450000e+01	-1.953365e+01	-1.877952e+01	-1.868196e+01	-1.847855e+01	-1.836478e+01	-1.881481e+01	-1.841635e+01	-1.790802e+01
1.550000e+01	-1.951002e+01	-1.884443e+01	-1.875940e+01	-1.857720e+01	-1.850896e+01	-1.888361e+01	-1.850664e+01	-1.802931e+01
1.650000e+01	-1.948023e+01	-1.890682e+01	-1.882503e+01	-1.865787e+01	-1.860016e+01	-1.895120e+01	-1.858248e+01	-1.812449e+01
1.750000e+01	-1.940235e+01	-1.894532e+01	-1.887227e+01	-1.874137e+01	-1.872797e+01	-1.899652e+01	-1.865824e+01	-1.823124e+01
1.850000e+01	-1.934178e+01	-1.899766e+01	-1.894028e+01	-1.879670e+01	-1.880230e+01	-1.905773e+01	-1.871710e+01	-1.827130e+01
1.950000e+01	-1.925217e+01	-1.901712e+01	-1.899415e+01	-1.886398e+01	-1.890732e+01	-1.909236e+01	-1.877819e+01	-1.835736e+01
2.050000e+01	-1.916609e+01	-1.904817e+01	-1.904002e+01	-1.890999e+01	-1.901345e+01	-1.913271e+01	-1.881717e+01	-1.843572e+01
2.150000e+01	-1.906675e+01	-1.907216e+01	-1.907159e+01	-1.895501e+01	-1.909843e+01	-1.916169e+01	-1.886167e+01	-1.847586e+01
2.250000e+01	-1.896761e+01	-1.907020e+01	-1.910524e+01	-1.898090e+01	-1.917995e+01	-1.917161e+01	-1.888383e+01	-1.852292e+01
2.350000e+01	-1.886462e+01	-1.905621e+01	-1.913331e+01	-1.901411e+01	-1.923433e+01	-1.917326e+01	-1.891646e+01	-1.854115e+01
2.450000e+01	-1.878080e+01	-1.904578e+01	-1.916043e+01	-1.903601e+01	-1.929627e+01	-1.917274e+01	-1.893757e+01	-1.856382e+01
