Time	U	B	V	R	I	gs	rs	is
1.500000e+00	-8.261122e+00	-8.668563e+00	-8.795681e+00	-1.005899e+01	-1.114126e+01	-9.132852e+00	-9.888088e+00	-1.003862e+01
2.500000e+00	-1.309365e+01	-1.312408e+01	-1.357254e+01	-1.378517e+01	-1.410462e+01	-1.341712e+01	-1.359958e+01	-1.353996e+01
3.500000e+00	-1.557655e+01	-1.532063e+01	-1.549586e+01	-1.559510e+01	-1.615820e+01	-1.545813e+01	-1.542472e+01	-1.540107e+01
4.500000e+00	-1.719551e+01	-1.666110e+01	-1.660765e+01	-1.669819e+01	-1.742679e+01	-1.670526e+01	-1.654769e+01	-1.655165e+01
5.500000e+00	-1.805983e+01	-1.743941e+01	-1.736557e+01	-1.743484e+01	-1.779689e+01	-1.745691e+01	-1.734106e+01	-1.700511e+01
6.500000e+00	-1.865940e+01	-1.796315e+01	-1.782207e+01	-1.782018e+01	-1.783406e+01	-1.794268e+01	-1.775250e+01	-1.726207e+01
7.500000e+00	-1.901698e+01	-1.828543e+01	-1.810565e+01	-1.807621e+01	-1.792161e+01	-1.824774e+01	-1.801365e+01	-1.748446e+01
8.500000e+00	-1.922551e+01	-1.849338e+01	-1.830420e+01	-1.826665e+01	-1.807942e+01	-1.844561e+01	-1.820441e+01	-1.768652e+01
9.500000e+00	-1.935179e+01	-1.864005e+01	-1.842919e+01	-1.838231e+01	-1.824701e+01	-1.858653e+01	-1.832168e+01	-1.780363e+01
1.050000e+01	-1.942695e+01	-1.875275e+01	-1.852833e+01	-1.850564e+01	-1.843620e+01	-1.869431e+01	-1.844039e+01	-1.794524e+01
1.150000e+01	-1.945730e+01	-1.881907e+01	-1.857454e+01	-1.859218e+01	-1.858670e+01	-1.874880e+01	-1.852295e+01	-1.804523e+01
1.250000e+01	-1.943507e+01	-1.886021e+01	-1.861904e+01	-1.867249e+01	-1.877631e+01	-1.879000e+01	-1.859920e+01	-1.815333e+01
1.350000e+01	-1.942429e+01	-1.889016e+01	-1.863443e+01	-1.872673e+01	-1.898288e+01	-1.881994e+01	-1.864133e+01	-1.827527e+01
1.450000e+01	-1.938719e+01	-1.888918e+01	-1.866930e+01	-1.877491e+01	-1.916204e+01	-1.882908e+01	-1.868184e+01	-1.836147e+01
1.550000e+01	-1.934615e+01	-1.887333e+01	-1.869477e+01	-1.881087e+01	-1.932955e+01	-1.883588e+01	-1.870781e+01	-1.845650e+01
1.650000e+01	-1.930165e+01	-1.885300e+01	-1.872864e+01	-1.883235e+01	-1.945688e+01	-1.884193e+01	-1.871993e+01	-1.849987e+01
1.750000e+01	-1.926255e+01	-1.882176e+01	-1.876312e+01	-1.886022e+01	-1.954616e+01	-1.883554e+01	-1.874244e+01	-1.854465e+01
1.850000e+01	-1.923473e+01	-1.879204e+01	-1.878961e+01	-1.886365e+01	-1.957889e+01	-1.883083e+01	-1.874006e+01	-1.855105e+01
1.950000e+01	-1.921183e+01	-1.876896e+01	-1.880845e+01	-1.888523e+01	-1.960856e+01	-1.882658e+01	-1.876015e+01	-1.855125e+01
2.050000e+01	-1.919784e+01	-1.875130e+01	-1.883164e+01	-1.890029e+01	-1.960732e+01	-1.882711e+01	-1.877889e+01	-1.853496e+01
2.150000e+01	-1.917227e+01	-1.873892e+01	-1.886262e+01	-1.890277e+01	-1.961757e+01	-1.883413e+01	-1.877852e+01	-1.853747e+01
2.250000e+01	-1.913566e+01	-1.872414e+01	-1.885728e+01	-1.890251e+01	-1.961973e+01	-1.882259e+01	-1.878345e+01	-1.850595e+01
2.350000e+01	-1.909069e+01	-1.869941e+01	-1.888191e+01	-1.891166e+01	-1.961774e+01	-1.881776e+01	-1.879891e+01	-1.848871e+01
2.450000e+01	-1.905066e+01	-1.870032e+01	-1.889014e+01	-1.890185e+01	-1.959850e+01	-1.882219e+01	-1.879418e+01	-1.844539e+01
