Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-4.060616e+00	-8.586396e+00	-9.478320e+00	-1.042952e+01	-1.119282e+01	-9.040634e+00	-9.695330e+00	-1.108546e+01
1.500000e+00	-9.432722e+00	-1.183743e+01	-1.277500e+01	-1.310076e+01	-1.322899e+01	-1.229878e+01	-1.291580e+01	-1.276958e+01
2.500000e+00	-1.227930e+01	-1.377194e+01	-1.432595e+01	-1.452262e+01	-1.456940e+01	-1.409044e+01	-1.435041e+01	-1.416721e+01
3.500000e+00	-1.429691e+01	-1.508071e+01	-1.547230e+01	-1.560208e+01	-1.552482e+01	-1.533532e+01	-1.544855e+01	-1.520259e+01
4.500000e+00	-1.550185e+01	-1.600677e+01	-1.626955e+01	-1.637216e+01	-1.648637e+01	-1.620022e+01	-1.621794e+01	-1.598889e+01
5.500000e+00	-1.647191e+01	-1.673581e+01	-1.689399e+01	-1.700133e+01	-1.725110e+01	-1.687344e+01	-1.685076e+01	-1.664874e+01
6.500000e+00	-1.722678e+01	-1.729687e+01	-1.737894e+01	-1.749405e+01	-1.785418e+01	-1.740774e+01	-1.734746e+01	-1.718307e+01
7.500000e+00	-1.784505e+01	-1.774368e+01	-1.777550e+01	-1.790392e+01	-1.827198e+01	-1.782856e+01	-1.776766e+01	-1.758210e+01
8.500000e+00	-1.828598e+01	-1.807207e+01	-1.807858e+01	-1.818642e+01	-1.854942e+01	-1.815019e+01	-1.806593e+01	-1.781696e+01
9.500000e+00	-1.859035e+01	-1.831176e+01	-1.832616e+01	-1.841258e+01	-1.877521e+01	-1.839291e+01	-1.830423e+01	-1.801080e+01
1.050000e+01	-1.879142e+01	-1.850103e+01	-1.852672e+01	-1.857047e+01	-1.894686e+01	-1.858647e+01	-1.846810e+01	-1.815252e+01
1.150000e+01	-1.894684e+01	-1.865515e+01	-1.867769e+01	-1.870792e+01	-1.909487e+01	-1.873724e+01	-1.860690e+01	-1.828320e+01
1.250000e+01	-1.902422e+01	-1.877355e+01	-1.880774e+01	-1.881125e+01	-1.919796e+01	-1.886211e+01	-1.872053e+01	-1.835053e+01
1.350000e+01	-1.907762e+01	-1.886246e+01	-1.890283e+01	-1.890128e+01	-1.929384e+01	-1.895343e+01	-1.880890e+01	-1.843799e+01
1.450000e+01	-1.909762e+01	-1.894184e+01	-1.900457e+01	-1.897554e+01	-1.937569e+01	-1.904037e+01	-1.888952e+01	-1.849455e+01
1.550000e+01	-1.909156e+01	-1.900169e+01	-1.906185e+01	-1.902597e+01	-1.943898e+01	-1.910486e+01	-1.894193e+01	-1.853043e+01
1.650000e+01	-1.906364e+01	-1.904938e+01	-1.912476e+01	-1.907546e+01	-1.950396e+01	-1.915594e+01	-1.899481e+01	-1.856924e+01
1.750000e+01	-1.902572e+01	-1.909408e+01	-1.917862e+01	-1.911065e+01	-1.953766e+01	-1.920865e+01	-1.903668e+01	-1.855671e+01
1.850000e+01	-1.897834e+01	-1.913108e+01	-1.921616e+01	-1.913421e+01	-1.957579e+01	-1.924790e+01	-1.906458e+01	-1.856372e+01
1.950000e+01	-1.891414e+01	-1.914452e+01	-1.925854e+01	-1.914442e+01	-1.959313e+01	-1.927175e+01	-1.908144e+01	-1.853808e+01
2.050000e+01	-1.885389e+01	-1.915932e+01	-1.928386e+01	-1.916171e+01	-1.960033e+01	-1.929273e+01	-1.910456e+01	-1.852134e+01
2.150000e+01	-1.878123e+01	-1.916341e+01	-1.930782e+01	-1.916221e+01	-1.959054e+01	-1.930443e+01	-1.911294e+01	-1.847452e+01
2.250000e+01	-1.869465e+01	-1.915442e+01	-1.932723e+01	-1.916090e+01	-1.958265e+01	-1.930340e+01	-1.911583e+01	-1.843999e+01
2.350000e+01	-1.860977e+01	-1.912774e+01	-1.932736e+01	-1.914555e+01	-1.955609e+01	-1.928696e+01	-1.910491e+01	-1.838084e+01
2.450000e+01	-1.850771e+01	-1.909850e+01	-1.932673e+01	-1.912982e+01	-1.952434e+01	-1.926811e+01	-1.909716e+01	-1.831430e+01
