Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.499935e+01	-1.404928e+01	-1.407758e+01	-1.395354e+01	-1.409360e+01	-1.419807e+01	-1.378457e+01	-1.374175e+01
1.500000e+00	-1.662535e+01	-1.599311e+01	-1.611653e+01	-1.602217e+01	-1.620164e+01	-1.615937e+01	-1.589837e+01	-1.573391e+01
2.500000e+00	-1.736899e+01	-1.690640e+01	-1.702251e+01	-1.690910e+01	-1.705681e+01	-1.709214e+01	-1.680120e+01	-1.658056e+01
3.500000e+00	-1.784569e+01	-1.752752e+01	-1.765904e+01	-1.750208e+01	-1.760685e+01	-1.771301e+01	-1.738731e+01	-1.715550e+01
4.500000e+00	-1.821273e+01	-1.799107e+01	-1.812228e+01	-1.791176e+01	-1.794758e+01	-1.817773e+01	-1.780301e+01	-1.753534e+01
5.500000e+00	-1.850617e+01	-1.832101e+01	-1.845538e+01	-1.823993e+01	-1.825676e+01	-1.850498e+01	-1.812871e+01	-1.785891e+01
6.500000e+00	-1.872441e+01	-1.859643e+01	-1.873547e+01	-1.851040e+01	-1.847731e+01	-1.878423e+01	-1.841270e+01	-1.807586e+01
7.500000e+00	-1.892439e+01	-1.881434e+01	-1.896817e+01	-1.870038e+01	-1.869133e+01	-1.900251e+01	-1.860957e+01	-1.826475e+01
8.500000e+00	-1.907834e+01	-1.899404e+01	-1.916132e+01	-1.886813e+01	-1.883184e+01	-1.918571e+01	-1.879082e+01	-1.838389e+01
9.500000e+00	-1.920378e+01	-1.912563e+01	-1.933056e+01	-1.899897e+01	-1.896331e+01	-1.932709e+01	-1.893005e+01	-1.848431e+01
1.050000e+01	-1.927922e+01	-1.923118e+01	-1.946930e+01	-1.911306e+01	-1.906032e+01	-1.944959e+01	-1.905315e+01	-1.854754e+01
1.150000e+01	-1.932383e+01	-1.930542e+01	-1.958508e+01	-1.921710e+01	-1.915159e+01	-1.953701e+01	-1.916655e+01	-1.860180e+01
1.250000e+01	-1.934886e+01	-1.936045e+01	-1.968198e+01	-1.928743e+01	-1.921520e+01	-1.961002e+01	-1.924714e+01	-1.862623e+01
1.350000e+01	-1.934657e+01	-1.938930e+01	-1.976244e+01	-1.936261e+01	-1.929660e+01	-1.965298e+01	-1.933033e+01	-1.866282e+01
1.450000e+01	-1.932042e+01	-1.939038e+01	-1.982481e+01	-1.941844e+01	-1.935637e+01	-1.967721e+01	-1.939303e+01	-1.867853e+01
1.550000e+01	-1.926560e+01	-1.938855e+01	-1.987162e+01	-1.947184e+01	-1.940364e+01	-1.969256e+01	-1.945460e+01	-1.868388e+01
1.650000e+01	-1.922376e+01	-1.936695e+01	-1.990584e+01	-1.951470e+01	-1.948310e+01	-1.969170e+01	-1.950097e+01	-1.870617e+01
1.750000e+01	-1.914766e+01	-1.933432e+01	-1.992874e+01	-1.954262e+01	-1.951486e+01	-1.967909e+01	-1.953484e+01	-1.868552e+01
1.850000e+01	-1.906582e+01	-1.928391e+01	-1.994103e+01	-1.956279e+01	-1.956165e+01	-1.965057e+01	-1.955717e+01	-1.868771e+01
1.950000e+01	-1.897986e+01	-1.922425e+01	-1.994089e+01	-1.958090e+01	-1.958607e+01	-1.961117e+01	-1.957868e+01	-1.867339e+01
2.050000e+01	-1.887319e+01	-1.916037e+01	-1.993223e+01	-1.958859e+01	-1.960917e+01	-1.957014e+01	-1.958895e+01	-1.866015e+01
2.150000e+01	-1.875136e+01	-1.907919e+01	-1.991160e+01	-1.958585e+01	-1.962319e+01	-1.950529e+01	-1.958650e+01	-1.865818e+01
2.250000e+01	-1.863590e+01	-1.899342e+01	-1.987615e+01	-1.956715e+01	-1.963074e+01	-1.943724e+01	-1.956886e+01	-1.864058e+01
2.350000e+01	-1.849416e+01	-1.891512e+01	-1.984287e+01	-1.956471e+01	-1.964856e+01	-1.937141e+01	-1.956430e+01	-1.864190e+01
2.450000e+01	-1.832695e+01	-1.881701e+01	-1.979185e+01	-1.953123e+01	-1.966765e+01	-1.928969e+01	-1.952845e+01	-1.865221e+01
