Time	U	B	V	R	I	gs	rs	is
1.500000e+00	-4.738840e+00	-5.795699e+00	-6.546008e+00	-8.396064e+00	-9.565932e+00	-6.644801e+00	-8.218443e+00	-8.662339e+00
2.500000e+00	-1.101778e+01	-1.107438e+01	-1.175930e+01	-1.232000e+01	-1.283406e+01	-1.149370e+01	-1.210423e+01	-1.229556e+01
3.500000e+00	-1.403932e+01	-1.391692e+01	-1.426403e+01	-1.439126e+01	-1.483274e+01	-1.413311e+01	-1.419328e+01	-1.424098e+01
4.500000e+00	-1.582323e+01	-1.547328e+01	-1.561199e+01	-1.575193e+01	-1.634594e+01	-1.560397e+01	-1.557535e+01	-1.556187e+01
5.500000e+00	-1.706109e+01	-1.649050e+01	-1.644123e+01	-1.651994e+01	-1.709097e+01	-1.653537e+01	-1.637290e+01	-1.627077e+01
6.500000e+00	-1.789546e+01	-1.717399e+01	-1.700936e+01	-1.703086e+01	-1.731210e+01	-1.716258e+01	-1.692158e+01	-1.661863e+01
7.500000e+00	-1.833695e+01	-1.757757e+01	-1.740542e+01	-1.736886e+01	-1.752148e+01	-1.756212e+01	-1.728186e+01	-1.689553e+01
8.500000e+00	-1.861954e+01	-1.782133e+01	-1.767737e+01	-1.763207e+01	-1.770952e+01	-1.781570e+01	-1.755182e+01	-1.712747e+01
9.500000e+00	-1.879927e+01	-1.800091e+01	-1.786565e+01	-1.780616e+01	-1.786739e+01	-1.799975e+01	-1.773033e+01	-1.729527e+01
1.050000e+01	-1.894534e+01	-1.813888e+01	-1.799560e+01	-1.797063e+01	-1.801026e+01	-1.812929e+01	-1.788711e+01	-1.747431e+01
1.150000e+01	-1.903896e+01	-1.824707e+01	-1.810439e+01	-1.807825e+01	-1.815995e+01	-1.823664e+01	-1.798933e+01	-1.759980e+01
1.250000e+01	-1.909846e+01	-1.832080e+01	-1.817287e+01	-1.818672e+01	-1.830472e+01	-1.830678e+01	-1.809063e+01	-1.773921e+01
1.350000e+01	-1.911767e+01	-1.837012e+01	-1.823260e+01	-1.825965e+01	-1.841606e+01	-1.835359e+01	-1.815260e+01	-1.784986e+01
1.450000e+01	-1.912412e+01	-1.840646e+01	-1.829219e+01	-1.834270e+01	-1.854876e+01	-1.839302e+01	-1.822827e+01	-1.796150e+01
1.550000e+01	-1.909080e+01	-1.842480e+01	-1.830470e+01	-1.839164e+01	-1.866022e+01	-1.841449e+01	-1.826828e+01	-1.803991e+01
1.650000e+01	-1.903584e+01	-1.844677e+01	-1.834725e+01	-1.843819e+01	-1.876342e+01	-1.844180e+01	-1.830929e+01	-1.810859e+01
1.750000e+01	-1.897608e+01	-1.844878e+01	-1.837402e+01	-1.847016e+01	-1.885808e+01	-1.845322e+01	-1.833960e+01	-1.814865e+01
1.850000e+01	-1.892700e+01	-1.845135e+01	-1.840145e+01	-1.849463e+01	-1.895014e+01	-1.846532e+01	-1.835582e+01	-1.821110e+01
1.950000e+01	-1.888477e+01	-1.843040e+01	-1.841797e+01	-1.850858e+01	-1.901519e+01	-1.846007e+01	-1.835794e+01	-1.825661e+01
2.050000e+01	-1.884674e+01	-1.840532e+01	-1.842521e+01	-1.851157e+01	-1.908143e+01	-1.845192e+01	-1.835446e+01	-1.829092e+01
2.150000e+01	-1.878646e+01	-1.837385e+01	-1.842918e+01	-1.852459e+01	-1.913300e+01	-1.843807e+01	-1.836285e+01	-1.830920e+01
2.250000e+01	-1.874910e+01	-1.833982e+01	-1.842334e+01	-1.852621e+01	-1.915439e+01	-1.841780e+01	-1.836792e+01	-1.830323e+01
2.350000e+01	-1.870291e+01	-1.829955e+01	-1.842109e+01	-1.851599e+01	-1.914715e+01	-1.839907e+01	-1.835941e+01	-1.825634e+01
2.450000e+01	-1.865861e+01	-1.826447e+01	-1.842811e+01	-1.849896e+01	-1.915450e+01	-1.838438e+01	-1.834635e+01	-1.823219e+01
