Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.005125e+01	-1.120906e+01	-1.165087e+01	-1.188270e+01	-1.194106e+01	-1.151518e+01	-1.171759e+01	-1.157408e+01
1.500000e+00	-1.384787e+01	-1.422970e+01	-1.440379e+01	-1.449417e+01	-1.465853e+01	-1.441599e+01	-1.433019e+01	-1.415695e+01
2.500000e+00	-1.632924e+01	-1.606180e+01	-1.604416e+01	-1.601223e+01	-1.630506e+01	-1.614413e+01	-1.589136e+01	-1.564019e+01
3.500000e+00	-1.777712e+01	-1.707369e+01	-1.700656e+01	-1.690433e+01	-1.710024e+01	-1.712521e+01	-1.681294e+01	-1.646587e+01
4.500000e+00	-1.857366e+01	-1.767018e+01	-1.760951e+01	-1.743677e+01	-1.742225e+01	-1.771789e+01	-1.736580e+01	-1.688738e+01
5.500000e+00	-1.901737e+01	-1.807349e+01	-1.798002e+01	-1.782625e+01	-1.776417e+01	-1.810472e+01	-1.775387e+01	-1.726760e+01
6.500000e+00	-1.929796e+01	-1.835853e+01	-1.828020e+01	-1.811532e+01	-1.801895e+01	-1.839067e+01	-1.804083e+01	-1.755497e+01
7.500000e+00	-1.951591e+01	-1.858547e+01	-1.851128e+01	-1.835929e+01	-1.825711e+01	-1.861360e+01	-1.828608e+01	-1.779680e+01
8.500000e+00	-1.969327e+01	-1.877241e+01	-1.869644e+01	-1.856518e+01	-1.847603e+01	-1.880014e+01	-1.848039e+01	-1.804010e+01
9.500000e+00	-1.982468e+01	-1.893573e+01	-1.885668e+01	-1.874271e+01	-1.865256e+01	-1.896274e+01	-1.865877e+01	-1.821107e+01
1.050000e+01	-1.992308e+01	-1.907182e+01	-1.898251e+01	-1.888873e+01	-1.883024e+01	-1.909818e+01	-1.879841e+01	-1.838788e+01
1.150000e+01	-1.996402e+01	-1.918921e+01	-1.910177e+01	-1.900432e+01	-1.897582e+01	-1.921973e+01	-1.891624e+01	-1.850961e+01
1.250000e+01	-1.998973e+01	-1.928740e+01	-1.920045e+01	-1.909090e+01	-1.908174e+01	-1.931935e+01	-1.901093e+01	-1.857463e+01
1.350000e+01	-1.997526e+01	-1.937522e+01	-1.929317e+01	-1.916934e+01	-1.915069e+01	-1.941014e+01	-1.909894e+01	-1.860498e+01
1.450000e+01	-1.993651e+01	-1.944701e+01	-1.938280e+01	-1.922901e+01	-1.922736e+01	-1.948986e+01	-1.916419e+01	-1.862426e+01
1.550000e+01	-1.987814e+01	-1.951134e+01	-1.944951e+01	-1.927986e+01	-1.928514e+01	-1.955291e+01	-1.922421e+01	-1.862822e+01
1.650000e+01	-1.979891e+01	-1.955669e+01	-1.952398e+01	-1.932847e+01	-1.934109e+01	-1.960969e+01	-1.928110e+01	-1.861644e+01
1.750000e+01	-1.971523e+01	-1.958990e+01	-1.958433e+01	-1.937585e+01	-1.940842e+01	-1.965449e+01	-1.933575e+01	-1.861698e+01
1.850000e+01	-1.960997e+01	-1.958900e+01	-1.963251e+01	-1.941112e+01	-1.946598e+01	-1.966888e+01	-1.937286e+01	-1.862616e+01
1.950000e+01	-1.949380e+01	-1.957325e+01	-1.967090e+01	-1.943172e+01	-1.952060e+01	-1.967829e+01	-1.939856e+01	-1.861669e+01
2.050000e+01	-1.935358e+01	-1.954899e+01	-1.970248e+01	-1.944799e+01	-1.955483e+01	-1.967457e+01	-1.941846e+01	-1.860436e+01
2.150000e+01	-1.920813e+01	-1.948752e+01	-1.972039e+01	-1.943945e+01	-1.957605e+01	-1.964636e+01	-1.941510e+01	-1.857030e+01
2.250000e+01	-1.904419e+01	-1.941141e+01	-1.970862e+01	-1.942483e+01	-1.958989e+01	-1.959673e+01	-1.940210e+01	-1.854871e+01
2.350000e+01	-1.889021e+01	-1.931282e+01	-1.969787e+01	-1.939804e+01	-1.959903e+01	-1.953095e+01	-1.937908e+01	-1.851170e+01
2.450000e+01	-1.872716e+01	-1.920101e+01	-1.965703e+01	-1.936316e+01	-1.959980e+01	-1.945721e+01	-1.934345e+01	-1.849516e+01
