Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.207217e+01	-1.231812e+01	-1.262817e+01	-1.282006e+01	-1.267582e+01	-1.257428e+01	-1.267835e+01	-1.246218e+01
1.500000e+00	-1.363620e+01	-1.421340e+01	-1.466337e+01	-1.477084e+01	-1.469095e+01	-1.448756e+01	-1.464829e+01	-1.432507e+01
2.500000e+00	-1.455523e+01	-1.514779e+01	-1.559868e+01	-1.570907e+01	-1.571842e+01	-1.542724e+01	-1.557675e+01	-1.530593e+01
3.500000e+00	-1.520100e+01	-1.584292e+01	-1.627725e+01	-1.641284e+01	-1.646936e+01	-1.610627e+01	-1.627142e+01	-1.600062e+01
4.500000e+00	-1.580756e+01	-1.641502e+01	-1.681197e+01	-1.697482e+01	-1.701650e+01	-1.666544e+01	-1.683589e+01	-1.655107e+01
5.500000e+00	-1.632319e+01	-1.689327e+01	-1.726813e+01	-1.738518e+01	-1.750505e+01	-1.712838e+01	-1.724540e+01	-1.698495e+01
6.500000e+00	-1.671391e+01	-1.728937e+01	-1.763258e+01	-1.775778e+01	-1.791496e+01	-1.751201e+01	-1.761802e+01	-1.736800e+01
7.500000e+00	-1.704760e+01	-1.762819e+01	-1.792702e+01	-1.802336e+01	-1.818595e+01	-1.783193e+01	-1.789827e+01	-1.759428e+01
8.500000e+00	-1.732639e+01	-1.788635e+01	-1.818564e+01	-1.825946e+01	-1.843628e+01	-1.809189e+01	-1.814275e+01	-1.780556e+01
9.500000e+00	-1.753661e+01	-1.811078e+01	-1.839760e+01	-1.843741e+01	-1.863788e+01	-1.831659e+01	-1.832646e+01	-1.797831e+01
1.050000e+01	-1.767474e+01	-1.826959e+01	-1.857422e+01	-1.859349e+01	-1.877120e+01	-1.848202e+01	-1.849122e+01	-1.808442e+01
1.150000e+01	-1.779456e+01	-1.841698e+01	-1.871918e+01	-1.871932e+01	-1.890599e+01	-1.863204e+01	-1.862208e+01	-1.819057e+01
1.250000e+01	-1.786055e+01	-1.851793e+01	-1.883474e+01	-1.881532e+01	-1.901808e+01	-1.873895e+01	-1.872629e+01	-1.825734e+01
1.350000e+01	-1.792551e+01	-1.859388e+01	-1.893434e+01	-1.888813e+01	-1.909663e+01	-1.882232e+01	-1.880257e+01	-1.832029e+01
1.450000e+01	-1.794156e+01	-1.863282e+01	-1.901821e+01	-1.895247e+01	-1.915209e+01	-1.887644e+01	-1.887344e+01	-1.834248e+01
1.550000e+01	-1.792113e+01	-1.866676e+01	-1.907997e+01	-1.899860e+01	-1.920832e+01	-1.892224e+01	-1.892455e+01	-1.837375e+01
1.650000e+01	-1.790432e+01	-1.867009e+01	-1.912066e+01	-1.902499e+01	-1.924454e+01	-1.893663e+01	-1.895740e+01	-1.837895e+01
1.750000e+01	-1.785270e+01	-1.865260e+01	-1.914948e+01	-1.905586e+01	-1.927379e+01	-1.893410e+01	-1.899152e+01	-1.837316e+01
1.850000e+01	-1.777726e+01	-1.861908e+01	-1.916965e+01	-1.906003e+01	-1.929315e+01	-1.892036e+01	-1.899967e+01	-1.837347e+01
1.950000e+01	-1.768442e+01	-1.856896e+01	-1.916764e+01	-1.906210e+01	-1.929393e+01	-1.888903e+01	-1.900377e+01	-1.835219e+01
2.050000e+01	-1.758962e+01	-1.850191e+01	-1.916594e+01	-1.905022e+01	-1.930415e+01	-1.884335e+01	-1.899743e+01	-1.832119e+01
2.150000e+01	-1.743526e+01	-1.842552e+01	-1.914706e+01	-1.904071e+01	-1.930659e+01	-1.878638e+01	-1.898746e+01	-1.831924e+01
2.250000e+01	-1.727317e+01	-1.833429e+01	-1.911623e+01	-1.902279e+01	-1.928624e+01	-1.872139e+01	-1.897092e+01	-1.828654e+01
2.350000e+01	-1.706707e+01	-1.823238e+01	-1.907602e+01	-1.899116e+01	-1.926514e+01	-1.864335e+01	-1.894216e+01	-1.824609e+01
2.450000e+01	-1.682309e+01	-1.812195e+01	-1.901782e+01	-1.895310e+01	-1.925755e+01	-1.855024e+01	-1.890329e+01	-1.823273e+01
