Time	U	B	V	R	I	gs	rs	is
1.500000e+00	-8.582285e+00	-9.546243e+00	-1.013563e+01	-1.151974e+01	-1.213383e+01	-9.892786e+00	-1.121028e+01	-1.159764e+01
2.500000e+00	-1.312729e+01	-1.315274e+01	-1.376944e+01	-1.402454e+01	-1.422145e+01	-1.343502e+01	-1.385427e+01	-1.372900e+01
3.500000e+00	-1.533366e+01	-1.511409e+01	-1.535054e+01	-1.546572e+01	-1.586828e+01	-1.527067e+01	-1.529653e+01	-1.522799e+01
4.500000e+00	-1.683547e+01	-1.636839e+01	-1.640890e+01	-1.653897e+01	-1.716516e+01	-1.645235e+01	-1.637201e+01	-1.639510e+01
5.500000e+00	-1.780212e+01	-1.718224e+01	-1.714292e+01	-1.722306e+01	-1.783443e+01	-1.722748e+01	-1.708067e+01	-1.702493e+01
6.500000e+00	-1.840722e+01	-1.773206e+01	-1.765773e+01	-1.767306e+01	-1.804110e+01	-1.775385e+01	-1.757162e+01	-1.729350e+01
7.500000e+00	-1.882799e+01	-1.811107e+01	-1.800857e+01	-1.799709e+01	-1.815568e+01	-1.810728e+01	-1.791866e+01	-1.749176e+01
8.500000e+00	-1.911535e+01	-1.837606e+01	-1.824675e+01	-1.821923e+01	-1.828366e+01	-1.835494e+01	-1.814960e+01	-1.768013e+01
9.500000e+00	-1.929741e+01	-1.856062e+01	-1.842559e+01	-1.838671e+01	-1.842584e+01	-1.853982e+01	-1.832210e+01	-1.783459e+01
1.050000e+01	-1.942171e+01	-1.870137e+01	-1.855935e+01	-1.852396e+01	-1.856581e+01	-1.868206e+01	-1.845952e+01	-1.797202e+01
1.150000e+01	-1.951354e+01	-1.881290e+01	-1.866552e+01	-1.864175e+01	-1.871145e+01	-1.879227e+01	-1.857612e+01	-1.808859e+01
1.250000e+01	-1.957496e+01	-1.889402e+01	-1.873516e+01	-1.872640e+01	-1.885975e+01	-1.887362e+01	-1.866071e+01	-1.820101e+01
1.350000e+01	-1.963825e+01	-1.896270e+01	-1.880836e+01	-1.880650e+01	-1.901108e+01	-1.894345e+01	-1.874157e+01	-1.829302e+01
1.450000e+01	-1.966411e+01	-1.902430e+01	-1.888771e+01	-1.887092e+01	-1.917943e+01	-1.900955e+01	-1.880049e+01	-1.838016e+01
1.550000e+01	-1.969615e+01	-1.907396e+01	-1.895406e+01	-1.892260e+01	-1.931903e+01	-1.906842e+01	-1.885100e+01	-1.847017e+01
1.650000e+01	-1.971649e+01	-1.912624e+01	-1.901592e+01	-1.897110e+01	-1.945226e+01	-1.912984e+01	-1.889242e+01	-1.855516e+01
1.750000e+01	-1.971317e+01	-1.915586e+01	-1.907084e+01	-1.900753e+01	-1.952667e+01	-1.917203e+01	-1.893381e+01	-1.856189e+01
1.850000e+01	-1.969499e+01	-1.917816e+01	-1.911465e+01	-1.903595e+01	-1.959202e+01	-1.920914e+01	-1.896327e+01	-1.858260e+01
1.950000e+01	-1.968556e+01	-1.918517e+01	-1.914214e+01	-1.904577e+01	-1.960911e+01	-1.923019e+01	-1.897725e+01	-1.856275e+01
2.050000e+01	-1.965503e+01	-1.919787e+01	-1.918156e+01	-1.907049e+01	-1.964053e+01	-1.925720e+01	-1.900585e+01	-1.855192e+01
2.150000e+01	-1.961964e+01	-1.919211e+01	-1.921060e+01	-1.907104e+01	-1.962495e+01	-1.926686e+01	-1.901033e+01	-1.851421e+01
2.250000e+01	-1.956731e+01	-1.918571e+01	-1.923626e+01	-1.908476e+01	-1.961588e+01	-1.927130e+01	-1.903193e+01	-1.847834e+01
2.350000e+01	-1.952289e+01	-1.919369e+01	-1.924669e+01	-1.909846e+01	-1.962513e+01	-1.928107e+01	-1.904782e+01	-1.845358e+01
2.450000e+01	-1.945242e+01	-1.918512e+01	-1.927065e+01	-1.909257e+01	-1.961356e+01	-1.928066e+01	-1.904656e+01	-1.841755e+01
