Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-3.036375e+00,-5.107786e+00,-7.382055e+00,-9.078158e+00,-1.051288e+01,-5.538354e+00,-8.433589e+00,-9.966464e+00
1.250000e+00,-1.642469e+00,-7.843046e+00,-9.844430e+00,-1.082321e+01,-1.176491e+01,-8.686493e+00,-1.039523e+01,-1.120356e+01
1.750000e+00,-9.177790e+00,-1.110973e+01,-1.217883e+01,-1.273372e+01,-1.326883e+01,-1.162900e+01,-1.251265e+01,-1.268999e+01
2.250000e+00,-1.213623e+01,-1.319601e+01,-1.391066e+01,-1.426189e+01,-1.449777e+01,-1.349750e+01,-1.409885e+01,-1.399852e+01
2.750000e+00,-1.403307e+01,-1.453866e+01,-1.501974e+01,-1.521660e+01,-1.542919e+01,-1.475494e+01,-1.505572e+01,-1.492243e+01
3.250000e+00,-1.521077e+01,-1.544716e+01,-1.577732e+01,-1.594843e+01,-1.618252e+01,-1.563516e+01,-1.579229e+01,-1.562167e+01
3.750000e+00,-1.612866e+01,-1.609614e+01,-1.633969e+01,-1.650827e+01,-1.677896e+01,-1.625734e+01,-1.636332e+01,-1.617223e+01
4.250000e+00,-1.685489e+01,-1.657734e+01,-1.677539e+01,-1.694986e+01,-1.724655e+01,-1.672435e+01,-1.681461e+01,-1.659521e+01
4.750000e+00,-1.740223e+01,-1.694464e+01,-1.711316e+01,-1.726031e+01,-1.756573e+01,-1.707877e+01,-1.713235e+01,-1.688769e+01
5.250000e+00,-1.778689e+01,-1.725603e+01,-1.739012e+01,-1.754913e+01,-1.780699e+01,-1.737086e+01,-1.743542e+01,-1.712358e+01
5.750000e+00,-1.807480e+01,-1.750989e+01,-1.761942e+01,-1.777076e+01,-1.800284e+01,-1.761217e+01,-1.766598e+01,-1.731439e+01
6.250000e+00,-1.830197e+01,-1.771469e+01,-1.780035e+01,-1.794756e+01,-1.816709e+01,-1.780564e+01,-1.784857e+01,-1.748615e+01
6.750000e+00,-1.849073e+01,-1.789467e+01,-1.796933e+01,-1.811452e+01,-1.830669e+01,-1.797274e+01,-1.802381e+01,-1.762261e+01
7.250000e+00,-1.864797e+01,-1.805047e+01,-1.809944e+01,-1.825711e+01,-1.841851e+01,-1.811660e+01,-1.817119e+01,-1.774320e+01
7.750000e+00,-1.877322e+01,-1.817590e+01,-1.821764e+01,-1.836807e+01,-1.851224e+01,-1.823850e+01,-1.828698e+01,-1.783213e+01
8.250000e+00,-1.888028e+01,-1.828583e+01,-1.831624e+01,-1.845950e+01,-1.862761e+01,-1.834442e+01,-1.837775e+01,-1.793162e+01
8.750000e+00,-1.897353e+01,-1.838362e+01,-1.840593e+01,-1.853240e+01,-1.870728e+01,-1.844106e+01,-1.845533e+01,-1.799434e+01
9.250000e+00,-1.905106e+01,-1.846447e+01,-1.848566e+01,-1.858648e+01,-1.877246e+01,-1.852136e+01,-1.851466e+01,-1.803385e+01
9.750000e+00,-1.910880e+01,-1.854106e+01,-1.855544e+01,-1.865341e+01,-1.884459e+01,-1.859483e+01,-1.858272e+01,-1.809305e+01
1.025000e+01,-1.916472e+01,-1.860659e+01,-1.861477e+01,-1.870487e+01,-1.890341e+01,-1.866305e+01,-1.863696e+01,-1.812446e+01
1.075000e+01,-1.920714e+01,-1.866764e+01,-1.867855e+01,-1.875243e+01,-1.897126e+01,-1.872775e+01,-1.868868e+01,-1.816327e+01
1.125000e+01,-1.924189e+01,-1.871892e+01,-1.873231e+01,-1.878515e+01,-1.902653e+01,-1.878179e+01,-1.872505e+01,-1.818797e+01
1.175000e+01,-1.926750e+01,-1.876756e+01,-1.878052e+01,-1.882168e+01,-1.907904e+01,-1.883183e+01,-1.876354e+01,-1.821546e+01
1.225000e+01,-1.928784e+01,-1.881893e+01,-1.882746e+01,-1.885046e+01,-1.912351e+01,-1.888511e+01,-1.880014e+01,-1.821763e+01
1.275000e+01,-1.929470e+01,-1.885718e+01,-1.886873e+01,-1.887651e+01,-1.915867e+01,-1.892588e+01,-1.883349e+01,-1.820682e+01
1.325000e+01,-1.929386e+01,-1.889091e+01,-1.890404e+01,-1.889280e+01,-1.919471e+01,-1.896321e+01,-1.885497e+01,-1.820037e+01
1.375000e+01,-1.928415e+01,-1.891858e+01,-1.893385e+01,-1.890752e+01,-1.922695e+01,-1.899245e+01,-1.887281e+01,-1.819398e+01
1.425000e+01,-1.926506e+01,-1.895262e+01,-1.896603e+01,-1.892388e+01,-1.925336e+01,-1.902857e+01,-1.889523e+01,-1.817403e+01
1.475000e+01,-1.923877e+01,-1.897706e+01,-1.899798e+01,-1.894126e+01,-1.927402e+01,-1.905549e+01,-1.891902e+01,-1.815513e+01
1.525000e+01,-1.920352e+01,-1.899668e+01,-1.902288e+01,-1.895262e+01,-1.929399e+01,-1.907844e+01,-1.893463e+01,-1.813063e+01
1.575000e+01,-1.915885e+01,-1.901861e+01,-1.905199e+01,-1.896614e+01,-1.931249e+01,-1.910498e+01,-1.895361e+01,-1.810377e+01
1.625000e+01,-1.910796e+01,-1.903494e+01,-1.907631e+01,-1.897222e+01,-1.932542e+01,-1.912589e+01,-1.896418e+01,-1.807110e+01
1.675000e+01,-1.904976e+01,-1.904690e+01,-1.909312e+01,-1.897842e+01,-1.933404e+01,-1.914058e+01,-1.897252e+01,-1.805130e+01
1.725000e+01,-1.898918e+01,-1.905230e+01,-1.911538e+01,-1.898781e+01,-1.933546e+01,-1.915159e+01,-1.898434e+01,-1.802914e+01
1.775000e+01,-1.893017e+01,-1.906036e+01,-1.913750e+01,-1.899724e+01,-1.933721e+01,-1.916228e+01,-1.899701e+01,-1.800485e+01
1.825000e+01,-1.887125e+01,-1.906600e+01,-1.915443e+01,-1.900114e+01,-1.933624e+01,-1.917226e+01,-1.900300e+01,-1.797433e+01
1.875000e+01,-1.881536e+01,-1.906311e+01,-1.916936e+01,-1.900748e+01,-1.932871e+01,-1.917459e+01,-1.901150e+01,-1.794506e+01
1.925000e+01,-1.875334e+01,-1.906156e+01,-1.918296e+01,-1.900850e+01,-1.931542e+01,-1.918030e+01,-1.901569e+01,-1.790659e+01
1.975000e+01,-1.869033e+01,-1.905578e+01,-1.919307e+01,-1.900282e+01,-1.929664e+01,-1.918154e+01,-1.901191e+01,-1.787210e+01
2.025000e+01,-1.862652e+01,-1.904494e+01,-1.920068e+01,-1.899711e+01,-1.927543e+01,-1.917863e+01,-1.900873e+01,-1.783219e+01
2.075000e+01,-1.855301e+01,-1.902439e+01,-1.920525e+01,-1.899038e+01,-1.925247e+01,-1.916877e+01,-1.900356e+01,-1.779391e+01
