Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-2.681975e+00,-3.332297e+00,-7.219597e+00,-8.921946e+00,-1.012164e+01,-4.904759e+00,-8.747409e+00,-8.896964e+00
1.250000e+00,4.407140e+00,-4.773193e+00,-5.227631e+00,-7.740563e+00,-9.474300e+00,-4.824543e+00,-7.072370e+00,-8.561645e+00
1.750000e+00,-6.286394e+00,-6.486409e+00,-8.586886e+00,-1.054416e+01,-1.190761e+01,-7.147925e+00,-9.994764e+00,-1.111877e+01
2.250000e+00,-8.518667e+00,-9.433939e+00,-1.187224e+01,-1.315016e+01,-1.407044e+01,-1.053939e+01,-1.259390e+01,-1.371611e+01
2.750000e+00,-1.025053e+01,-1.140476e+01,-1.406639e+01,-1.455936e+01,-1.520045e+01,-1.271140e+01,-1.415371e+01,-1.488976e+01
3.250000e+00,-1.142848e+01,-1.248087e+01,-1.520915e+01,-1.544468e+01,-1.598881e+01,-1.381854e+01,-1.512613e+01,-1.562677e+01
3.750000e+00,-1.263615e+01,-1.341676e+01,-1.601649e+01,-1.617241e+01,-1.660545e+01,-1.464945e+01,-1.590133e+01,-1.623615e+01
4.250000e+00,-1.364855e+01,-1.429536e+01,-1.671585e+01,-1.679217e+01,-1.711768e+01,-1.542052e+01,-1.657445e+01,-1.672251e+01
4.750000e+00,-1.463628e+01,-1.513599e+01,-1.723572e+01,-1.730220e+01,-1.756890e+01,-1.610818e+01,-1.713013e+01,-1.710516e+01
5.250000e+00,-1.561054e+01,-1.597447e+01,-1.763992e+01,-1.768585e+01,-1.792717e+01,-1.675698e+01,-1.755541e+01,-1.736738e+01
5.750000e+00,-1.644736e+01,-1.670685e+01,-1.793594e+01,-1.795105e+01,-1.822055e+01,-1.731165e+01,-1.784168e+01,-1.756033e+01
6.250000e+00,-1.700917e+01,-1.723019e+01,-1.815612e+01,-1.812151e+01,-1.843446e+01,-1.772770e+01,-1.802759e+01,-1.769103e+01
6.750000e+00,-1.740859e+01,-1.758179e+01,-1.829802e+01,-1.824512e+01,-1.861671e+01,-1.800858e+01,-1.815469e+01,-1.781856e+01
7.250000e+00,-1.769585e+01,-1.782951e+01,-1.841650e+01,-1.836386e+01,-1.876688e+01,-1.821170e+01,-1.827947e+01,-1.792400e+01
7.750000e+00,-1.791388e+01,-1.802302e+01,-1.851676e+01,-1.846513e+01,-1.889645e+01,-1.837669e+01,-1.837923e+01,-1.803884e+01
8.250000e+00,-1.805435e+01,-1.815735e+01,-1.860705e+01,-1.855370e+01,-1.900788e+01,-1.849792e+01,-1.847081e+01,-1.812090e+01
8.750000e+00,-1.814194e+01,-1.826387e+01,-1.868890e+01,-1.863515e+01,-1.911152e+01,-1.860204e+01,-1.855275e+01,-1.820454e+01
9.250000e+00,-1.820684e+01,-1.834927e+01,-1.875758e+01,-1.869935e+01,-1.920740e+01,-1.868533e+01,-1.861955e+01,-1.827809e+01
9.750000e+00,-1.824263e+01,-1.842106e+01,-1.883584e+01,-1.877279e+01,-1.929109e+01,-1.876609e+01,-1.869563e+01,-1.833456e+01
1.025000e+01,-1.825150e+01,-1.847164e+01,-1.890656e+01,-1.883260e+01,-1.936355e+01,-1.882971e+01,-1.875822e+01,-1.839026e+01
1.075000e+01,-1.823181e+01,-1.850954e+01,-1.897303e+01,-1.889461e+01,-1.943252e+01,-1.888602e+01,-1.882529e+01,-1.844122e+01
1.125000e+01,-1.820611e+01,-1.853432e+01,-1.903427e+01,-1.894185e+01,-1.949683e+01,-1.892933e+01,-1.887586e+01,-1.847623e+01
1.175000e+01,-1.817339e+01,-1.856005e+01,-1.909537e+01,-1.898959e+01,-1.955167e+01,-1.897101e+01,-1.892678e+01,-1.851339e+01
1.225000e+01,-1.812016e+01,-1.857488e+01,-1.915251e+01,-1.903127e+01,-1.960691e+01,-1.900774e+01,-1.897499e+01,-1.853931e+01
1.275000e+01,-1.806045e+01,-1.858429e+01,-1.920864e+01,-1.907852e+01,-1.965036e+01,-1.903941e+01,-1.902707e+01,-1.856217e+01
1.325000e+01,-1.797855e+01,-1.858122e+01,-1.925604e+01,-1.911386e+01,-1.968892e+01,-1.906125e+01,-1.906765e+01,-1.857439e+01
1.375000e+01,-1.789006e+01,-1.856843e+01,-1.930940e+01,-1.914462e+01,-1.972907e+01,-1.907888e+01,-1.910253e+01,-1.859101e+01
1.425000e+01,-1.780163e+01,-1.854992e+01,-1.935196e+01,-1.917524e+01,-1.976234e+01,-1.908652e+01,-1.913857e+01,-1.860098e+01
1.475000e+01,-1.771403e+01,-1.852880e+01,-1.939022e+01,-1.920119e+01,-1.978889e+01,-1.909091e+01,-1.916674e+01,-1.860828e+01
1.525000e+01,-1.761254e+01,-1.850595e+01,-1.942941e+01,-1.922942e+01,-1.981108e+01,-1.909445e+01,-1.919815e+01,-1.861748e+01
1.575000e+01,-1.751101e+01,-1.847065e+01,-1.946287e+01,-1.925226e+01,-1.983273e+01,-1.908804e+01,-1.922697e+01,-1.862079e+01
1.625000e+01,-1.741046e+01,-1.842800e+01,-1.949078e+01,-1.927408e+01,-1.985063e+01,-1.907257e+01,-1.925248e+01,-1.862436e+01
1.675000e+01,-1.731234e+01,-1.838510e+01,-1.951477e+01,-1.929621e+01,-1.986346e+01,-1.905559e+01,-1.927520e+01,-1.863200e+01
1.725000e+01,-1.720981e+01,-1.833782e+01,-1.953375e+01,-1.931484e+01,-1.987292e+01,-1.903489e+01,-1.929595e+01,-1.863239e+01
1.775000e+01,-1.710818e+01,-1.828142e+01,-1.954764e+01,-1.933194e+01,-1.988115e+01,-1.900502e+01,-1.931579e+01,-1.863213e+01
1.825000e+01,-1.701160e+01,-1.822349e+01,-1.955872e+01,-1.934656e+01,-1.988487e+01,-1.897348e+01,-1.933230e+01,-1.863484e+01
1.875000e+01,-1.690906e+01,-1.816568e+01,-1.956610e+01,-1.935883e+01,-1.988722e+01,-1.894048e+01,-1.934460e+01,-1.863608e+01
1.925000e+01,-1.680107e+01,-1.810400e+01,-1.957106e+01,-1.936876e+01,-1.988815e+01,-1.890376e+01,-1.935261e+01,-1.864670e+01
1.975000e+01,-1.671296e+01,-1.804662e+01,-1.957610e+01,-1.937094e+01,-1.988898e+01,-1.887011e+01,-1.935426e+01,-1.865353e+01
2.025000e+01,-1.662377e+01,-1.798764e+01,-1.957411e+01,-1.936905e+01,-1.988320e+01,-1.883232e+01,-1.935163e+01,-1.864873e+01
2.075000e+01,-1.653801e+01,-1.793500e+01,-1.956875e+01,-1.936651e+01,-1.987905e+01,-1.879948e+01,-1.934742e+01,-1.864944e+01
