Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.113078e+01,-1.122751e+01,-1.259717e+01,-1.315114e+01,-1.369189e+01,-1.183284e+01,-1.285151e+01,-1.326934e+01
1.250000e+00,-9.873032e+00,-1.058430e+01,-1.233010e+01,-1.319234e+01,-1.396760e+01,-1.133078e+01,-1.281292e+01,-1.350904e+01
1.750000e+00,-8.659565e+00,-9.547327e+00,-1.177322e+01,-1.286972e+01,-1.385351e+01,-1.049729e+01,-1.237945e+01,-1.336689e+01
2.250000e+00,-8.684635e+00,-9.794957e+00,-1.190130e+01,-1.308791e+01,-1.412489e+01,-1.069041e+01,-1.255110e+01,-1.365698e+01
2.750000e+00,-9.783652e+00,-1.077435e+01,-1.295560e+01,-1.397623e+01,-1.492356e+01,-1.177960e+01,-1.342433e+01,-1.453320e+01
3.250000e+00,-1.079795e+01,-1.184824e+01,-1.415440e+01,-1.485310e+01,-1.567536e+01,-1.297857e+01,-1.439075e+01,-1.529714e+01
3.750000e+00,-1.208476e+01,-1.283973e+01,-1.514531e+01,-1.563291e+01,-1.639402e+01,-1.400610e+01,-1.520998e+01,-1.602279e+01
4.250000e+00,-1.314193e+01,-1.377259e+01,-1.599564e+01,-1.630583e+01,-1.696936e+01,-1.488676e+01,-1.594037e+01,-1.658730e+01
4.750000e+00,-1.396465e+01,-1.453696e+01,-1.669316e+01,-1.688061e+01,-1.741349e+01,-1.561143e+01,-1.656421e+01,-1.704593e+01
5.250000e+00,-1.472229e+01,-1.516527e+01,-1.727613e+01,-1.735108e+01,-1.776536e+01,-1.619183e+01,-1.709533e+01,-1.738404e+01
5.750000e+00,-1.536260e+01,-1.572964e+01,-1.771382e+01,-1.773074e+01,-1.805550e+01,-1.667980e+01,-1.752167e+01,-1.764456e+01
6.250000e+00,-1.588554e+01,-1.621916e+01,-1.804964e+01,-1.802812e+01,-1.829398e+01,-1.709596e+01,-1.785978e+01,-1.782663e+01
6.750000e+00,-1.637977e+01,-1.668988e+01,-1.830418e+01,-1.824699e+01,-1.848466e+01,-1.746915e+01,-1.810586e+01,-1.796484e+01
7.250000e+00,-1.673939e+01,-1.704534e+01,-1.849686e+01,-1.840763e+01,-1.862717e+01,-1.775798e+01,-1.828617e+01,-1.806523e+01
