Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.645854e+01,-1.573855e+01,-1.560430e+01,-1.548464e+01,-1.485256e+01,-1.578943e+01,-1.541888e+01,-1.471429e+01
1.250000e+00,-1.683679e+01,-1.634701e+01,-1.630470e+01,-1.628466e+01,-1.580001e+01,-1.642279e+01,-1.618819e+01,-1.566275e+01
1.750000e+00,-1.660110e+01,-1.648540e+01,-1.654636e+01,-1.654982e+01,-1.631931e+01,-1.661588e+01,-1.643210e+01,-1.606970e+01
2.250000e+00,-1.605923e+01,-1.629126e+01,-1.664781e+01,-1.666105e+01,-1.646463e+01,-1.657264e+01,-1.654413e+01,-1.615657e+01
2.750000e+00,-1.536803e+01,-1.581724e+01,-1.669776e+01,-1.680982e+01,-1.655352e+01,-1.630083e+01,-1.670111e+01,-1.622628e+01
3.250000e+00,-1.500604e+01,-1.532821e+01,-1.658280e+01,-1.699731e+01,-1.687812e+01,-1.590493e+01,-1.685961e+01,-1.653421e+01
3.750000e+00,-1.466103e+01,-1.500185e+01,-1.644210e+01,-1.711412e+01,-1.714118e+01,-1.562874e+01,-1.693802e+01,-1.681254e+01
4.250000e+00,-1.468861e+01,-1.505458e+01,-1.657459e+01,-1.731308e+01,-1.742348e+01,-1.572081e+01,-1.713033e+01,-1.705412e+01
4.750000e+00,-1.490366e+01,-1.534987e+01,-1.689345e+01,-1.755686e+01,-1.762653e+01,-1.604863e+01,-1.738464e+01,-1.725419e+01
5.250000e+00,-1.536283e+01,-1.585267e+01,-1.729341e+01,-1.784096e+01,-1.782091e+01,-1.652753e+01,-1.769285e+01,-1.743519e+01
5.750000e+00,-1.576181e+01,-1.631916e+01,-1.766175e+01,-1.807543e+01,-1.796948e+01,-1.697203e+01,-1.794936e+01,-1.757273e+01
6.250000e+00,-1.611647e+01,-1.670471e+01,-1.795555e+01,-1.826860e+01,-1.809229e+01,-1.733145e+01,-1.816236e+01,-1.767979e+01
6.750000e+00,-1.638970e+01,-1.705502e+01,-1.820520e+01,-1.842991e+01,-1.820795e+01,-1.764881e+01,-1.833814e+01,-1.777828e+01
7.250000e+00,-1.659964e+01,-1.730200e+01,-1.838855e+01,-1.856027e+01,-1.830977e+01,-1.787779e+01,-1.848015e+01,-1.786526e+01
7.750000e+00,-1.677966e+01,-1.752098e+01,-1.854691e+01,-1.866422e+01,-1.840478e+01,-1.807843e+01,-1.859304e+01,-1.793153e+01
8.250000e+00,-1.692429e+01,-1.769529e+01,-1.868323e+01,-1.876079e+01,-1.848840e+01,-1.823965e+01,-1.869648e+01,-1.800096e+01
8.750000e+00,-1.703033e+01,-1.783396e+01,-1.879754e+01,-1.885108e+01,-1.857392e+01,-1.837115e+01,-1.879133e+01,-1.807219e+01
9.250000e+00,-1.711889e+01,-1.794131e+01,-1.888859e+01,-1.893601e+01,-1.863648e+01,-1.847248e+01,-1.888088e+01,-1.813132e+01
9.750000e+00,-1.718290e+01,-1.803407e+01,-1.897109e+01,-1.900353e+01,-1.870009e+01,-1.856416e+01,-1.895535e+01,-1.816908e+01
1.025000e+01,-1.721996e+01,-1.811109e+01,-1.905435e+01,-1.906989e+01,-1.876189e+01,-1.864855e+01,-1.902638e+01,-1.820602e+01
1.075000e+01,-1.724717e+01,-1.815358e+01,-1.912074e+01,-1.913876e+01,-1.882607e+01,-1.870057e+01,-1.909964e+01,-1.824785e+01
1.125000e+01,-1.725380e+01,-1.818524e+01,-1.918246e+01,-1.919975e+01,-1.887988e+01,-1.874517e+01,-1.916428e+01,-1.828203e+01
1.175000e+01,-1.724530e+01,-1.820070e+01,-1.923591e+01,-1.925983e+01,-1.892797e+01,-1.877581e+01,-1.922776e+01,-1.830987e+01
1.225000e+01,-1.722238e+01,-1.821020e+01,-1.929044e+01,-1.930992e+01,-1.897430e+01,-1.880550e+01,-1.928260e+01,-1.832261e+01
1.275000e+01,-1.717442e+01,-1.819855e+01,-1.933608e+01,-1.935667e+01,-1.901383e+01,-1.881750e+01,-1.933223e+01,-1.833776e+01
1.325000e+01,-1.712652e+01,-1.817595e+01,-1.937986e+01,-1.940441e+01,-1.905307e+01,-1.882217e+01,-1.938464e+01,-1.834550e+01
1.375000e+01,-1.706900e+01,-1.814691e+01,-1.942052e+01,-1.945096e+01,-1.908912e+01,-1.882138e+01,-1.943440e+01,-1.835798e+01
1.425000e+01,-1.700641e+01,-1.810856e+01,-1.945257e+01,-1.949200e+01,-1.912668e+01,-1.881238e+01,-1.947631e+01,-1.837632e+01
1.475000e+01,-1.695092e+01,-1.806036e+01,-1.948064e+01,-1.953127e+01,-1.916149e+01,-1.879638e+01,-1.951621e+01,-1.840068e+01
1.525000e+01,-1.687863e+01,-1.800312e+01,-1.950419e+01,-1.956934e+01,-1.920571e+01,-1.877133e+01,-1.955332e+01,-1.843963e+01
1.575000e+01,-1.680774e+01,-1.794359e+01,-1.952247e+01,-1.959997e+01,-1.924690e+01,-1.874499e+01,-1.958263e+01,-1.846898e+01
1.625000e+01,-1.672614e+01,-1.788121e+01,-1.953355e+01,-1.962752e+01,-1.928812e+01,-1.871343e+01,-1.960930e+01,-1.850071e+01
1.675000e+01,-1.663864e+01,-1.781040e+01,-1.954110e+01,-1.965454e+01,-1.932872e+01,-1.867546e+01,-1.963387e+01,-1.853359e+01
1.725000e+01,-1.655235e+01,-1.774447e+01,-1.954343e+01,-1.967579e+01,-1.937122e+01,-1.863780e+01,-1.965135e+01,-1.857941e+01
1.775000e+01,-1.645921e+01,-1.767002e+01,-1.953993e+01,-1.969217e+01,-1.940873e+01,-1.859500e+01,-1.966452e+01,-1.862073e+01
1.825000e+01,-1.635890e+01,-1.759279e+01,-1.952956e+01,-1.970259e+01,-1.944570e+01,-1.854697e+01,-1.967111e+01,-1.866020e+01
1.875000e+01,-1.626683e+01,-1.752369e+01,-1.951615e+01,-1.970869e+01,-1.948190e+01,-1.850220e+01,-1.967191e+01,-1.870196e+01
1.925000e+01,-1.615873e+01,-1.744558e+01,-1.949766e+01,-1.970928e+01,-1.951886e+01,-1.845186e+01,-1.966591e+01,-1.874901e+01
1.975000e+01,-1.606162e+01,-1.737329e+01,-1.947358e+01,-1.970477e+01,-1.954947e+01,-1.839959e+01,-1.965482e+01,-1.879027e+01
2.025000e+01,-1.595314e+01,-1.730338e+01,-1.945004e+01,-1.969805e+01,-1.957940e+01,-1.835130e+01,-1.964147e+01,-1.882897e+01
2.075000e+01,-1.585965e+01,-1.723738e+01,-1.942253e+01,-1.968531e+01,-1.960289e+01,-1.830237e+01,-1.962112e+01,-1.886745e+01
