Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.721133e+01,-1.613654e+01,-1.535800e+01,-1.480450e+01,-1.433970e+01,-1.609534e+01,-1.474070e+01,-1.406428e+01
1.250000e+00,-1.804098e+01,-1.682361e+01,-1.636805e+01,-1.585737e+01,-1.505407e+01,-1.679156e+01,-1.583912e+01,-1.478797e+01
1.750000e+00,-1.822473e+01,-1.718904e+01,-1.705500e+01,-1.678682e+01,-1.592715e+01,-1.721290e+01,-1.675693e+01,-1.569752e+01
2.250000e+00,-1.775315e+01,-1.705458e+01,-1.702117e+01,-1.692644e+01,-1.654195e+01,-1.712119e+01,-1.683724e+01,-1.628868e+01
2.750000e+00,-1.627613e+01,-1.643937e+01,-1.689244e+01,-1.682918e+01,-1.683538e+01,-1.672607e+01,-1.665860e+01,-1.655510e+01
3.250000e+00,-1.421854e+01,-1.490911e+01,-1.640317e+01,-1.688721e+01,-1.707956e+01,-1.552553e+01,-1.669672e+01,-1.675481e+01
3.750000e+00,-1.323601e+01,-1.424228e+01,-1.599171e+01,-1.683635e+01,-1.715344e+01,-1.496880e+01,-1.663272e+01,-1.677950e+01
4.250000e+00,-1.318113e+01,-1.440023e+01,-1.624769e+01,-1.707474e+01,-1.740106e+01,-1.518973e+01,-1.686882e+01,-1.702187e+01
4.750000e+00,-1.368848e+01,-1.495158e+01,-1.676398e+01,-1.744243e+01,-1.770132e+01,-1.573986e+01,-1.725370e+01,-1.731693e+01
5.250000e+00,-1.442717e+01,-1.557966e+01,-1.726351e+01,-1.778302e+01,-1.794042e+01,-1.632576e+01,-1.761379e+01,-1.756831e+01
5.750000e+00,-1.502512e+01,-1.612969e+01,-1.767720e+01,-1.803232e+01,-1.812635e+01,-1.682942e+01,-1.787445e+01,-1.777261e+01
6.250000e+00,-1.556471e+01,-1.658889e+01,-1.801819e+01,-1.823815e+01,-1.828144e+01,-1.724699e+01,-1.809715e+01,-1.792386e+01
6.750000e+00,-1.599775e+01,-1.696536e+01,-1.827077e+01,-1.838942e+01,-1.840394e+01,-1.758221e+01,-1.826151e+01,-1.803898e+01
7.250000e+00,-1.637668e+01,-1.727388e+01,-1.848304e+01,-1.851527e+01,-1.849921e+01,-1.786002e+01,-1.840003e+01,-1.811562e+01
7.750000e+00,-1.669013e+01,-1.751919e+01,-1.864538e+01,-1.861241e+01,-1.856039e+01,-1.807510e+01,-1.851052e+01,-1.816764e+01
8.250000e+00,-1.692467e+01,-1.771735e+01,-1.877699e+01,-1.870851e+01,-1.862307e+01,-1.825218e+01,-1.861799e+01,-1.821378e+01
8.750000e+00,-1.710232e+01,-1.787996e+01,-1.888984e+01,-1.878957e+01,-1.870582e+01,-1.840100e+01,-1.870384e+01,-1.827956e+01
9.250000e+00,-1.726213e+01,-1.800678e+01,-1.898675e+01,-1.885832e+01,-1.877655e+01,-1.852171e+01,-1.877898e+01,-1.832543e+01
9.750000e+00,-1.737545e+01,-1.810732e+01,-1.906782e+01,-1.892642e+01,-1.884221e+01,-1.861730e+01,-1.885174e+01,-1.837408e+01
1.025000e+01,-1.742767e+01,-1.818120e+01,-1.914034e+01,-1.899301e+01,-1.889052e+01,-1.869389e+01,-1.892651e+01,-1.840313e+01
