Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.661580e+01,-1.558783e+01,-1.551964e+01,-1.527006e+01,-1.462620e+01,-1.563448e+01,-1.520606e+01,-1.450198e+01
1.250000e+00,-1.710152e+01,-1.619160e+01,-1.614928e+01,-1.594728e+01,-1.556520e+01,-1.624704e+01,-1.587993e+01,-1.526411e+01
1.750000e+00,-1.714065e+01,-1.640124e+01,-1.633150e+01,-1.624084e+01,-1.613214e+01,-1.645084e+01,-1.615112e+01,-1.572200e+01
2.250000e+00,-1.684348e+01,-1.643084e+01,-1.636131e+01,-1.635162e+01,-1.644547e+01,-1.653499e+01,-1.622913e+01,-1.601494e+01
2.750000e+00,-1.630040e+01,-1.622919e+01,-1.655858e+01,-1.652653e+01,-1.671572e+01,-1.651459e+01,-1.638533e+01,-1.624763e+01
3.250000e+00,-1.591461e+01,-1.593609e+01,-1.673764e+01,-1.674553e+01,-1.692932e+01,-1.637457e+01,-1.659689e+01,-1.649798e+01
3.750000e+00,-1.582610e+01,-1.591939e+01,-1.696067e+01,-1.700917e+01,-1.716679e+01,-1.641388e+01,-1.686946e+01,-1.673249e+01
4.250000e+00,-1.609759e+01,-1.619789e+01,-1.724329e+01,-1.728827e+01,-1.743757e+01,-1.669298e+01,-1.715471e+01,-1.699058e+01
4.750000e+00,-1.648314e+01,-1.657080e+01,-1.756439e+01,-1.756493e+01,-1.766489e+01,-1.704264e+01,-1.744434e+01,-1.720860e+01
5.250000e+00,-1.691863e+01,-1.695144e+01,-1.782127e+01,-1.777394e+01,-1.785779e+01,-1.738137e+01,-1.766352e+01,-1.738245e+01
5.750000e+00,-1.728957e+01,-1.729580e+01,-1.804134e+01,-1.794859e+01,-1.801284e+01,-1.768600e+01,-1.785072e+01,-1.750647e+01
6.250000e+00,-1.761443e+01,-1.758923e+01,-1.822461e+01,-1.810451e+01,-1.814555e+01,-1.793739e+01,-1.801360e+01,-1.762564e+01
6.750000e+00,-1.788985e+01,-1.783125e+01,-1.837515e+01,-1.824736e+01,-1.824205e+01,-1.814322e+01,-1.816423e+01,-1.772730e+01
7.250000e+00,-1.811812e+01,-1.802696e+01,-1.850486e+01,-1.836542e+01,-1.835315e+01,-1.831445e+01,-1.828552e+01,-1.783283e+01
7.750000e+00,-1.830185e+01,-1.818779e+01,-1.860490e+01,-1.845855e+01,-1.844903e+01,-1.845272e+01,-1.838242e+01,-1.791417e+01
