Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-6.255861e-01,-5.562400e+00,-7.206586e+00,-8.343940e+00,-9.706778e+00,,-8.079084e+00,-8.735260e+00
1.250000e+00,-5.567844e+00,-7.394521e+00,-8.681567e+00,-9.681661e+00,-1.092840e+01,-7.976919e+00,-9.369496e+00,-1.001823e+01
1.750000e+00,-6.545092e+00,-9.409401e+00,-1.049110e+01,-1.163540e+01,-1.256258e+01,-9.888513e+00,-1.134122e+01,-1.189158e+01
2.250000e+00,-1.019719e+01,-1.165577e+01,-1.243928e+01,-1.325795e+01,-1.386938e+01,-1.202763e+01,-1.305444e+01,-1.326482e+01
2.750000e+00,-1.294517e+01,-1.350253e+01,-1.413418e+01,-1.461838e+01,-1.495553e+01,-1.382781e+01,-1.443716e+01,-1.444822e+01
3.250000e+00,-1.458288e+01,-1.473908e+01,-1.522480e+01,-1.549934e+01,-1.563256e+01,-1.498631e+01,-1.533892e+01,-1.518087e+01
3.750000e+00,-1.559765e+01,-1.555025e+01,-1.592383e+01,-1.608025e+01,-1.618662e+01,-1.577453e+01,-1.593692e+01,-1.571237e+01
4.250000e+00,-1.631074e+01,-1.612181e+01,-1.639326e+01,-1.656643e+01,-1.669252e+01,-1.630068e+01,-1.642657e+01,-1.618846e+01
4.750000e+00,-1.684669e+01,-1.656810e+01,-1.678616e+01,-1.695005e+01,-1.712036e+01,-1.672834e+01,-1.681830e+01,-1.656459e+01
5.250000e+00,-1.726164e+01,-1.691298e+01,-1.710884e+01,-1.726740e+01,-1.748648e+01,-1.706538e+01,-1.714203e+01,-1.687310e+01
5.750000e+00,-1.758352e+01,-1.719173e+01,-1.737313e+01,-1.753808e+01,-1.776281e+01,-1.733492e+01,-1.741600e+01,-1.713453e+01
6.250000e+00,-1.784592e+01,-1.742763e+01,-1.759218e+01,-1.775520e+01,-1.798117e+01,-1.755634e+01,-1.764527e+01,-1.732004e+01
6.750000e+00,-1.806335e+01,-1.762672e+01,-1.776598e+01,-1.793303e+01,-1.816459e+01,-1.774386e+01,-1.782789e+01,-1.748704e+01
7.250000e+00,-1.824276e+01,-1.779074e+01,-1.791068e+01,-1.808979e+01,-1.831190e+01,-1.789586e+01,-1.799015e+01,-1.762183e+01
7.750000e+00,-1.838567e+01,-1.793803e+01,-1.804571e+01,-1.820959e+01,-1.842863e+01,-1.803678e+01,-1.811562e+01,-1.772374e+01
8.250000e+00,-1.850929e+01,-1.804917e+01,-1.814964e+01,-1.831555e+01,-1.853876e+01,-1.814441e+01,-1.822772e+01,-1.780928e+01
