Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.076063e+01,-1.081500e+01,-1.221289e+01,-1.284019e+01,-1.342676e+01,-1.142370e+01,-1.255731e+01,-1.293255e+01
1.250000e+00,-8.599724e+00,-9.129458e+00,-1.093782e+01,-1.210054e+01,-1.298821e+01,-9.827850e+00,-1.162872e+01,-1.255981e+01
1.750000e+00,-7.083105e+00,-8.621426e+00,-1.009394e+01,-1.156394e+01,-1.274012e+01,-9.121729e+00,-1.099661e+01,-1.219167e+01
2.250000e+00,-7.577129e+00,-8.553942e+00,-1.069632e+01,-1.209741e+01,-1.326579e+01,-9.384205e+00,-1.159967e+01,-1.262045e+01
2.750000e+00,-9.529065e+00,-1.053759e+01,-1.255687e+01,-1.383972e+01,-1.468403e+01,-1.136213e+01,-1.335414e+01,-1.427752e+01
3.250000e+00,-1.099606e+01,-1.193920e+01,-1.420159e+01,-1.496919e+01,-1.559394e+01,-1.301079e+01,-1.456845e+01,-1.525571e+01
3.750000e+00,-1.197926e+01,-1.286229e+01,-1.512608e+01,-1.570502e+01,-1.626851e+01,-1.398158e+01,-1.534799e+01,-1.591471e+01
4.250000e+00,-1.283937e+01,-1.357339e+01,-1.577472e+01,-1.624564e+01,-1.681417e+01,-1.466894e+01,-1.590321e+01,-1.643576e+01
4.750000e+00,-1.361764e+01,-1.422127e+01,-1.631295e+01,-1.670630e+01,-1.721556e+01,-1.524747e+01,-1.640274e+01,-1.682019e+01
5.250000e+00,-1.421808e+01,-1.476618e+01,-1.679030e+01,-1.711092e+01,-1.757750e+01,-1.574991e+01,-1.683732e+01,-1.715583e+01
5.750000e+00,-1.479832e+01,-1.528360e+01,-1.720617e+01,-1.748133e+01,-1.788396e+01,-1.620110e+01,-1.724180e+01,-1.744014e+01
6.250000e+00,-1.531213e+01,-1.572936e+01,-1.756745e+01,-1.778443e+01,-1.813747e+01,-1.660220e+01,-1.757830e+01,-1.765691e+01
6.750000e+00,-1.573931e+01,-1.611962e+01,-1.786200e+01,-1.804186e+01,-1.836247e+01,-1.694393e+01,-1.786417e+01,-1.784222e+01
7.250000e+00,-1.611351e+01,-1.647105e+01,-1.810170e+01,-1.825714e+01,-1.855625e+01,-1.724765e+01,-1.810232e+01,-1.799215e+01
7.750000e+00,-1.640775e+01,-1.675401e+01,-1.828920e+01,-1.841904e+01,-1.871873e+01,-1.749159e+01,-1.828165e+01,-1.810817e+01
8.250000e+00,-1.662033e+01,-1.698298e+01,-1.844633e+01,-1.855689e+01,-1.884697e+01,-1.769526e+01,-1.843619e+01,-1.819467e+01
8.750000e+00,-1.679375e+01,-1.716660e+01,-1.857534e+01,-1.866916e+01,-1.896766e+01,-1.785878e+01,-1.855663e+01,-1.828285e+01
9.250000e+00,-1.689445e+01,-1.729089e+01,-1.867574e+01,-1.876182e+01,-1.906856e+01,-1.797909e+01,-1.865773e+01,-1.835596e+01
9.750000e+00,-1.694428e+01,-1.737674e+01,-1.876062e+01,-1.883830e+01,-1.915356e+01,-1.806969e+01,-1.874179e+01,-1.840923e+01
1.025000e+01,-1.699554e+01,-1.744872e+01,-1.883760e+01,-1.891104e+01,-1.922885e+01,-1.814449e+01,-1.881885e+01,-1.846699e+01
1.075000e+01,-1.702616e+01,-1.750811e+01,-1.890313e+01,-1.897257e+01,-1.930223e+01,-1.820919e+01,-1.888379e+01,-1.852297e+01
1.125000e+01,-1.703911e+01,-1.754829e+01,-1.896359e+01,-1.902652e+01,-1.936902e+01,-1.826274e+01,-1.893954e+01,-1.857472e+01
1.175000e+01,-1.703061e+01,-1.756836e+01,-1.901562e+01,-1.907211e+01,-1.942356e+01,-1.829807e+01,-1.898779e+01,-1.861654e+01
1.225000e+01,-1.701587e+01,-1.758530e+01,-1.906815e+01,-1.911797e+01,-1.947769e+01,-1.833348e+01,-1.903669e+01,-1.865390e+01
1.275000e+01,-1.699173e+01,-1.759283e+01,-1.910877e+01,-1.915257e+01,-1.952363e+01,-1.835792e+01,-1.907318e+01,-1.868405e+01
1.325000e+01,-1.695808e+01,-1.759397e+01,-1.914590e+01,-1.918520e+01,-1.957021e+01,-1.837607e+01,-1.910655e+01,-1.872026e+01
1.375000e+01,-1.691703e+01,-1.759371e+01,-1.918341e+01,-1.921498e+01,-1.960716e+01,-1.839325e+01,-1.913706e+01,-1.874832e+01
1.425000e+01,-1.687518e+01,-1.758679e+01,-1.921329e+01,-1.923826e+01,-1.963905e+01,-1.840455e+01,-1.916051e+01,-1.877269e+01
1.475000e+01,-1.682824e+01,-1.757326e+01,-1.923911e+01,-1.925954e+01,-1.967027e+01,-1.840801e+01,-1.918296e+01,-1.879519e+01
1.525000e+01,-1.678143e+01,-1.756014e+01,-1.926031e+01,-1.927629e+01,-1.969704e+01,-1.841103e+01,-1.919992e+01,-1.881212e+01
1.575000e+01,-1.672855e+01,-1.754677e+01,-1.927970e+01,-1.928773e+01,-1.971820e+01,-1.841353e+01,-1.921085e+01,-1.882777e+01
1.625000e+01,-1.666404e+01,-1.753240e+01,-1.929672e+01,-1.929884e+01,-1.974118e+01,-1.841698e+01,-1.922115e+01,-1.884374e+01
1.675000e+01,-1.660704e+01,-1.751649e+01,-1.931069e+01,-1.930693e+01,-1.975906e+01,-1.841444e+01,-1.922782e+01,-1.885696e+01
1.725000e+01,-1.655305e+01,-1.750346e+01,-1.932164e+01,-1.931053e+01,-1.977083e+01,-1.841364e+01,-1.923050e+01,-1.886478e+01
1.775000e+01,-1.649662e+01,-1.748839e+01,-1.933084e+01,-1.931131e+01,-1.977946e+01,-1.841009e+01,-1.923188e+01,-1.886495e+01
