Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-9.017712e+00,-1.009369e+01,-1.131094e+01,-1.195614e+01,-1.237250e+01,-1.073552e+01,-1.176545e+01,-1.173365e+01
1.250000e+00,-1.136810e+01,-1.244100e+01,-1.354227e+01,-1.373684e+01,-1.395168e+01,-1.302981e+01,-1.357619e+01,-1.344680e+01
1.750000e+00,-1.338943e+01,-1.399192e+01,-1.479888e+01,-1.493647e+01,-1.498852e+01,-1.444502e+01,-1.477423e+01,-1.459132e+01
2.250000e+00,-1.512912e+01,-1.533337e+01,-1.574394e+01,-1.590087e+01,-1.596002e+01,-1.560677e+01,-1.577225e+01,-1.546304e+01
2.750000e+00,-1.640228e+01,-1.625635e+01,-1.639979e+01,-1.657192e+01,-1.676298e+01,-1.638080e+01,-1.645156e+01,-1.615820e+01
3.250000e+00,-1.734855e+01,-1.683222e+01,-1.688202e+01,-1.704626e+01,-1.728112e+01,-1.688781e+01,-1.692470e+01,-1.666194e+01
3.750000e+00,-1.792473e+01,-1.723653e+01,-1.725104e+01,-1.735846e+01,-1.756976e+01,-1.726930e+01,-1.724403e+01,-1.696049e+01
4.250000e+00,-1.833943e+01,-1.757089e+01,-1.753789e+01,-1.762078e+01,-1.778626e+01,-1.758182e+01,-1.750921e+01,-1.722259e+01
4.750000e+00,-1.862719e+01,-1.784455e+01,-1.780694e+01,-1.784511e+01,-1.796359e+01,-1.785019e+01,-1.773632e+01,-1.743663e+01
5.250000e+00,-1.886171e+01,-1.807033e+01,-1.799158e+01,-1.800440e+01,-1.810653e+01,-1.806704e+01,-1.789999e+01,-1.759650e+01
5.750000e+00,-1.905011e+01,-1.825740e+01,-1.816823e+01,-1.816567e+01,-1.825160e+01,-1.824791e+01,-1.806709e+01,-1.774194e+01
6.250000e+00,-1.922161e+01,-1.842575e+01,-1.831671e+01,-1.828678e+01,-1.835792e+01,-1.841455e+01,-1.819215e+01,-1.784949e+01
6.750000e+00,-1.935917e+01,-1.856332e+01,-1.845097e+01,-1.841146e+01,-1.846125e+01,-1.855193e+01,-1.832587e+01,-1.794231e+01
7.250000e+00,-1.947280e+01,-1.868691e+01,-1.857528e+01,-1.851089e+01,-1.854442e+01,-1.867377e+01,-1.843706e+01,-1.799322e+01
