Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.663981e+01,-1.562631e+01,-1.559494e+01,-1.526072e+01,-1.457992e+01,-1.567509e+01,-1.521266e+01,-1.441678e+01
1.250000e+00,-1.720040e+01,-1.629453e+01,-1.623739e+01,-1.605393e+01,-1.526061e+01,-1.634072e+01,-1.599286e+01,-1.520003e+01
1.750000e+00,-1.744344e+01,-1.665078e+01,-1.658788e+01,-1.646081e+01,-1.588758e+01,-1.669046e+01,-1.639579e+01,-1.569261e+01
2.250000e+00,-1.741634e+01,-1.687212e+01,-1.681533e+01,-1.670868e+01,-1.628320e+01,-1.692235e+01,-1.661558e+01,-1.609670e+01
2.750000e+00,-1.726242e+01,-1.708424e+01,-1.707520e+01,-1.698458e+01,-1.678794e+01,-1.717829e+01,-1.687833e+01,-1.648802e+01
3.250000e+00,-1.736213e+01,-1.736113e+01,-1.738951e+01,-1.728824e+01,-1.709053e+01,-1.748390e+01,-1.718780e+01,-1.677461e+01
3.750000e+00,-1.767451e+01,-1.766840e+01,-1.770248e+01,-1.752124e+01,-1.735266e+01,-1.779312e+01,-1.741694e+01,-1.703900e+01
4.250000e+00,-1.808492e+01,-1.796787e+01,-1.793334e+01,-1.777347e+01,-1.757202e+01,-1.806097e+01,-1.767038e+01,-1.725419e+01
4.750000e+00,-1.850011e+01,-1.823933e+01,-1.813146e+01,-1.796017e+01,-1.781677e+01,-1.829599e+01,-1.785347e+01,-1.748876e+01
5.250000e+00,-1.885350e+01,-1.847987e+01,-1.826413e+01,-1.809774e+01,-1.799358e+01,-1.850138e+01,-1.798419e+01,-1.766594e+01
5.750000e+00,-1.912608e+01,-1.865913e+01,-1.838914e+01,-1.819660e+01,-1.813854e+01,-1.866549e+01,-1.808299e+01,-1.778668e+01
6.250000e+00,-1.936568e+01,-1.884414e+01,-1.849771e+01,-1.830851e+01,-1.822254e+01,-1.882840e+01,-1.819671e+01,-1.788971e+01
6.750000e+00,-1.956892e+01,-1.898925e+01,-1.859730e+01,-1.837074e+01,-1.829354e+01,-1.896192e+01,-1.826260e+01,-1.795153e+01
