Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.509821e+01,-1.476276e+01,-1.497765e+01,-1.501319e+01,-1.494701e+01,-1.495726e+01,-1.488318e+01,-1.463197e+01
1.250000e+00,-1.537614e+01,-1.534840e+01,-1.574681e+01,-1.575336e+01,-1.569082e+01,-1.563533e+01,-1.563161e+01,-1.531628e+01
1.750000e+00,-1.535141e+01,-1.565101e+01,-1.629044e+01,-1.633850e+01,-1.631873e+01,-1.605684e+01,-1.619818e+01,-1.598093e+01
2.250000e+00,-1.590118e+01,-1.627920e+01,-1.683807e+01,-1.686281e+01,-1.679673e+01,-1.667098e+01,-1.673537e+01,-1.643766e+01
2.750000e+00,-1.676354e+01,-1.700898e+01,-1.732460e+01,-1.725070e+01,-1.726135e+01,-1.730381e+01,-1.710178e+01,-1.692293e+01
3.250000e+00,-1.757219e+01,-1.759809e+01,-1.765681e+01,-1.756962e+01,-1.756317e+01,-1.777164e+01,-1.743136e+01,-1.722858e+01
3.750000e+00,-1.815190e+01,-1.802199e+01,-1.792672e+01,-1.781339e+01,-1.781387e+01,-1.812416e+01,-1.766331e+01,-1.752561e+01
4.250000e+00,-1.864149e+01,-1.835162e+01,-1.811125e+01,-1.798974e+01,-1.804442e+01,-1.839671e+01,-1.783835e+01,-1.772720e+01
4.750000e+00,-1.899670e+01,-1.859742e+01,-1.830424e+01,-1.813741e+01,-1.814609e+01,-1.861547e+01,-1.799652e+01,-1.784414e+01
5.250000e+00,-1.928043e+01,-1.879299e+01,-1.846430e+01,-1.824484e+01,-1.822294e+01,-1.878966e+01,-1.812583e+01,-1.790085e+01
5.750000e+00,-1.952939e+01,-1.896103e+01,-1.860372e+01,-1.835128e+01,-1.828144e+01,-1.894248e+01,-1.824483e+01,-1.795058e+01
6.250000e+00,-1.974420e+01,-1.910928e+01,-1.872213e+01,-1.842600e+01,-1.830450e+01,-1.907470e+01,-1.833701e+01,-1.797200e+01
6.750000e+00,-1.992051e+01,-1.923713e+01,-1.884360e+01,-1.850217e+01,-1.829600e+01,-1.919221e+01,-1.843571e+01,-1.794172e+01
7.250000e+00,-2.006588e+01,-1.933972e+01,-1.893892e+01,-1.856391e+01,-1.828621e+01,-1.929262e+01,-1.851378e+01,-1.791650e+01
7.750000e+00,-2.018996e+01,-1.943228e+01,-1.903857e+01,-1.860725e+01,-1.825352e+01,-1.938397e+01,-1.857449e+01,-1.787299e+01
8.250000e+00,-2.029260e+01,-1.951119e+01,-1.912684e+01,-1.866945e+01,-1.821212e+01,-1.945762e+01,-1.865403e+01,-1.782022e+01
8.750000e+00,-2.038603e+01,-1.958171e+01,-1.921316e+01,-1.872772e+01,-1.818047e+01,-1.952802e+01,-1.872541e+01,-1.778285e+01
9.250000e+00,-2.044872e+01,-1.964626e+01,-1.929148e+01,-1.876983e+01,-1.811887e+01,-1.959297e+01,-1.877950e+01,-1.771854e+01
9.750000e+00,-2.050017e+01,-1.970017e+01,-1.937305e+01,-1.882243e+01,-1.810600e+01,-1.965135e+01,-1.884691e+01,-1.767346e+01
1.025000e+01,-2.053290e+01,-1.974633e+01,-1.944059e+01,-1.887866e+01,-1.808550e+01,-1.969925e+01,-1.891321e+01,-1.760887e+01
1.075000e+01,-2.054642e+01,-1.979188e+01,-1.949561e+01,-1.892958e+01,-1.807887e+01,-1.974492e+01,-1.897237e+01,-1.757163e+01
1.125000e+01,-2.054798e+01,-1.983450e+01,-1.954840e+01,-1.897431e+01,-1.807533e+01,-1.979137e+01,-1.902413e+01,-1.752947e+01
1.175000e+01,-2.053102e+01,-1.987303e+01,-1.959770e+01,-1.902521e+01,-1.809328e+01,-1.983338e+01,-1.907920e+01,-1.750443e+01
1.225000e+01,-2.049427e+01,-1.991059e+01,-1.964406e+01,-1.907077e+01,-1.811302e+01,-1.987627e+01,-1.912851e+01,-1.749478e+01
1.275000e+01,-2.044416e+01,-1.994651e+01,-1.968758e+01,-1.911202e+01,-1.814673e+01,-1.992166e+01,-1.917316e+01,-1.749106e+01
1.325000e+01,-2.037276e+01,-1.997343e+01,-1.972602e+01,-1.915664e+01,-1.820772e+01,-1.996116e+01,-1.922073e+01,-1.749461e+01
1.375000e+01,-2.029792e+01,-1.999566e+01,-1.976716e+01,-1.920257e+01,-1.828588e+01,-1.999889e+01,-1.926809e+01,-1.751082e+01
1.425000e+01,-2.020693e+01,-2.001088e+01,-1.980565e+01,-1.924585e+01,-1.836931e+01,-2.003461e+01,-1.931077e+01,-1.755499e+01
1.475000e+01,-2.009944e+01,-2.001226e+01,-1.984427e+01,-1.928942e+01,-1.844974e+01,-2.006375e+01,-1.935411e+01,-1.759507e+01
1.525000e+01,-1.998922e+01,-2.000433e+01,-1.987812e+01,-1.933422e+01,-1.854952e+01,-2.008804e+01,-1.939715e+01,-1.766053e+01
1.575000e+01,-1.986999e+01,-1.998720e+01,-1.991337e+01,-1.937739e+01,-1.865771e+01,-2.010703e+01,-1.944027e+01,-1.772503e+01
1.625000e+01,-1.973888e+01,-1.995702e+01,-1.994699e+01,-1.941898e+01,-1.874842e+01,-2.012004e+01,-1.948059e+01,-1.778458e+01
1.675000e+01,-1.959546e+01,-1.991967e+01,-1.998054e+01,-1.945671e+01,-1.885511e+01,-2.012948e+01,-1.951619e+01,-1.785101e+01
1.725000e+01,-1.944323e+01,-1.987674e+01,-2.001574e+01,-1.949488e+01,-1.896588e+01,-2.013501e+01,-1.955288e+01,-1.791907e+01
