Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.426015e+01,-1.388791e+01,-1.462402e+01,-1.465521e+01,-1.471478e+01,-1.425826e+01,-1.449885e+01,-1.436222e+01
1.250000e+00,-1.560336e+01,-1.528121e+01,-1.582100e+01,-1.580948e+01,-1.582263e+01,-1.558655e+01,-1.568187e+01,-1.542190e+01
1.750000e+00,-1.678707e+01,-1.636899e+01,-1.657979e+01,-1.649372e+01,-1.655093e+01,-1.655212e+01,-1.636783e+01,-1.610041e+01
2.250000e+00,-1.768364e+01,-1.712274e+01,-1.711953e+01,-1.693724e+01,-1.705409e+01,-1.722273e+01,-1.681921e+01,-1.653495e+01
2.750000e+00,-1.831001e+01,-1.762920e+01,-1.751161e+01,-1.730042e+01,-1.746692e+01,-1.767872e+01,-1.717368e+01,-1.696550e+01
3.250000e+00,-1.875297e+01,-1.801658e+01,-1.780644e+01,-1.755607e+01,-1.778025e+01,-1.802465e+01,-1.742632e+01,-1.724081e+01
3.750000e+00,-1.910256e+01,-1.830596e+01,-1.804255e+01,-1.777641e+01,-1.798946e+01,-1.829489e+01,-1.765826e+01,-1.743506e+01
4.250000e+00,-1.935116e+01,-1.855175e+01,-1.821870e+01,-1.792160e+01,-1.813768e+01,-1.851941e+01,-1.781355e+01,-1.755049e+01
4.750000e+00,-1.956546e+01,-1.874903e+01,-1.837750e+01,-1.801485e+01,-1.828331e+01,-1.869924e+01,-1.791002e+01,-1.765599e+01
5.250000e+00,-1.973063e+01,-1.891884e+01,-1.851422e+01,-1.811156e+01,-1.837862e+01,-1.885653e+01,-1.801619e+01,-1.773716e+01
5.750000e+00,-1.987874e+01,-1.907558e+01,-1.862845e+01,-1.818278e+01,-1.848017e+01,-1.900324e+01,-1.809623e+01,-1.780066e+01
6.250000e+00,-2.000705e+01,-1.920162e+01,-1.873501e+01,-1.824099e+01,-1.853527e+01,-1.912554e+01,-1.816240e+01,-1.781952e+01
6.750000e+00,-2.010795e+01,-1.930898e+01,-1.885241e+01,-1.829846e+01,-1.858223e+01,-1.922730e+01,-1.823244e+01,-1.784326e+01
7.250000e+00,-2.019851e+01,-1.940847e+01,-1.894321e+01,-1.837618e+01,-1.863456e+01,-1.931822e+01,-1.833509e+01,-1.783823e+01
7.750000e+00,-2.028623e+01,-1.950662e+01,-1.902742e+01,-1.843122e+01,-1.867585e+01,-1.941225e+01,-1.840058e+01,-1.781908e+01
8.250000e+00,-2.035734e+01,-1.958385e+01,-1.911441e+01,-1.847928e+01,-1.870678e+01,-1.948795e+01,-1.845904e+01,-1.782406e+01
8.750000e+00,-2.041491e+01,-1.965597e+01,-1.919049e+01,-1.854755e+01,-1.876516e+01,-1.955722e+01,-1.853804e+01,-1.784250e+01
9.250000e+00,-2.045729e+01,-1.971921e+01,-1.924270e+01,-1.858886e+01,-1.884628e+01,-1.961907e+01,-1.858386e+01,-1.787853e+01
9.750000e+00,-2.049213e+01,-1.977465e+01,-1.930934e+01,-1.863373e+01,-1.892149e+01,-1.968018e+01,-1.863148e+01,-1.793031e+01
1.025000e+01,-2.051408e+01,-1.981707e+01,-1.938987e+01,-1.869323e+01,-1.901115e+01,-1.972868e+01,-1.869565e+01,-1.798149e+01
1.075000e+01,-2.052079e+01,-1.985661e+01,-1.945148e+01,-1.875960e+01,-1.908549e+01,-1.977403e+01,-1.876502e+01,-1.804509e+01
1.125000e+01,-2.051942e+01,-1.989742e+01,-1.950255e+01,-1.881121e+01,-1.918978e+01,-1.981927e+01,-1.881778e+01,-1.812547e+01
1.175000e+01,-2.050505e+01,-1.993320e+01,-1.955586e+01,-1.885253e+01,-1.929768e+01,-1.986524e+01,-1.885547e+01,-1.821132e+01
1.225000e+01,-2.047426e+01,-1.996281e+01,-1.960351e+01,-1.890594e+01,-1.939972e+01,-1.990607e+01,-1.890556e+01,-1.829484e+01
1.275000e+01,-2.043542e+01,-1.998559e+01,-1.964994e+01,-1.894620e+01,-1.949250e+01,-1.994387e+01,-1.894483e+01,-1.836010e+01
1.325000e+01,-2.038834e+01,-2.000548e+01,-1.969956e+01,-1.897949e+01,-1.958191e+01,-1.998113e+01,-1.898080e+01,-1.841388e+01
1.375000e+01,-2.032525e+01,-2.001721e+01,-1.974207e+01,-1.902263e+01,-1.966778e+01,-2.001253e+01,-1.902209e+01,-1.848085e+01
1.425000e+01,-2.025443e+01,-2.001773e+01,-1.977340e+01,-1.905285e+01,-1.974421e+01,-2.003688e+01,-1.904895e+01,-1.853779e+01
1.475000e+01,-2.017899e+01,-2.001073e+01,-1.981033e+01,-1.909331e+01,-1.981704e+01,-2.006106e+01,-1.908631e+01,-1.859030e+01
1.525000e+01,-2.009459e+01,-1.999221e+01,-1.984682e+01,-1.912345e+01,-1.987485e+01,-2.007923e+01,-1.911618e+01,-1.862449e+01
1.575000e+01,-2.000470e+01,-1.996689e+01,-1.988273e+01,-1.915115e+01,-1.993095e+01,-2.009327e+01,-1.914304e+01,-1.865671e+01
1.625000e+01,-1.989836e+01,-1.993578e+01,-1.991396e+01,-1.918934e+01,-1.997816e+01,-2.010410e+01,-1.917766e+01,-1.869256e+01
1.675000e+01,-1.978253e+01,-1.989006e+01,-1.994070e+01,-1.922500e+01,-2.001391e+01,-2.010665e+01,-1.921311e+01,-1.871801e+01
1.725000e+01,-1.967066e+01,-1.984578e+01,-1.997169e+01,-1.924636e+01,-2.004835e+01,-2.011116e+01,-1.923514e+01,-1.873977e+01
1.775000e+01,-1.954298e+01,-1.979695e+01,-2.000386e+01,-1.927249e+01,-2.008029e+01,-2.011092e+01,-1.925786e+01,-1.876776e+01
1.825000e+01,-1.940784e+01,-1.975009e+01,-2.004040e+01,-1.930852e+01,-2.010166e+01,-2.011135e+01,-1.929540e+01,-1.878116e+01
1.875000e+01,-1.926274e+01,-1.969980e+01,-2.007503e+01,-1.933884e+01,-2.012427e+01,-2.010690e+01,-1.932565e+01,-1.879531e+01
1.925000e+01,-1.909491e+01,-1.963647e+01,-2.010498e+01,-1.935997e+01,-2.014199e+01,-2.009207e+01,-1.934751e+01,-1.880380e+01
1.975000e+01,-1.894157e+01,-1.957519e+01,-2.012928e+01,-1.937535e+01,-2.015255e+01,-2.007311e+01,-1.936278e+01,-1.880743e+01
2.025000e+01,-1.878109e+01,-1.950950e+01,-2.015666e+01,-1.939758e+01,-2.016041e+01,-2.005095e+01,-1.938450e+01,-1.881009e+01
2.075000e+01,-1.861402e+01,-1.944026e+01,-2.017925e+01,-1.942591e+01,-2.016766e+01,-2.002296e+01,-1.941408e+01,-1.881693e+01
