Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.758941e+01,-1.638731e+01,-1.585759e+01,-1.541443e+01,-1.502568e+01,-1.638304e+01,-1.535182e+01,-1.471042e+01
1.250000e+00,-1.840454e+01,-1.711324e+01,-1.679530e+01,-1.619460e+01,-1.562344e+01,-1.715339e+01,-1.616092e+01,-1.533449e+01
1.750000e+00,-1.881082e+01,-1.758112e+01,-1.738881e+01,-1.685069e+01,-1.621320e+01,-1.761689e+01,-1.680664e+01,-1.599044e+01
2.250000e+00,-1.894764e+01,-1.793977e+01,-1.777916e+01,-1.733688e+01,-1.664663e+01,-1.796518e+01,-1.728920e+01,-1.647310e+01
2.750000e+00,-1.902543e+01,-1.819877e+01,-1.803638e+01,-1.767508e+01,-1.700907e+01,-1.821183e+01,-1.761915e+01,-1.685122e+01
3.250000e+00,-1.912436e+01,-1.841328e+01,-1.826427e+01,-1.790249e+01,-1.726040e+01,-1.843122e+01,-1.784341e+01,-1.711071e+01
3.750000e+00,-1.926512e+01,-1.861311e+01,-1.843200e+01,-1.810301e+01,-1.745065e+01,-1.861620e+01,-1.804032e+01,-1.730923e+01
4.250000e+00,-1.942812e+01,-1.878597e+01,-1.854690e+01,-1.819868e+01,-1.754904e+01,-1.876557e+01,-1.813979e+01,-1.739830e+01
4.750000e+00,-1.957458e+01,-1.895760e+01,-1.866238e+01,-1.829239e+01,-1.758789e+01,-1.891383e+01,-1.824141e+01,-1.744431e+01
5.250000e+00,-1.971479e+01,-1.909268e+01,-1.875035e+01,-1.836922e+01,-1.766431e+01,-1.902990e+01,-1.831874e+01,-1.752270e+01
5.750000e+00,-1.984958e+01,-1.923121e+01,-1.884037e+01,-1.841953e+01,-1.770745e+01,-1.915719e+01,-1.837479e+01,-1.756178e+01
6.250000e+00,-1.997374e+01,-1.936143e+01,-1.893271e+01,-1.845370e+01,-1.770212e+01,-1.927682e+01,-1.841172e+01,-1.758288e+01
6.750000e+00,-2.007499e+01,-1.946991e+01,-1.903011e+01,-1.849566e+01,-1.773968e+01,-1.938303e+01,-1.846471e+01,-1.758711e+01
7.250000e+00,-2.015933e+01,-1.957114e+01,-1.912138e+01,-1.854803e+01,-1.773486e+01,-1.948522e+01,-1.852362e+01,-1.758845e+01
7.750000e+00,-2.023034e+01,-1.965474e+01,-1.918566e+01,-1.859372e+01,-1.778390e+01,-1.956577e+01,-1.857396e+01,-1.762378e+01
8.250000e+00,-2.028045e+01,-1.972378e+01,-1.925250e+01,-1.863407e+01,-1.779377e+01,-1.963835e+01,-1.861895e+01,-1.761766e+01
8.750000e+00,-2.032929e+01,-1.979307e+01,-1.932754e+01,-1.865074e+01,-1.779345e+01,-1.971515e+01,-1.864131e+01,-1.762338e+01
9.250000e+00,-2.036289e+01,-1.985373e+01,-1.939646e+01,-1.868998e+01,-1.783245e+01,-1.978539e+01,-1.868238e+01,-1.765714e+01
9.750000e+00,-2.037173e+01,-1.989286e+01,-1.946139e+01,-1.871867e+01,-1.785430e+01,-1.983900e+01,-1.871749e+01,-1.765325e+01
1.025000e+01,-2.038306e+01,-1.993678e+01,-1.952385e+01,-1.874449e+01,-1.784150e+01,-1.989446e+01,-1.875444e+01,-1.759932e+01
1.075000e+01,-2.038664e+01,-1.997144e+01,-1.958299e+01,-1.878001e+01,-1.780691e+01,-1.994506e+01,-1.879554e+01,-1.756550e+01
1.125000e+01,-2.038505e+01,-2.000018e+01,-1.964152e+01,-1.878851e+01,-1.777645e+01,-1.999051e+01,-1.880521e+01,-1.754817e+01
1.175000e+01,-2.039253e+01,-2.002838e+01,-1.969362e+01,-1.878901e+01,-1.776001e+01,-2.003689e+01,-1.881243e+01,-1.750786e+01
1.225000e+01,-2.037644e+01,-2.005069e+01,-1.974629e+01,-1.880175e+01,-1.772300e+01,-2.008045e+01,-1.883345e+01,-1.744162e+01
1.275000e+01,-2.034924e+01,-2.006179e+01,-1.979565e+01,-1.881075e+01,-1.769560e+01,-2.011489e+01,-1.884620e+01,-1.738574e+01
1.325000e+01,-2.031251e+01,-2.007524e+01,-1.985886e+01,-1.883367e+01,-1.765473e+01,-2.015144e+01,-1.887778e+01,-1.734564e+01
1.375000e+01,-2.026480e+01,-2.008153e+01,-1.990630e+01,-1.886829e+01,-1.769368e+01,-2.018206e+01,-1.891490e+01,-1.735218e+01
1.425000e+01,-2.020085e+01,-2.008299e+01,-1.995093e+01,-1.890232e+01,-1.771357e+01,-2.021023e+01,-1.895023e+01,-1.732943e+01
1.475000e+01,-2.012736e+01,-2.007677e+01,-1.999897e+01,-1.894314e+01,-1.773059e+01,-2.023192e+01,-1.899291e+01,-1.732988e+01
1.525000e+01,-2.005502e+01,-2.007081e+01,-2.004324e+01,-1.898427e+01,-1.776551e+01,-2.025552e+01,-1.903571e+01,-1.736076e+01
1.575000e+01,-1.996626e+01,-2.006183e+01,-2.009120e+01,-1.902919e+01,-1.779974e+01,-2.027867e+01,-1.908187e+01,-1.737880e+01
