Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.259898e+00,-4.053948e+00,-7.052809e+00,-8.349830e+00,-8.986039e+00,-5.979902e+00,-8.306927e+00,-7.786324e+00
1.250000e+00,2.506823e+00,-3.311284e+00,-7.033126e+00,-9.261627e+00,-1.058662e+01,-4.797141e+00,-8.840588e+00,-9.801886e+00
1.750000e+00,-6.738673e+00,-7.929267e+00,-1.058600e+01,-1.216478e+01,-1.297374e+01,-8.908911e+00,-1.177010e+01,-1.250837e+01
2.250000e+00,-1.017536e+01,-1.117477e+01,-1.352094e+01,-1.409248e+01,-1.448286e+01,-1.221723e+01,-1.386658e+01,-1.406957e+01
2.750000e+00,-1.166054e+01,-1.290043e+01,-1.493867e+01,-1.525210e+01,-1.548810e+01,-1.381947e+01,-1.506405e+01,-1.505808e+01
3.250000e+00,-1.297016e+01,-1.399615e+01,-1.581056e+01,-1.601733e+01,-1.616640e+01,-1.484249e+01,-1.586107e+01,-1.570185e+01
3.750000e+00,-1.424075e+01,-1.503239e+01,-1.642571e+01,-1.658592e+01,-1.677897e+01,-1.571698e+01,-1.644105e+01,-1.623157e+01
4.250000e+00,-1.535409e+01,-1.590993e+01,-1.692801e+01,-1.703173e+01,-1.725206e+01,-1.646450e+01,-1.690468e+01,-1.663448e+01
4.750000e+00,-1.631985e+01,-1.658789e+01,-1.729998e+01,-1.739443e+01,-1.765909e+01,-1.701985e+01,-1.728099e+01,-1.697420e+01
5.250000e+00,-1.709599e+01,-1.710631e+01,-1.755126e+01,-1.766815e+01,-1.797879e+01,-1.741984e+01,-1.756799e+01,-1.722998e+01
5.750000e+00,-1.762148e+01,-1.747353e+01,-1.774621e+01,-1.788753e+01,-1.824254e+01,-1.770357e+01,-1.779092e+01,-1.745611e+01
6.250000e+00,-1.798399e+01,-1.773683e+01,-1.790664e+01,-1.806048e+01,-1.844555e+01,-1.790707e+01,-1.796916e+01,-1.762088e+01
6.750000e+00,-1.825845e+01,-1.794222e+01,-1.804620e+01,-1.820237e+01,-1.861856e+01,-1.807096e+01,-1.811285e+01,-1.776422e+01
7.250000e+00,-1.845869e+01,-1.809978e+01,-1.816482e+01,-1.833107e+01,-1.876186e+01,-1.820338e+01,-1.824288e+01,-1.789366e+01
7.750000e+00,-1.860892e+01,-1.823445e+01,-1.827848e+01,-1.842988e+01,-1.889037e+01,-1.832710e+01,-1.834221e+01,-1.800169e+01
8.250000e+00,-1.871510e+01,-1.834410e+01,-1.836985e+01,-1.851860e+01,-1.900210e+01,-1.843035e+01,-1.843431e+01,-1.808549e+01
8.750000e+00,-1.881042e+01,-1.843939e+01,-1.845822e+01,-1.861136e+01,-1.911008e+01,-1.852067e+01,-1.852776e+01,-1.817530e+01
9.250000e+00,-1.887879e+01,-1.852413e+01,-1.853380e+01,-1.867198e+01,-1.919253e+01,-1.860523e+01,-1.858937e+01,-1.824200e+01
9.750000e+00,-1.892857e+01,-1.859820e+01,-1.860755e+01,-1.873977e+01,-1.927736e+01,-1.868173e+01,-1.866373e+01,-1.829911e+01
1.025000e+01,-1.896109e+01,-1.866685e+01,-1.867489e+01,-1.879757e+01,-1.935364e+01,-1.875436e+01,-1.872326e+01,-1.834929e+01
1.075000e+01,-1.898028e+01,-1.872710e+01,-1.873230e+01,-1.884279e+01,-1.942296e+01,-1.881979e+01,-1.876869e+01,-1.840285e+01
1.125000e+01,-1.898938e+01,-1.877951e+01,-1.878586e+01,-1.888560e+01,-1.948853e+01,-1.887845e+01,-1.881402e+01,-1.843991e+01
1.175000e+01,-1.898335e+01,-1.882097e+01,-1.884252e+01,-1.892176e+01,-1.954235e+01,-1.893347e+01,-1.885505e+01,-1.846667e+01
1.225000e+01,-1.897192e+01,-1.885965e+01,-1.889240e+01,-1.895783e+01,-1.959811e+01,-1.898292e+01,-1.889527e+01,-1.849240e+01
1.275000e+01,-1.894881e+01,-1.888897e+01,-1.893469e+01,-1.898697e+01,-1.963989e+01,-1.902376e+01,-1.892913e+01,-1.850931e+01
1.325000e+01,-1.892438e+01,-1.891374e+01,-1.897351e+01,-1.900906e+01,-1.967850e+01,-1.906121e+01,-1.895465e+01,-1.852082e+01
1.375000e+01,-1.888905e+01,-1.893238e+01,-1.900989e+01,-1.902628e+01,-1.971174e+01,-1.909540e+01,-1.897786e+01,-1.852107e+01
1.425000e+01,-1.884989e+01,-1.894489e+01,-1.904874e+01,-1.904076e+01,-1.974197e+01,-1.912558e+01,-1.899728e+01,-1.852045e+01
1.475000e+01,-1.880201e+01,-1.895218e+01,-1.908024e+01,-1.906017e+01,-1.976746e+01,-1.914632e+01,-1.902161e+01,-1.851694e+01
1.525000e+01,-1.875484e+01,-1.895982e+01,-1.910762e+01,-1.907408e+01,-1.978502e+01,-1.916880e+01,-1.903949e+01,-1.850891e+01
1.575000e+01,-1.869801e+01,-1.896004e+01,-1.914210e+01,-1.908753e+01,-1.979462e+01,-1.918890e+01,-1.905760e+01,-1.849208e+01
1.625000e+01,-1.864275e+01,-1.895387e+01,-1.916927e+01,-1.910211e+01,-1.980290e+01,-1.920010e+01,-1.907671e+01,-1.847807e+01
1.675000e+01,-1.858291e+01,-1.894392e+01,-1.918953e+01,-1.910674e+01,-1.980727e+01,-1.920678e+01,-1.908689e+01,-1.845456e+01
1.725000e+01,-1.852385e+01,-1.893161e+01,-1.921338e+01,-1.911229e+01,-1.980828e+01,-1.921193e+01,-1.909560e+01,-1.842936e+01
1.775000e+01,-1.846337e+01,-1.891375e+01,-1.923409e+01,-1.911472e+01,-1.980714e+01,-1.921047e+01,-1.910046e+01,-1.840259e+01
1.825000e+01,-1.840030e+01,-1.889652e+01,-1.925338e+01,-1.911735e+01,-1.980152e+01,-1.920913e+01,-1.910775e+01,-1.837020e+01
1.875000e+01,-1.834153e+01,-1.887802e+01,-1.926615e+01,-1.911247e+01,-1.979055e+01,-1.920462e+01,-1.910498e+01,-1.834290e+01
1.925000e+01,-1.827755e+01,-1.885657e+01,-1.927676e+01,-1.910470e+01,-1.978184e+01,-1.919702e+01,-1.909709e+01,-1.832687e+01
1.975000e+01,-1.821846e+01,-1.883403e+01,-1.928648e+01,-1.909767e+01,-1.977210e+01,-1.918676e+01,-1.909190e+01,-1.829804e+01
2.025000e+01,-1.816472e+01,-1.881344e+01,-1.929196e+01,-1.908631e+01,-1.975952e+01,-1.917607e+01,-1.908166e+01,-1.827421e+01
2.075000e+01,-1.810851e+01,-1.878992e+01,-1.929372e+01,-1.907821e+01,-1.974814e+01,-1.916165e+01,-1.907532e+01,-1.824522e+01
