Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.280304e+01,-1.275761e+01,-1.388695e+01,-1.428524e+01,-1.455008e+01,-1.325615e+01,-1.407326e+01,-1.417738e+01
1.250000e+00,-1.265025e+01,-1.281356e+01,-1.408670e+01,-1.462371e+01,-1.512548e+01,-1.338505e+01,-1.434365e+01,-1.472626e+01
1.750000e+00,-1.169544e+01,-1.206084e+01,-1.361763e+01,-1.434878e+01,-1.500430e+01,-1.274746e+01,-1.400412e+01,-1.459102e+01
2.250000e+00,-1.093461e+01,-1.164597e+01,-1.339011e+01,-1.424125e+01,-1.501076e+01,-1.244503e+01,-1.382515e+01,-1.461421e+01
2.750000e+00,-1.077576e+01,-1.170455e+01,-1.373523e+01,-1.461682e+01,-1.534300e+01,-1.262418e+01,-1.419992e+01,-1.496756e+01
3.250000e+00,-1.135189e+01,-1.212776e+01,-1.434263e+01,-1.520252e+01,-1.594810e+01,-1.316714e+01,-1.476603e+01,-1.559377e+01
3.750000e+00,-1.223361e+01,-1.303135e+01,-1.517386e+01,-1.589649e+01,-1.657195e+01,-1.404339e+01,-1.550150e+01,-1.620773e+01
4.250000e+00,-1.325016e+01,-1.391714e+01,-1.600793e+01,-1.655386e+01,-1.708035e+01,-1.493169e+01,-1.621750e+01,-1.672083e+01
4.750000e+00,-1.409906e+01,-1.470292e+01,-1.674315e+01,-1.713711e+01,-1.751922e+01,-1.569681e+01,-1.687855e+01,-1.711716e+01
5.250000e+00,-1.481106e+01,-1.540618e+01,-1.732471e+01,-1.759186e+01,-1.785320e+01,-1.633798e+01,-1.740037e+01,-1.738357e+01
5.750000e+00,-1.547853e+01,-1.603352e+01,-1.776263e+01,-1.792915e+01,-1.814250e+01,-1.687474e+01,-1.778157e+01,-1.759465e+01
6.250000e+00,-1.603537e+01,-1.658410e+01,-1.807302e+01,-1.815651e+01,-1.837581e+01,-1.731747e+01,-1.803852e+01,-1.773767e+01
6.750000e+00,-1.647087e+01,-1.703753e+01,-1.830088e+01,-1.830928e+01,-1.855913e+01,-1.768137e+01,-1.820582e+01,-1.786095e+01
7.250000e+00,-1.679041e+01,-1.738518e+01,-1.847181e+01,-1.843844e+01,-1.871234e+01,-1.796564e+01,-1.834760e+01,-1.795979e+01
7.750000e+00,-1.704889e+01,-1.764098e+01,-1.860685e+01,-1.854249e+01,-1.883566e+01,-1.817724e+01,-1.845786e+01,-1.805315e+01
8.250000e+00,-1.723233e+01,-1.783003e+01,-1.871966e+01,-1.863387e+01,-1.895145e+01,-1.834079e+01,-1.855640e+01,-1.813125e+01
8.750000e+00,-1.737973e+01,-1.797750e+01,-1.880302e+01,-1.871329e+01,-1.905105e+01,-1.847004e+01,-1.863721e+01,-1.821658e+01
9.250000e+00,-1.746272e+01,-1.808399e+01,-1.887797e+01,-1.878094e+01,-1.914518e+01,-1.857037e+01,-1.870882e+01,-1.827884e+01
9.750000e+00,-1.750666e+01,-1.815902e+01,-1.895481e+01,-1.885620e+01,-1.922415e+01,-1.865133e+01,-1.878742e+01,-1.833679e+01
1.025000e+01,-1.754283e+01,-1.821348e+01,-1.901620e+01,-1.892187e+01,-1.929968e+01,-1.871090e+01,-1.885739e+01,-1.839330e+01
1.075000e+01,-1.754899e+01,-1.826313e+01,-1.908247e+01,-1.898046e+01,-1.937107e+01,-1.877287e+01,-1.891738e+01,-1.844805e+01
1.125000e+01,-1.750800e+01,-1.828890e+01,-1.914557e+01,-1.903761e+01,-1.944101e+01,-1.881837e+01,-1.897595e+01,-1.850343e+01
1.175000e+01,-1.747092e+01,-1.829290e+01,-1.919960e+01,-1.908836e+01,-1.949714e+01,-1.884403e+01,-1.903348e+01,-1.852926e+01
1.225000e+01,-1.743645e+01,-1.829159e+01,-1.925105e+01,-1.913400e+01,-1.955560e+01,-1.886623e+01,-1.908336e+01,-1.855579e+01
1.275000e+01,-1.739066e+01,-1.828578e+01,-1.930031e+01,-1.917694e+01,-1.960572e+01,-1.888257e+01,-1.913102e+01,-1.858185e+01
1.325000e+01,-1.732644e+01,-1.827661e+01,-1.934960e+01,-1.922507e+01,-1.965482e+01,-1.889848e+01,-1.918146e+01,-1.861084e+01
1.375000e+01,-1.725533e+01,-1.825379e+01,-1.939329e+01,-1.926644e+01,-1.969230e+01,-1.890373e+01,-1.922823e+01,-1.862445e+01
1.425000e+01,-1.717285e+01,-1.821880e+01,-1.942999e+01,-1.930426e+01,-1.972523e+01,-1.889998e+01,-1.926902e+01,-1.864349e+01
1.475000e+01,-1.707953e+01,-1.817493e+01,-1.946472e+01,-1.933458e+01,-1.975379e+01,-1.889000e+01,-1.930183e+01,-1.865640e+01
1.525000e+01,-1.698971e+01,-1.812170e+01,-1.949487e+01,-1.937010e+01,-1.978240e+01,-1.886996e+01,-1.933903e+01,-1.868020e+01
1.575000e+01,-1.689849e+01,-1.806473e+01,-1.951894e+01,-1.940228e+01,-1.980942e+01,-1.884509e+01,-1.937201e+01,-1.869780e+01
1.625000e+01,-1.680934e+01,-1.800238e+01,-1.953803e+01,-1.942972e+01,-1.983184e+01,-1.881553e+01,-1.940074e+01,-1.870942e+01
1.675000e+01,-1.671632e+01,-1.793835e+01,-1.955690e+01,-1.946048e+01,-1.984612e+01,-1.878334e+01,-1.943274e+01,-1.872159e+01
1.725000e+01,-1.660757e+01,-1.787139e+01,-1.957031e+01,-1.948616e+01,-1.986110e+01,-1.875003e+01,-1.945773e+01,-1.874012e+01
1.775000e+01,-1.648483e+01,-1.779523e+01,-1.957829e+01,-1.950408e+01,-1.987073e+01,-1.870951e+01,-1.947493e+01,-1.875442e+01
1.825000e+01,-1.637704e+01,-1.772337e+01,-1.958302e+01,-1.952070e+01,-1.987568e+01,-1.867046e+01,-1.948971e+01,-1.876810e+01
1.875000e+01,-1.627683e+01,-1.765706e+01,-1.958478e+01,-1.953078e+01,-1.988176e+01,-1.863342e+01,-1.949739e+01,-1.878290e+01
1.925000e+01,-1.615984e+01,-1.758288e+01,-1.958471e+01,-1.954194e+01,-1.988319e+01,-1.858924e+01,-1.950666e+01,-1.879531e+01
1.975000e+01,-1.605691e+01,-1.751324e+01,-1.957311e+01,-1.954876e+01,-1.988259e+01,-1.854187e+01,-1.951134e+01,-1.880839e+01
2.025000e+01,-1.595527e+01,-1.744687e+01,-1.956221e+01,-1.955185e+01,-1.988165e+01,-1.849884e+01,-1.950994e+01,-1.882456e+01
