Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.622383e+01,-1.554199e+01,-1.549759e+01,-1.546782e+01,-1.528886e+01,-1.560648e+01,-1.535613e+01,-1.500332e+01
1.250000e+00,-1.628466e+01,-1.590678e+01,-1.603244e+01,-1.601068e+01,-1.591304e+01,-1.605602e+01,-1.588488e+01,-1.557472e+01
1.750000e+00,-1.539154e+01,-1.550926e+01,-1.615646e+01,-1.620248e+01,-1.621285e+01,-1.588759e+01,-1.607316e+01,-1.578023e+01
2.250000e+00,-1.411663e+01,-1.436098e+01,-1.574799e+01,-1.618724e+01,-1.638560e+01,-1.498339e+01,-1.600619e+01,-1.594659e+01
2.750000e+00,-1.305677e+01,-1.343516e+01,-1.497516e+01,-1.578851e+01,-1.632128e+01,-1.410793e+01,-1.547056e+01,-1.596909e+01
3.250000e+00,-1.252035e+01,-1.313763e+01,-1.482469e+01,-1.572480e+01,-1.643510e+01,-1.388969e+01,-1.534257e+01,-1.605781e+01
3.750000e+00,-1.280813e+01,-1.340108e+01,-1.522985e+01,-1.610737e+01,-1.677318e+01,-1.421699e+01,-1.572452e+01,-1.642594e+01
4.250000e+00,-1.337425e+01,-1.400498e+01,-1.587424e+01,-1.665076e+01,-1.720253e+01,-1.486641e+01,-1.632473e+01,-1.682849e+01
4.750000e+00,-1.404893e+01,-1.466457e+01,-1.654743e+01,-1.717162e+01,-1.757190e+01,-1.554992e+01,-1.690928e+01,-1.717059e+01
5.250000e+00,-1.464223e+01,-1.525134e+01,-1.711123e+01,-1.761426e+01,-1.788194e+01,-1.613844e+01,-1.741116e+01,-1.743257e+01
5.750000e+00,-1.520293e+01,-1.583227e+01,-1.757963e+01,-1.793733e+01,-1.813722e+01,-1.667733e+01,-1.778138e+01,-1.759911e+01
6.250000e+00,-1.569375e+01,-1.634252e+01,-1.793640e+01,-1.817186e+01,-1.834397e+01,-1.712397e+01,-1.804028e+01,-1.775725e+01
6.750000e+00,-1.610153e+01,-1.677377e+01,-1.820951e+01,-1.835418e+01,-1.850635e+01,-1.748926e+01,-1.824537e+01,-1.786780e+01
7.250000e+00,-1.637612e+01,-1.711119e+01,-1.842309e+01,-1.848583e+01,-1.864448e+01,-1.778126e+01,-1.839010e+01,-1.796062e+01
7.750000e+00,-1.660401e+01,-1.735637e+01,-1.858025e+01,-1.859486e+01,-1.876463e+01,-1.799521e+01,-1.851108e+01,-1.804113e+01
8.250000e+00,-1.680295e+01,-1.756209e+01,-1.870464e+01,-1.869349e+01,-1.886666e+01,-1.817062e+01,-1.861618e+01,-1.812242e+01
8.750000e+00,-1.694990e+01,-1.774364e+01,-1.881397e+01,-1.877570e+01,-1.895935e+01,-1.832753e+01,-1.870262e+01,-1.820144e+01
9.250000e+00,-1.704161e+01,-1.786737e+01,-1.890512e+01,-1.884850e+01,-1.905749e+01,-1.844225e+01,-1.878025e+01,-1.827061e+01
9.750000e+00,-1.714444e+01,-1.796721e+01,-1.898187e+01,-1.891077e+01,-1.913632e+01,-1.853452e+01,-1.884586e+01,-1.831944e+01
1.025000e+01,-1.721548e+01,-1.805765e+01,-1.905448e+01,-1.898128e+01,-1.920654e+01,-1.862148e+01,-1.892337e+01,-1.836963e+01
1.075000e+01,-1.721320e+01,-1.811094e+01,-1.911983e+01,-1.904080e+01,-1.928599e+01,-1.868744e+01,-1.898654e+01,-1.841904e+01
1.125000e+01,-1.719072e+01,-1.812736e+01,-1.917553e+01,-1.909790e+01,-1.935236e+01,-1.872223e+01,-1.904514e+01,-1.846586e+01
1.175000e+01,-1.717210e+01,-1.813731e+01,-1.922586e+01,-1.914639e+01,-1.941282e+01,-1.874840e+01,-1.909793e+01,-1.850154e+01
1.225000e+01,-1.713653e+01,-1.814182e+01,-1.927879e+01,-1.919551e+01,-1.947271e+01,-1.877612e+01,-1.915223e+01,-1.852732e+01
1.275000e+01,-1.710667e+01,-1.813365e+01,-1.932525e+01,-1.924752e+01,-1.952657e+01,-1.878937e+01,-1.920713e+01,-1.855880e+01
1.325000e+01,-1.704832e+01,-1.811434e+01,-1.936833e+01,-1.929617e+01,-1.957796e+01,-1.879627e+01,-1.925789e+01,-1.858735e+01
1.375000e+01,-1.699851e+01,-1.808787e+01,-1.940518e+01,-1.933305e+01,-1.962582e+01,-1.879750e+01,-1.929784e+01,-1.861176e+01
1.425000e+01,-1.693015e+01,-1.805823e+01,-1.944285e+01,-1.937155e+01,-1.966764e+01,-1.879724e+01,-1.933993e+01,-1.862761e+01
1.475000e+01,-1.684212e+01,-1.800846e+01,-1.947446e+01,-1.941034e+01,-1.970453e+01,-1.878098e+01,-1.938028e+01,-1.865102e+01
1.525000e+01,-1.675016e+01,-1.794727e+01,-1.949994e+01,-1.944376e+01,-1.973544e+01,-1.875714e+01,-1.941528e+01,-1.866803e+01
1.575000e+01,-1.667100e+01,-1.788772e+01,-1.952105e+01,-1.947578e+01,-1.976630e+01,-1.873038e+01,-1.944775e+01,-1.868803e+01
1.625000e+01,-1.658231e+01,-1.782649e+01,-1.953730e+01,-1.950449e+01,-1.979374e+01,-1.870092e+01,-1.947649e+01,-1.870440e+01
1.675000e+01,-1.649059e+01,-1.776303e+01,-1.954981e+01,-1.952919e+01,-1.981511e+01,-1.866804e+01,-1.950139e+01,-1.871883e+01
1.725000e+01,-1.638610e+01,-1.769498e+01,-1.955785e+01,-1.955361e+01,-1.983043e+01,-1.863176e+01,-1.952564e+01,-1.873334e+01
1.775000e+01,-1.627232e+01,-1.762143e+01,-1.956184e+01,-1.957563e+01,-1.984163e+01,-1.859243e+01,-1.954677e+01,-1.874676e+01
1.825000e+01,-1.616834e+01,-1.754735e+01,-1.955890e+01,-1.959094e+01,-1.985247e+01,-1.854784e+01,-1.956009e+01,-1.876271e+01
1.875000e+01,-1.606581e+01,-1.748067e+01,-1.955512e+01,-1.960176e+01,-1.986419e+01,-1.850724e+01,-1.956782e+01,-1.878087e+01
1.925000e+01,-1.595423e+01,-1.741051e+01,-1.954978e+01,-1.960898e+01,-1.987192e+01,-1.846628e+01,-1.957141e+01,-1.879910e+01
1.975000e+01,-1.585422e+01,-1.734901e+01,-1.953794e+01,-1.961047e+01,-1.987380e+01,-1.842477e+01,-1.957018e+01,-1.881017e+01
2.025000e+01,-1.574931e+01,-1.728591e+01,-1.952375e+01,-1.960899e+01,-1.987432e+01,-1.838196e+01,-1.956557e+01,-1.882097e+01
2.075000e+01,-1.564489e+01,-1.723041e+01,-1.950787e+01,-1.960481e+01,-1.986988e+01,-1.834442e+01,-1.955728e+01,-1.883347e+01
