Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.704696e+01,-1.600426e+01,-1.578352e+01,-1.550575e+01,-1.505148e+01,-1.602163e+01,-1.542551e+01,-1.486257e+01
1.250000e+00,-1.739176e+01,-1.658121e+01,-1.641404e+01,-1.631015e+01,-1.588144e+01,-1.660545e+01,-1.621136e+01,-1.572605e+01
1.750000e+00,-1.692281e+01,-1.655937e+01,-1.657194e+01,-1.656034e+01,-1.638199e+01,-1.666142e+01,-1.643617e+01,-1.609845e+01
2.250000e+00,-1.557115e+01,-1.587623e+01,-1.651961e+01,-1.652813e+01,-1.659535e+01,-1.627536e+01,-1.638426e+01,-1.616777e+01
2.750000e+00,-1.416896e+01,-1.455098e+01,-1.610924e+01,-1.654292e+01,-1.675021e+01,-1.525038e+01,-1.635626e+01,-1.633532e+01
3.250000e+00,-1.325808e+01,-1.374252e+01,-1.545987e+01,-1.628105e+01,-1.675271e+01,-1.448742e+01,-1.599760e+01,-1.639159e+01
3.750000e+00,-1.304878e+01,-1.369825e+01,-1.549374e+01,-1.635395e+01,-1.691562e+01,-1.448872e+01,-1.603435e+01,-1.655112e+01
4.250000e+00,-1.353138e+01,-1.411971e+01,-1.598980e+01,-1.676977e+01,-1.724677e+01,-1.496494e+01,-1.647716e+01,-1.688110e+01
4.750000e+00,-1.403978e+01,-1.469180e+01,-1.659566e+01,-1.725140e+01,-1.761131e+01,-1.557028e+01,-1.700747e+01,-1.722470e+01
5.250000e+00,-1.459453e+01,-1.526057e+01,-1.713975e+01,-1.765682e+01,-1.789699e+01,-1.614193e+01,-1.746467e+01,-1.746176e+01
5.750000e+00,-1.510583e+01,-1.580029e+01,-1.757816e+01,-1.794376e+01,-1.813818e+01,-1.664606e+01,-1.778476e+01,-1.763580e+01
6.250000e+00,-1.557961e+01,-1.630809e+01,-1.795086e+01,-1.818271e+01,-1.833396e+01,-1.710106e+01,-1.805476e+01,-1.776420e+01
6.750000e+00,-1.594765e+01,-1.670498e+01,-1.822216e+01,-1.835615e+01,-1.848665e+01,-1.744956e+01,-1.824673e+01,-1.788215e+01
7.250000e+00,-1.626324e+01,-1.704512e+01,-1.843430e+01,-1.848889e+01,-1.861677e+01,-1.774240e+01,-1.839460e+01,-1.797367e+01
7.750000e+00,-1.649192e+01,-1.730620e+01,-1.860036e+01,-1.859910e+01,-1.872146e+01,-1.796965e+01,-1.851508e+01,-1.804780e+01
8.250000e+00,-1.669083e+01,-1.752239e+01,-1.873213e+01,-1.869109e+01,-1.882382e+01,-1.815849e+01,-1.861223e+01,-1.812937e+01
8.750000e+00,-1.684488e+01,-1.768633e+01,-1.884289e+01,-1.877216e+01,-1.890463e+01,-1.830345e+01,-1.869800e+01,-1.820584e+01
9.250000e+00,-1.695314e+01,-1.781316e+01,-1.893041e+01,-1.884730e+01,-1.898958e+01,-1.841669e+01,-1.877874e+01,-1.826493e+01
