Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.695919e+01,-1.592005e+01,-1.575282e+01,-1.539891e+01,-1.494642e+01,-1.594711e+01,-1.532619e+01,-1.473077e+01
1.250000e+00,-1.731841e+01,-1.651880e+01,-1.641759e+01,-1.620090e+01,-1.578312e+01,-1.656709e+01,-1.610974e+01,-1.560818e+01
1.750000e+00,-1.698131e+01,-1.657695e+01,-1.653333e+01,-1.648267e+01,-1.632698e+01,-1.665975e+01,-1.636295e+01,-1.601335e+01
2.250000e+00,-1.582266e+01,-1.607382e+01,-1.654942e+01,-1.649418e+01,-1.659284e+01,-1.640946e+01,-1.635147e+01,-1.616299e+01
2.750000e+00,-1.444516e+01,-1.497651e+01,-1.636064e+01,-1.660431e+01,-1.677711e+01,-1.564052e+01,-1.643702e+01,-1.633083e+01
3.250000e+00,-1.353515e+01,-1.410113e+01,-1.585443e+01,-1.655096e+01,-1.685175e+01,-1.487576e+01,-1.632622e+01,-1.646929e+01
3.750000e+00,-1.346857e+01,-1.404462e+01,-1.589404e+01,-1.666183e+01,-1.704124e+01,-1.485875e+01,-1.640789e+01,-1.667954e+01
4.250000e+00,-1.380174e+01,-1.445176e+01,-1.633902e+01,-1.702022e+01,-1.736479e+01,-1.530981e+01,-1.678840e+01,-1.696529e+01
4.750000e+00,-1.427735e+01,-1.495897e+01,-1.686014e+01,-1.740161e+01,-1.767133e+01,-1.584326e+01,-1.720422e+01,-1.722679e+01
5.250000e+00,-1.484116e+01,-1.554710e+01,-1.734576e+01,-1.774308e+01,-1.793715e+01,-1.639776e+01,-1.757951e+01,-1.744509e+01
5.750000e+00,-1.536123e+01,-1.609570e+01,-1.775814e+01,-1.800502e+01,-1.814607e+01,-1.689467e+01,-1.786975e+01,-1.760779e+01
6.250000e+00,-1.576060e+01,-1.655924e+01,-1.806627e+01,-1.820545e+01,-1.832021e+01,-1.729974e+01,-1.809211e+01,-1.773766e+01
6.750000e+00,-1.611880e+01,-1.695779e+01,-1.830512e+01,-1.834315e+01,-1.844422e+01,-1.764183e+01,-1.824606e+01,-1.782945e+01
