Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-7.278575e+00,-7.966998e+00,-8.751527e+00,-8.909513e+00,-9.798560e+00,-8.243301e+00,-8.669502e+00,-8.931284e+00
1.250000e+00,-6.290579e+00,-9.558352e+00,-1.047551e+01,-1.126925e+01,-1.189324e+01,-9.988392e+00,-1.102908e+01,-1.135540e+01
1.750000e+00,-1.026460e+01,-1.174186e+01,-1.244843e+01,-1.293911e+01,-1.331799e+01,-1.208978e+01,-1.276952e+01,-1.279874e+01
2.250000e+00,-1.305414e+01,-1.346939e+01,-1.387229e+01,-1.422815e+01,-1.446403e+01,-1.370406e+01,-1.406835e+01,-1.401695e+01
2.750000e+00,-1.456923e+01,-1.461316e+01,-1.497512e+01,-1.518638e+01,-1.534429e+01,-1.481598e+01,-1.501970e+01,-1.494636e+01
3.250000e+00,-1.562576e+01,-1.547451e+01,-1.574199e+01,-1.590519e+01,-1.602676e+01,-1.564878e+01,-1.575256e+01,-1.560974e+01
3.750000e+00,-1.643537e+01,-1.609437e+01,-1.631230e+01,-1.646880e+01,-1.662438e+01,-1.624672e+01,-1.631620e+01,-1.617025e+01
4.250000e+00,-1.705568e+01,-1.657241e+01,-1.675113e+01,-1.690413e+01,-1.705538e+01,-1.671071e+01,-1.676667e+01,-1.657609e+01
4.750000e+00,-1.753992e+01,-1.693531e+01,-1.709723e+01,-1.725707e+01,-1.735478e+01,-1.705920e+01,-1.712996e+01,-1.687908e+01
5.250000e+00,-1.790568e+01,-1.724191e+01,-1.738764e+01,-1.754220e+01,-1.763153e+01,-1.735276e+01,-1.742504e+01,-1.713068e+01
5.750000e+00,-1.819272e+01,-1.748630e+01,-1.762498e+01,-1.777982e+01,-1.781585e+01,-1.759704e+01,-1.767642e+01,-1.730746e+01
6.250000e+00,-1.841696e+01,-1.768106e+01,-1.780803e+01,-1.795883e+01,-1.799062e+01,-1.778046e+01,-1.786175e+01,-1.746105e+01
6.750000e+00,-1.858825e+01,-1.784866e+01,-1.796594e+01,-1.810708e+01,-1.812435e+01,-1.794450e+01,-1.801554e+01,-1.758458e+01
7.250000e+00,-1.874012e+01,-1.798959e+01,-1.810337e+01,-1.823521e+01,-1.825239e+01,-1.808474e+01,-1.815099e+01,-1.768148e+01
7.750000e+00,-1.885769e+01,-1.811301e+01,-1.821339e+01,-1.834711e+01,-1.836342e+01,-1.820892e+01,-1.826195e+01,-1.779295e+01
8.250000e+00,-1.896076e+01,-1.822062e+01,-1.831604e+01,-1.843402e+01,-1.846776e+01,-1.831314e+01,-1.835386e+01,-1.787037e+01
