Time,U,B,V,R,I,gs,rs,is
7.500000e-01,5.241459e+00,-4.676132e+00,-6.454572e+00,-8.285106e+00,-9.663559e+00,-5.630585e+00,-7.933808e+00,-8.681141e+00
1.250000e+00,-1.480944e+00,-7.566196e+00,-8.960169e+00,-1.054525e+01,-1.154628e+01,-8.248684e+00,-9.984341e+00,-1.108961e+01
1.750000e+00,-9.958487e+00,-1.140892e+01,-1.196012e+01,-1.271806e+01,-1.336218e+01,-1.185840e+01,-1.241511e+01,-1.289294e+01
2.250000e+00,-1.261177e+01,-1.336335e+01,-1.392000e+01,-1.430495e+01,-1.457809e+01,-1.369537e+01,-1.415317e+01,-1.401185e+01
2.750000e+00,-1.405661e+01,-1.454489e+01,-1.503695e+01,-1.526337e+01,-1.546415e+01,-1.481389e+01,-1.511005e+01,-1.493248e+01
3.250000e+00,-1.528318e+01,-1.549422e+01,-1.577673e+01,-1.594751e+01,-1.623622e+01,-1.567510e+01,-1.578993e+01,-1.563645e+01
3.750000e+00,-1.619195e+01,-1.612735e+01,-1.635425e+01,-1.650175e+01,-1.687140e+01,-1.628238e+01,-1.634795e+01,-1.620956e+01
4.250000e+00,-1.685285e+01,-1.660692e+01,-1.676454e+01,-1.690485e+01,-1.730271e+01,-1.672516e+01,-1.675654e+01,-1.659812e+01
4.750000e+00,-1.735308e+01,-1.698041e+01,-1.711252e+01,-1.724276e+01,-1.762935e+01,-1.708593e+01,-1.710224e+01,-1.691391e+01
5.250000e+00,-1.772820e+01,-1.728338e+01,-1.738786e+01,-1.750596e+01,-1.787232e+01,-1.737584e+01,-1.737659e+01,-1.713353e+01
5.750000e+00,-1.802421e+01,-1.752117e+01,-1.762130e+01,-1.771917e+01,-1.807369e+01,-1.760940e+01,-1.759787e+01,-1.731769e+01
6.250000e+00,-1.825585e+01,-1.771259e+01,-1.780244e+01,-1.791647e+01,-1.823798e+01,-1.778999e+01,-1.780397e+01,-1.747009e+01
6.750000e+00,-1.843993e+01,-1.788231e+01,-1.795401e+01,-1.806436e+01,-1.837578e+01,-1.795052e+01,-1.795565e+01,-1.760842e+01
7.250000e+00,-1.859592e+01,-1.803146e+01,-1.808817e+01,-1.818698e+01,-1.849389e+01,-1.809958e+01,-1.808519e+01,-1.769951e+01
7.750000e+00,-1.871741e+01,-1.815628e+01,-1.820502e+01,-1.829029e+01,-1.861042e+01,-1.822299e+01,-1.819190e+01,-1.779704e+01
8.250000e+00,-1.881629e+01,-1.826231e+01,-1.830542e+01,-1.838633e+01,-1.870863e+01,-1.832438e+01,-1.829410e+01,-1.788055e+01
8.750000e+00,-1.890937e+01,-1.836246e+01,-1.840029e+01,-1.848074e+01,-1.879091e+01,-1.842380e+01,-1.839261e+01,-1.795294e+01
9.250000e+00,-1.898393e+01,-1.844191e+01,-1.847933e+01,-1.854817e+01,-1.885369e+01,-1.850490e+01,-1.846366e+01,-1.800359e+01
