Time,U,B,V,R,I,gs,rs,is
7.500000e-01,,-1.378391e+00,-4.897521e+00,-6.036690e+00,-7.906271e+00,-3.665448e+00,-5.302124e+00,-6.844317e+00
1.250000e+00,,-1.781898e+00,-5.325913e+00,-7.468362e+00,-9.284633e+00,-3.854359e+00,-7.088882e+00,-8.055314e+00
1.750000e+00,-3.685129e+00,-6.096990e+00,-8.802030e+00,-1.056290e+01,-1.194077e+01,-7.240870e+00,-9.943225e+00,-1.128977e+01
2.250000e+00,-8.887596e+00,-9.658715e+00,-1.205639e+01,-1.331352e+01,-1.421621e+01,-1.073079e+01,-1.275306e+01,-1.387053e+01
2.750000e+00,-1.070099e+01,-1.159327e+01,-1.417992e+01,-1.467778e+01,-1.529116e+01,-1.277987e+01,-1.429042e+01,-1.497374e+01
3.250000e+00,-1.175865e+01,-1.279557e+01,-1.539047e+01,-1.560545e+01,-1.602223e+01,-1.401393e+01,-1.532997e+01,-1.567371e+01
3.750000e+00,-1.301609e+01,-1.377811e+01,-1.622176e+01,-1.633638e+01,-1.662144e+01,-1.489494e+01,-1.611791e+01,-1.624530e+01
4.250000e+00,-1.399465e+01,-1.465299e+01,-1.682725e+01,-1.690772e+01,-1.711299e+01,-1.564361e+01,-1.673191e+01,-1.669097e+01
4.750000e+00,-1.509784e+01,-1.553944e+01,-1.730217e+01,-1.734715e+01,-1.757867e+01,-1.635616e+01,-1.719879e+01,-1.706129e+01
5.250000e+00,-1.608657e+01,-1.637554e+01,-1.766448e+01,-1.764392e+01,-1.795001e+01,-1.700885e+01,-1.751834e+01,-1.730642e+01
5.750000e+00,-1.681425e+01,-1.701115e+01,-1.790991e+01,-1.784731e+01,-1.824537e+01,-1.750038e+01,-1.772744e+01,-1.751079e+01
6.250000e+00,-1.733036e+01,-1.742744e+01,-1.808813e+01,-1.801961e+01,-1.846084e+01,-1.783225e+01,-1.790175e+01,-1.768472e+01
6.750000e+00,-1.768515e+01,-1.771980e+01,-1.822803e+01,-1.815101e+01,-1.863907e+01,-1.806929e+01,-1.803915e+01,-1.781511e+01
7.250000e+00,-1.792141e+01,-1.793577e+01,-1.834816e+01,-1.827878e+01,-1.878584e+01,-1.825447e+01,-1.817372e+01,-1.792556e+01
