Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.096868e+01,-1.108085e+01,-1.232872e+01,-1.289538e+01,-1.343257e+01,-1.164123e+01,-1.263441e+01,-1.294671e+01
1.250000e+00,-8.144580e+00,-9.031526e+00,-1.095467e+01,-1.203680e+01,-1.294874e+01,-9.811028e+00,-1.162560e+01,-1.242208e+01
1.750000e+00,-5.839035e+00,-7.090148e+00,-9.517999e+00,-1.090892e+01,-1.214678e+01,-8.087011e+00,-1.041214e+01,-1.145650e+01
2.250000e+00,-3.648737e+00,-5.601847e+00,-8.170801e+00,-1.003132e+01,-1.145109e+01,-6.441275e+00,-9.578963e+00,-1.056819e+01
2.750000e+00,-4.997059e+00,-6.053839e+00,-7.942351e+00,-9.999822e+00,-1.151909e+01,-6.282756e+00,-9.479544e+00,-1.055861e+01
3.250000e+00,-5.013003e+00,-6.548480e+00,-9.054094e+00,-1.072489e+01,-1.228932e+01,-7.583591e+00,-1.018819e+01,-1.129324e+01
3.750000e+00,-6.662328e+00,-7.830651e+00,-1.036815e+01,-1.217763e+01,-1.346986e+01,-8.741010e+00,-1.173234e+01,-1.260886e+01
4.250000e+00,-8.389341e+00,-9.737326e+00,-1.207914e+01,-1.373578e+01,-1.468631e+01,-1.059472e+01,-1.329561e+01,-1.410822e+01
4.750000e+00,-9.713938e+00,-1.098852e+01,-1.341145e+01,-1.484417e+01,-1.557886e+01,-1.197873e+01,-1.443827e+01,-1.513457e+01
5.250000e+00,-1.062032e+01,-1.203072e+01,-1.459128e+01,-1.555798e+01,-1.613101e+01,-1.325113e+01,-1.522022e+01,-1.571577e+01
5.750000e+00,-1.134175e+01,-1.273952e+01,-1.539898e+01,-1.604256e+01,-1.652253e+01,-1.407716e+01,-1.575673e+01,-1.609695e+01
6.250000e+00,-1.177515e+01,-1.322655e+01,-1.592980e+01,-1.640969e+01,-1.684408e+01,-1.459782e+01,-1.615694e+01,-1.639505e+01
6.750000e+00,-1.220797e+01,-1.361842e+01,-1.629818e+01,-1.669583e+01,-1.712274e+01,-1.497399e+01,-1.645687e+01,-1.665312e+01
7.250000e+00,-1.261110e+01,-1.395169e+01,-1.658135e+01,-1.694036e+01,-1.736570e+01,-1.527184e+01,-1.671283e+01,-1.687479e+01
7.750000e+00,-1.296259e+01,-1.424227e+01,-1.680936e+01,-1.713918e+01,-1.757391e+01,-1.552082e+01,-1.691913e+01,-1.706099e+01
8.250000e+00,-1.323070e+01,-1.448035e+01,-1.699318e+01,-1.730615e+01,-1.775647e+01,-1.572773e+01,-1.709347e+01,-1.721409e+01
8.750000e+00,-1.343049e+01,-1.467827e+01,-1.715556e+01,-1.746102e+01,-1.790586e+01,-1.589792e+01,-1.725560e+01,-1.734795e+01
9.250000e+00,-1.357867e+01,-1.484858e+01,-1.729854e+01,-1.758873e+01,-1.803598e+01,-1.605791e+01,-1.739033e+01,-1.746011e+01
9.750000e+00,-1.374356e+01,-1.500226e+01,-1.741376e+01,-1.769663e+01,-1.815528e+01,-1.618945e+01,-1.750032e+01,-1.756554e+01
1.025000e+01,-1.386733e+01,-1.513952e+01,-1.751946e+01,-1.778913e+01,-1.825497e+01,-1.631153e+01,-1.760122e+01,-1.763960e+01
1.075000e+01,-1.395522e+01,-1.526084e+01,-1.761295e+01,-1.787197e+01,-1.834699e+01,-1.641964e+01,-1.768724e+01,-1.771586e+01
