Time,U,B,V,R,I,gs,rs,is
7.500000e-01,2.966682e-01,-4.680211e+00,-6.903652e+00,-6.502512e+00,-7.214169e+00,-6.370603e+00,-6.262532e+00,-6.284643e+00
1.250000e+00,1.581170e+00,-5.838124e+00,-7.188365e+00,-8.725826e+00,-9.920385e+00,-6.576740e+00,-8.351271e+00,-8.991505e+00
1.750000e+00,-4.471462e+00,-7.592882e+00,-9.337802e+00,-1.030612e+01,-1.120819e+01,-8.469839e+00,-1.001853e+01,-1.048286e+01
2.250000e+00,-7.214821e+00,-9.571141e+00,-1.087050e+01,-1.183580e+01,-1.263636e+01,-1.013378e+01,-1.155048e+01,-1.200311e+01
2.750000e+00,-9.384605e+00,-1.118081e+01,-1.219420e+01,-1.310748e+01,-1.368003e+01,-1.156860e+01,-1.288560e+01,-1.311924e+01
3.250000e+00,-1.187836e+01,-1.272503e+01,-1.358662e+01,-1.418685e+01,-1.454257e+01,-1.304147e+01,-1.401000e+01,-1.403710e+01
3.750000e+00,-1.356899e+01,-1.385553e+01,-1.456153e+01,-1.497373e+01,-1.524280e+01,-1.414254e+01,-1.479837e+01,-1.476617e+01
4.250000e+00,-1.468511e+01,-1.472082e+01,-1.527249e+01,-1.553563e+01,-1.576845e+01,-1.495204e+01,-1.536222e+01,-1.529332e+01
4.750000e+00,-1.542791e+01,-1.535209e+01,-1.581695e+01,-1.601387e+01,-1.619887e+01,-1.556171e+01,-1.586061e+01,-1.569029e+01
5.250000e+00,-1.599208e+01,-1.582185e+01,-1.622570e+01,-1.638630e+01,-1.656277e+01,-1.603227e+01,-1.624430e+01,-1.601588e+01
5.750000e+00,-1.642359e+01,-1.620054e+01,-1.653850e+01,-1.668734e+01,-1.689041e+01,-1.639689e+01,-1.654927e+01,-1.631922e+01
6.250000e+00,-1.675893e+01,-1.650597e+01,-1.679689e+01,-1.694518e+01,-1.719219e+01,-1.669284e+01,-1.680903e+01,-1.657742e+01
6.750000e+00,-1.704792e+01,-1.674888e+01,-1.701984e+01,-1.717345e+01,-1.743776e+01,-1.692608e+01,-1.703834e+01,-1.680070e+01
7.250000e+00,-1.728241e+01,-1.695904e+01,-1.720270e+01,-1.735931e+01,-1.766241e+01,-1.712481e+01,-1.722977e+01,-1.698488e+01
7.750000e+00,-1.746994e+01,-1.712654e+01,-1.735566e+01,-1.752292e+01,-1.782963e+01,-1.728736e+01,-1.739910e+01,-1.712914e+01
8.250000e+00,-1.762544e+01,-1.726675e+01,-1.748084e+01,-1.764749e+01,-1.797552e+01,-1.742289e+01,-1.752494e+01,-1.725211e+01
8.750000e+00,-1.774919e+01,-1.738851e+01,-1.759466e+01,-1.775731e+01,-1.809991e+01,-1.753868e+01,-1.763904e+01,-1.735476e+01
9.250000e+00,-1.785033e+01,-1.749288e+01,-1.768244e+01,-1.785253e+01,-1.819706e+01,-1.763870e+01,-1.773579e+01,-1.744067e+01
9.750000e+00,-1.793847e+01,-1.757992e+01,-1.776724e+01,-1.793686e+01,-1.827517e+01,-1.772438e+01,-1.782380e+01,-1.750915e+01
1.025000e+01,-1.800413e+01,-1.765423e+01,-1.783760e+01,-1.799988e+01,-1.834907e+01,-1.779817e+01,-1.788894e+01,-1.756993e+01
1.075000e+01,-1.805975e+01,-1.771835e+01,-1.790033e+01,-1.805462e+01,-1.841497e+01,-1.786089e+01,-1.794876e+01,-1.761064e+01
1.125000e+01,-1.810081e+01,-1.777743e+01,-1.796091e+01,-1.810434e+01,-1.847261e+01,-1.792212e+01,-1.799864e+01,-1.765557e+01
1.175000e+01,-1.814036e+01,-1.782425e+01,-1.800285e+01,-1.814736e+01,-1.850776e+01,-1.796646e+01,-1.804454e+01,-1.768295e+01
1.225000e+01,-1.816505e+01,-1.787174e+01,-1.804294e+01,-1.817996e+01,-1.854346e+01,-1.801615e+01,-1.807709e+01,-1.771551e+01
1.275000e+01,-1.818031e+01,-1.791080e+01,-1.808157e+01,-1.820493e+01,-1.857273e+01,-1.805520e+01,-1.810476e+01,-1.772714e+01
1.325000e+01,-1.818492e+01,-1.794423e+01,-1.811385e+01,-1.822752e+01,-1.858989e+01,-1.808910e+01,-1.813363e+01,-1.772322e+01
1.375000e+01,-1.817428e+01,-1.797767e+01,-1.814806e+01,-1.824993e+01,-1.860948e+01,-1.812432e+01,-1.815721e+01,-1.774176e+01
1.425000e+01,-1.815766e+01,-1.800758e+01,-1.817600e+01,-1.826436e+01,-1.862709e+01,-1.815494e+01,-1.817327e+01,-1.774838e+01
1.475000e+01,-1.813111e+01,-1.803306e+01,-1.820119e+01,-1.828010e+01,-1.863894e+01,-1.818167e+01,-1.819178e+01,-1.774707e+01
1.525000e+01,-1.808488e+01,-1.805291e+01,-1.822660e+01,-1.829039e+01,-1.864977e+01,-1.820453e+01,-1.820619e+01,-1.773737e+01
1.575000e+01,-1.803001e+01,-1.807408e+01,-1.824570e+01,-1.830083e+01,-1.865529e+01,-1.822915e+01,-1.822133e+01,-1.772295e+01
1.625000e+01,-1.797459e+01,-1.808985e+01,-1.826827e+01,-1.830385e+01,-1.865966e+01,-1.825026e+01,-1.822815e+01,-1.771240e+01
1.675000e+01,-1.791783e+01,-1.809948e+01,-1.828597e+01,-1.830802e+01,-1.866001e+01,-1.826226e+01,-1.823548e+01,-1.769855e+01
1.725000e+01,-1.784704e+01,-1.810605e+01,-1.830591e+01,-1.830841e+01,-1.865465e+01,-1.827583e+01,-1.823984e+01,-1.767612e+01
1.775000e+01,-1.777257e+01,-1.810639e+01,-1.832116e+01,-1.830674e+01,-1.864433e+01,-1.828520e+01,-1.824560e+01,-1.763610e+01
1.825000e+01,-1.770076e+01,-1.810187e+01,-1.833249e+01,-1.830579e+01,-1.864451e+01,-1.828727e+01,-1.824704e+01,-1.762054e+01
1.875000e+01,-1.762690e+01,-1.809394e+01,-1.833860e+01,-1.830288e+01,-1.863995e+01,-1.828507e+01,-1.824633e+01,-1.760634e+01
1.925000e+01,-1.753456e+01,-1.807906e+01,-1.834938e+01,-1.829622e+01,-1.861952e+01,-1.828015e+01,-1.824442e+01,-1.757138e+01
1.975000e+01,-1.745212e+01,-1.806126e+01,-1.835106e+01,-1.829116e+01,-1.860369e+01,-1.827122e+01,-1.824226e+01,-1.754204e+01
2.025000e+01,-1.735329e+01,-1.803556e+01,-1.835381e+01,-1.828343e+01,-1.858720e+01,-1.825799e+01,-1.823923e+01,-1.750775e+01
2.075000e+01,-1.725513e+01,-1.800332e+01,-1.835427e+01,-1.827474e+01,-1.856907e+01,-1.824048e+01,-1.823465e+01,-1.747487e+01
