Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.599168e+01,-1.542711e+01,-1.543446e+01,-1.543819e+01,-1.520359e+01,-1.552462e+01,-1.530654e+01,-1.500992e+01
1.250000e+00,-1.646620e+01,-1.612351e+01,-1.618439e+01,-1.619951e+01,-1.598132e+01,-1.626137e+01,-1.607182e+01,-1.575795e+01
1.750000e+00,-1.642455e+01,-1.632663e+01,-1.655586e+01,-1.656474e+01,-1.648097e+01,-1.654833e+01,-1.642633e+01,-1.617324e+01
2.250000e+00,-1.600362e+01,-1.621555e+01,-1.676249e+01,-1.677420e+01,-1.672951e+01,-1.658640e+01,-1.663752e+01,-1.636811e+01
2.750000e+00,-1.533009e+01,-1.574332e+01,-1.678466e+01,-1.689762e+01,-1.690590e+01,-1.629552e+01,-1.676151e+01,-1.645741e+01
3.250000e+00,-1.481082e+01,-1.518396e+01,-1.661126e+01,-1.697198e+01,-1.704226e+01,-1.585452e+01,-1.681001e+01,-1.660414e+01
3.750000e+00,-1.427537e+01,-1.463525e+01,-1.627553e+01,-1.692900e+01,-1.717159e+01,-1.536163e+01,-1.672043e+01,-1.673246e+01
4.250000e+00,-1.391401e+01,-1.431766e+01,-1.597867e+01,-1.682692e+01,-1.724603e+01,-1.503817e+01,-1.653964e+01,-1.686446e+01
4.750000e+00,-1.374928e+01,-1.418930e+01,-1.586666e+01,-1.677474e+01,-1.732642e+01,-1.492435e+01,-1.642764e+01,-1.696786e+01
5.250000e+00,-1.360316e+01,-1.415780e+01,-1.594591e+01,-1.685906e+01,-1.744698e+01,-1.495559e+01,-1.649666e+01,-1.708849e+01
5.750000e+00,-1.369418e+01,-1.432432e+01,-1.617438e+01,-1.705154e+01,-1.761988e+01,-1.516052e+01,-1.669897e+01,-1.725252e+01
6.250000e+00,-1.389537e+01,-1.456225e+01,-1.645805e+01,-1.728542e+01,-1.780948e+01,-1.542933e+01,-1.695348e+01,-1.743168e+01
6.750000e+00,-1.408985e+01,-1.481557e+01,-1.676276e+01,-1.752905e+01,-1.799784e+01,-1.572184e+01,-1.723121e+01,-1.759191e+01
7.250000e+00,-1.429045e+01,-1.503595e+01,-1.704433e+01,-1.774516e+01,-1.816069e+01,-1.598460e+01,-1.747576e+01,-1.773240e+01
7.750000e+00,-1.446834e+01,-1.524428e+01,-1.730034e+01,-1.794227e+01,-1.830565e+01,-1.622417e+01,-1.769976e+01,-1.784998e+01
8.250000e+00,-1.462795e+01,-1.544167e+01,-1.751841e+01,-1.810918e+01,-1.843697e+01,-1.643852e+01,-1.788555e+01,-1.795936e+01
8.750000e+00,-1.476636e+01,-1.560099e+01,-1.770826e+01,-1.825343e+01,-1.855765e+01,-1.662129e+01,-1.804621e+01,-1.805067e+01
9.250000e+00,-1.489639e+01,-1.575672e+01,-1.787691e+01,-1.837947e+01,-1.866353e+01,-1.678656e+01,-1.818658e+01,-1.813253e+01
9.750000e+00,-1.498386e+01,-1.586918e+01,-1.801265e+01,-1.849302e+01,-1.875794e+01,-1.690939e+01,-1.831207e+01,-1.820912e+01
1.025000e+01,-1.502955e+01,-1.595160e+01,-1.811279e+01,-1.858503e+01,-1.884246e+01,-1.699708e+01,-1.840984e+01,-1.827712e+01
1.075000e+01,-1.503957e+01,-1.600723e+01,-1.820198e+01,-1.866246e+01,-1.891957e+01,-1.706937e+01,-1.849241e+01,-1.833616e+01
1.125000e+01,-1.504468e+01,-1.606076e+01,-1.827862e+01,-1.873168e+01,-1.898839e+01,-1.713355e+01,-1.856750e+01,-1.838627e+01
1.175000e+01,-1.504723e+01,-1.609663e+01,-1.834005e+01,-1.878515e+01,-1.904838e+01,-1.718249e+01,-1.862331e+01,-1.843481e+01
1.225000e+01,-1.505538e+01,-1.612028e+01,-1.839486e+01,-1.883629e+01,-1.910756e+01,-1.722072e+01,-1.867623e+01,-1.847897e+01
1.275000e+01,-1.503581e+01,-1.613248e+01,-1.843354e+01,-1.887811e+01,-1.915164e+01,-1.724428e+01,-1.871954e+01,-1.851570e+01
1.325000e+01,-1.499430e+01,-1.613953e+01,-1.847085e+01,-1.891661e+01,-1.919901e+01,-1.726260e+01,-1.875822e+01,-1.855376e+01
1.375000e+01,-1.497844e+01,-1.614380e+01,-1.849652e+01,-1.894454e+01,-1.923590e+01,-1.727394e+01,-1.878437e+01,-1.859076e+01
1.425000e+01,-1.490815e+01,-1.613436e+01,-1.852016e+01,-1.897016e+01,-1.926967e+01,-1.728058e+01,-1.880938e+01,-1.861808e+01
1.475000e+01,-1.485072e+01,-1.612419e+01,-1.853599e+01,-1.898848e+01,-1.929938e+01,-1.728078e+01,-1.882553e+01,-1.864425e+01
1.525000e+01,-1.479894e+01,-1.610812e+01,-1.854743e+01,-1.900071e+01,-1.932685e+01,-1.727582e+01,-1.883512e+01,-1.866779e+01
1.575000e+01,-1.473844e+01,-1.608126e+01,-1.855448e+01,-1.901123e+01,-1.935034e+01,-1.726425e+01,-1.884382e+01,-1.868754e+01
1.625000e+01,-1.466710e+01,-1.606212e+01,-1.856138e+01,-1.902071e+01,-1.936997e+01,-1.725411e+01,-1.885116e+01,-1.870595e+01
1.675000e+01,-1.459804e+01,-1.604360e+01,-1.856491e+01,-1.902867e+01,-1.938305e+01,-1.724230e+01,-1.885701e+01,-1.871941e+01
1.725000e+01,-1.454486e+01,-1.602195e+01,-1.856735e+01,-1.903457e+01,-1.939808e+01,-1.722774e+01,-1.886037e+01,-1.873701e+01
1.775000e+01,-1.446882e+01,-1.599434e+01,-1.856555e+01,-1.903564e+01,-1.941262e+01,-1.720862e+01,-1.885769e+01,-1.874931e+01
1.825000e+01,-1.440192e+01,-1.596274e+01,-1.855856e+01,-1.903241e+01,-1.942234e+01,-1.718446e+01,-1.885016e+01,-1.876085e+01
1.875000e+01,-1.435023e+01,-1.593593e+01,-1.855171e+01,-1.902686e+01,-1.942897e+01,-1.716425e+01,-1.884235e+01,-1.876443e+01
