Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.709397e+01,-1.596937e+01,-1.574862e+01,-1.538121e+01,-1.478884e+01,-1.599458e+01,-1.533619e+01,-1.454277e+01
1.250000e+00,-1.665011e+01,-1.606315e+01,-1.605090e+01,-1.599534e+01,-1.578863e+01,-1.614113e+01,-1.588188e+01,-1.551995e+01
1.750000e+00,-1.490646e+01,-1.500586e+01,-1.568539e+01,-1.580848e+01,-1.596001e+01,-1.536726e+01,-1.563412e+01,-1.557173e+01
2.250000e+00,-1.238702e+01,-1.271835e+01,-1.414787e+01,-1.504792e+01,-1.559617e+01,-1.329662e+01,-1.476730e+01,-1.517650e+01
2.750000e+00,-1.148104e+01,-1.212930e+01,-1.388932e+01,-1.488110e+01,-1.556529e+01,-1.290360e+01,-1.453328e+01,-1.514778e+01
3.250000e+00,-1.150401e+01,-1.242405e+01,-1.433154e+01,-1.535667e+01,-1.596940e+01,-1.325500e+01,-1.503154e+01,-1.556477e+01
3.750000e+00,-1.189480e+01,-1.293455e+01,-1.492228e+01,-1.591886e+01,-1.645540e+01,-1.380070e+01,-1.562136e+01,-1.604622e+01
4.250000e+00,-1.259318e+01,-1.354507e+01,-1.550185e+01,-1.642228e+01,-1.693333e+01,-1.441151e+01,-1.614068e+01,-1.650637e+01
4.750000e+00,-1.320041e+01,-1.412076e+01,-1.606155e+01,-1.689472e+01,-1.732988e+01,-1.498716e+01,-1.664619e+01,-1.687951e+01
5.250000e+00,-1.377124e+01,-1.470062e+01,-1.656262e+01,-1.730927e+01,-1.767255e+01,-1.553386e+01,-1.709138e+01,-1.719973e+01
5.750000e+00,-1.441367e+01,-1.524222e+01,-1.702992e+01,-1.767292e+01,-1.795567e+01,-1.604852e+01,-1.749226e+01,-1.744372e+01
6.250000e+00,-1.497409e+01,-1.577419e+01,-1.744163e+01,-1.797790e+01,-1.818288e+01,-1.653475e+01,-1.782594e+01,-1.764042e+01
6.750000e+00,-1.538959e+01,-1.621624e+01,-1.776082e+01,-1.821627e+01,-1.836412e+01,-1.693197e+01,-1.808658e+01,-1.779345e+01
7.250000e+00,-1.575491e+01,-1.658300e+01,-1.801708e+01,-1.839318e+01,-1.850899e+01,-1.726435e+01,-1.828013e+01,-1.790874e+01
7.750000e+00,-1.605878e+01,-1.689778e+01,-1.823581e+01,-1.853743e+01,-1.862536e+01,-1.754963e+01,-1.843882e+01,-1.800143e+01
8.250000e+00,-1.630016e+01,-1.714626e+01,-1.841064e+01,-1.865554e+01,-1.872086e+01,-1.777633e+01,-1.856944e+01,-1.807145e+01
8.750000e+00,-1.645980e+01,-1.733709e+01,-1.855399e+01,-1.875906e+01,-1.881663e+01,-1.795267e+01,-1.868239e+01,-1.814002e+01
9.250000e+00,-1.657832e+01,-1.747611e+01,-1.866405e+01,-1.884721e+01,-1.888575e+01,-1.808466e+01,-1.877833e+01,-1.819419e+01
9.750000e+00,-1.668428e+01,-1.758947e+01,-1.876242e+01,-1.892500e+01,-1.895521e+01,-1.819806e+01,-1.886208e+01,-1.824673e+01
1.025000e+01,-1.676979e+01,-1.769134e+01,-1.885031e+01,-1.898989e+01,-1.903113e+01,-1.829798e+01,-1.893192e+01,-1.830297e+01
1.075000e+01,-1.680940e+01,-1.775777e+01,-1.892297e+01,-1.905122e+01,-1.910478e+01,-1.837323e+01,-1.899719e+01,-1.834925e+01
1.125000e+01,-1.682399e+01,-1.780867e+01,-1.898612e+01,-1.909949e+01,-1.916980e+01,-1.843154e+01,-1.904854e+01,-1.838696e+01
1.175000e+01,-1.684718e+01,-1.784723e+01,-1.904062e+01,-1.914399e+01,-1.922267e+01,-1.847911e+01,-1.909464e+01,-1.842707e+01
1.225000e+01,-1.685455e+01,-1.788426e+01,-1.909249e+01,-1.918391e+01,-1.928183e+01,-1.852598e+01,-1.913909e+01,-1.845814e+01
1.275000e+01,-1.683981e+01,-1.790589e+01,-1.913665e+01,-1.921817e+01,-1.933629e+01,-1.855763e+01,-1.917793e+01,-1.848228e+01
1.325000e+01,-1.682299e+01,-1.792032e+01,-1.917947e+01,-1.924802e+01,-1.939067e+01,-1.858600e+01,-1.921037e+01,-1.850762e+01
1.375000e+01,-1.679605e+01,-1.792520e+01,-1.921417e+01,-1.926932e+01,-1.943266e+01,-1.860697e+01,-1.923392e+01,-1.852474e+01
1.425000e+01,-1.676616e+01,-1.792808e+01,-1.924335e+01,-1.928786e+01,-1.947579e+01,-1.862280e+01,-1.925450e+01,-1.854330e+01
1.475000e+01,-1.674246e+01,-1.792628e+01,-1.926726e+01,-1.930250e+01,-1.952177e+01,-1.863259e+01,-1.927100e+01,-1.856249e+01
1.525000e+01,-1.671101e+01,-1.792460e+01,-1.929131e+01,-1.931570e+01,-1.956690e+01,-1.864360e+01,-1.928654e+01,-1.857481e+01
1.575000e+01,-1.666070e+01,-1.791798e+01,-1.931144e+01,-1.932647e+01,-1.960477e+01,-1.864988e+01,-1.929876e+01,-1.858662e+01
1.625000e+01,-1.662612e+01,-1.790751e+01,-1.932784e+01,-1.933266e+01,-1.964045e+01,-1.865228e+01,-1.930551e+01,-1.859559e+01
1.675000e+01,-1.658619e+01,-1.789631e+01,-1.933997e+01,-1.933575e+01,-1.967445e+01,-1.865127e+01,-1.930806e+01,-1.860902e+01
1.725000e+01,-1.654359e+01,-1.788657e+01,-1.934972e+01,-1.933818e+01,-1.970258e+01,-1.865133e+01,-1.931016e+01,-1.861547e+01
1.775000e+01,-1.651141e+01,-1.787449e+01,-1.935925e+01,-1.933443e+01,-1.972630e+01,-1.865196e+01,-1.930609e+01,-1.861788e+01
1.825000e+01,-1.646263e+01,-1.786500e+01,-1.936049e+01,-1.932706e+01,-1.974430e+01,-1.864992e+01,-1.929695e+01,-1.861808e+01
1.875000e+01,-1.642417e+01,-1.786117e+01,-1.935979e+01,-1.931597e+01,-1.975990e+01,-1.865106e+01,-1.928524e+01,-1.861373e+01
1.925000e+01,-1.639908e+01,-1.786041e+01,-1.936287e+01,-1.929857e+01,-1.977228e+01,-1.865652e+01,-1.926745e+01,-1.860413e+01
1.975000e+01,-1.637265e+01,-1.786032e+01,-1.936456e+01,-1.928148e+01,-1.978040e+01,-1.865982e+01,-1.924790e+01,-1.860243e+01
2.025000e+01,-1.634121e+01,-1.785894e+01,-1.936194e+01,-1.925822e+01,-1.978562e+01,-1.865975e+01,-1.922294e+01,-1.859399e+01
2.075000e+01,-1.630300e+01,-1.786109e+01,-1.935885e+01,-1.923396e+01,-1.978537e+01,-1.866178e+01,-1.919906e+01,-1.857897e+01
