Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-8.784843e+00,-9.992508e+00,-1.129550e+01,-1.188797e+01,-1.244134e+01,-1.052884e+01,-1.159828e+01,-1.199513e+01
1.250000e+00,-1.074939e+01,-1.192150e+01,-1.340681e+01,-1.369857e+01,-1.378741e+01,-1.262051e+01,-1.352515e+01,-1.343032e+01
1.750000e+00,-1.302847e+01,-1.378277e+01,-1.486601e+01,-1.497837e+01,-1.496012e+01,-1.437653e+01,-1.483309e+01,-1.457847e+01
2.250000e+00,-1.480110e+01,-1.509180e+01,-1.573230e+01,-1.584304e+01,-1.592017e+01,-1.547547e+01,-1.571332e+01,-1.541469e+01
2.750000e+00,-1.618783e+01,-1.615080e+01,-1.642100e+01,-1.655777e+01,-1.670411e+01,-1.634508e+01,-1.644624e+01,-1.610582e+01
3.250000e+00,-1.719157e+01,-1.680374e+01,-1.692502e+01,-1.707926e+01,-1.727568e+01,-1.689384e+01,-1.697084e+01,-1.665333e+01
3.750000e+00,-1.785199e+01,-1.723968e+01,-1.728139e+01,-1.742986e+01,-1.761856e+01,-1.728290e+01,-1.732878e+01,-1.698472e+01
4.250000e+00,-1.828312e+01,-1.757195e+01,-1.756852e+01,-1.768145e+01,-1.788896e+01,-1.759379e+01,-1.758035e+01,-1.724797e+01
4.750000e+00,-1.859135e+01,-1.783835e+01,-1.781685e+01,-1.789006e+01,-1.809084e+01,-1.785087e+01,-1.779049e+01,-1.746551e+01
5.250000e+00,-1.883899e+01,-1.806874e+01,-1.802128e+01,-1.807191e+01,-1.824290e+01,-1.807147e+01,-1.797745e+01,-1.762825e+01
5.750000e+00,-1.903561e+01,-1.826138e+01,-1.819144e+01,-1.822581e+01,-1.836805e+01,-1.825906e+01,-1.813319e+01,-1.777804e+01
6.250000e+00,-1.920818e+01,-1.842218e+01,-1.832916e+01,-1.833302e+01,-1.848633e+01,-1.840761e+01,-1.824722e+01,-1.787848e+01
6.750000e+00,-1.933798e+01,-1.856839e+01,-1.845867e+01,-1.844239e+01,-1.859614e+01,-1.855263e+01,-1.836030e+01,-1.797315e+01
7.250000e+00,-1.945127e+01,-1.869659e+01,-1.857645e+01,-1.853370e+01,-1.868725e+01,-1.868484e+01,-1.845629e+01,-1.805311e+01
7.750000e+00,-1.955575e+01,-1.880263e+01,-1.868553e+01,-1.861595e+01,-1.876775e+01,-1.878853e+01,-1.854242e+01,-1.811589e+01
8.250000e+00,-1.963725e+01,-1.890924e+01,-1.877283e+01,-1.868784e+01,-1.883390e+01,-1.889265e+01,-1.862502e+01,-1.814492e+01
8.750000e+00,-1.970917e+01,-1.899982e+01,-1.885617e+01,-1.875630e+01,-1.889249e+01,-1.898266e+01,-1.870379e+01,-1.816890e+01
9.250000e+00,-1.977292e+01,-1.908095e+01,-1.893175e+01,-1.880638e+01,-1.894866e+01,-1.906511e+01,-1.876393e+01,-1.818449e+01
9.750000e+00,-1.982334e+01,-1.915103e+01,-1.899630e+01,-1.885839e+01,-1.900559e+01,-1.913507e+01,-1.882255e+01,-1.819877e+01
1.025000e+01,-1.986168e+01,-1.921492e+01,-1.906523e+01,-1.890617e+01,-1.905956e+01,-1.920068e+01,-1.888091e+01,-1.820313e+01
1.075000e+01,-1.989402e+01,-1.927400e+01,-1.912461e+01,-1.896074e+01,-1.910321e+01,-1.926215e+01,-1.894052e+01,-1.820599e+01
1.125000e+01,-1.991875e+01,-1.932822e+01,-1.918440e+01,-1.900410e+01,-1.915571e+01,-1.932113e+01,-1.899173e+01,-1.821309e+01
1.175000e+01,-1.993680e+01,-1.937465e+01,-1.923140e+01,-1.903863e+01,-1.921363e+01,-1.936859e+01,-1.903111e+01,-1.822602e+01
1.225000e+01,-1.994020e+01,-1.941683e+01,-1.927802e+01,-1.907646e+01,-1.927555e+01,-1.941290e+01,-1.907489e+01,-1.824369e+01
