Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.102200e+01,-1.109046e+01,-1.318373e+01,-1.325867e+01,-1.369381e+01,-1.206993e+01,-1.303080e+01,-1.321680e+01
1.250000e+00,-1.214604e+01,-1.247524e+01,-1.454972e+01,-1.451042e+01,-1.475170e+01,-1.345473e+01,-1.427613e+01,-1.445604e+01
1.750000e+00,-1.374585e+01,-1.391139e+01,-1.564803e+01,-1.555364e+01,-1.574885e+01,-1.473104e+01,-1.540604e+01,-1.527707e+01
2.250000e+00,-1.536411e+01,-1.550285e+01,-1.641181e+01,-1.626308e+01,-1.646990e+01,-1.599827e+01,-1.612921e+01,-1.592722e+01
2.750000e+00,-1.664387e+01,-1.652801e+01,-1.689516e+01,-1.671797e+01,-1.703229e+01,-1.683379e+01,-1.659323e+01,-1.638264e+01
3.250000e+00,-1.754710e+01,-1.721124e+01,-1.722079e+01,-1.706186e+01,-1.743777e+01,-1.735325e+01,-1.693524e+01,-1.674049e+01
3.750000e+00,-1.820759e+01,-1.767125e+01,-1.749732e+01,-1.739020e+01,-1.779784e+01,-1.770573e+01,-1.725798e+01,-1.709454e+01
4.250000e+00,-1.866210e+01,-1.798704e+01,-1.774551e+01,-1.760962e+01,-1.800202e+01,-1.798166e+01,-1.747857e+01,-1.730643e+01
4.750000e+00,-1.898173e+01,-1.823323e+01,-1.793581e+01,-1.780830e+01,-1.816807e+01,-1.820489e+01,-1.767068e+01,-1.752473e+01
5.250000e+00,-1.923608e+01,-1.845144e+01,-1.809990e+01,-1.796368e+01,-1.831095e+01,-1.839826e+01,-1.783198e+01,-1.766360e+01
5.750000e+00,-1.942678e+01,-1.862726e+01,-1.825061e+01,-1.808548e+01,-1.844350e+01,-1.857423e+01,-1.795165e+01,-1.781593e+01
6.250000e+00,-1.959603e+01,-1.878956e+01,-1.840072e+01,-1.819910e+01,-1.854553e+01,-1.872512e+01,-1.806260e+01,-1.793711e+01
6.750000e+00,-1.973870e+01,-1.892906e+01,-1.852335e+01,-1.829239e+01,-1.861300e+01,-1.886091e+01,-1.817235e+01,-1.798911e+01
7.250000e+00,-1.986600e+01,-1.906294e+01,-1.865727e+01,-1.837705e+01,-1.866923e+01,-1.899599e+01,-1.827157e+01,-1.802541e+01
7.750000e+00,-1.997258e+01,-1.917846e+01,-1.877391e+01,-1.846633e+01,-1.871220e+01,-1.910512e+01,-1.838004e+01,-1.804738e+01
8.250000e+00,-2.007437e+01,-1.927898e+01,-1.887233e+01,-1.854036e+01,-1.872746e+01,-1.920501e+01,-1.847056e+01,-1.803935e+01
8.750000e+00,-2.016046e+01,-1.937102e+01,-1.897415e+01,-1.858983e+01,-1.874110e+01,-1.929387e+01,-1.853661e+01,-1.802896e+01
9.250000e+00,-2.023263e+01,-1.945383e+01,-1.906493e+01,-1.864504e+01,-1.874899e+01,-1.937552e+01,-1.860542e+01,-1.800936e+01
