Time,U,B,V,R,I,gs,rs,is
7.500000e-01,-1.731811e+01,-1.601812e+01,-1.575498e+01,-1.510858e+01,-1.456415e+01,-1.602961e+01,-1.508121e+01,-1.426088e+01
1.250000e+00,-1.786379e+01,-1.673186e+01,-1.662064e+01,-1.608709e+01,-1.524774e+01,-1.677441e+01,-1.607191e+01,-1.500263e+01
1.750000e+00,-1.785031e+01,-1.701084e+01,-1.693883e+01,-1.671208e+01,-1.624194e+01,-1.705066e+01,-1.664242e+01,-1.599634e+01
2.250000e+00,-1.776023e+01,-1.721804e+01,-1.712950e+01,-1.704746e+01,-1.687607e+01,-1.727428e+01,-1.694185e+01,-1.654611e+01
2.750000e+00,-1.780803e+01,-1.750725e+01,-1.745627e+01,-1.735181e+01,-1.724876e+01,-1.757882e+01,-1.723080e+01,-1.694062e+01
3.250000e+00,-1.805802e+01,-1.784983e+01,-1.773317e+01,-1.761842e+01,-1.757750e+01,-1.791647e+01,-1.749350e+01,-1.726186e+01
3.750000e+00,-1.840616e+01,-1.814985e+01,-1.798440e+01,-1.782367e+01,-1.784029e+01,-1.820450e+01,-1.769191e+01,-1.751658e+01
4.250000e+00,-1.873914e+01,-1.841228e+01,-1.819467e+01,-1.800827e+01,-1.802100e+01,-1.844510e+01,-1.788321e+01,-1.768487e+01
4.750000e+00,-1.904918e+01,-1.863656e+01,-1.834727e+01,-1.813225e+01,-1.817487e+01,-1.864594e+01,-1.800797e+01,-1.782898e+01
5.250000e+00,-1.933025e+01,-1.882521e+01,-1.850116e+01,-1.826032e+01,-1.824007e+01,-1.882019e+01,-1.815296e+01,-1.788889e+01
5.750000e+00,-1.955920e+01,-1.898550e+01,-1.863732e+01,-1.834303e+01,-1.828240e+01,-1.897081e+01,-1.824578e+01,-1.793540e+01
6.250000e+00,-1.976335e+01,-1.912045e+01,-1.874199e+01,-1.842628e+01,-1.829681e+01,-1.908928e+01,-1.835091e+01,-1.791974e+01
6.750000e+00,-1.994113e+01,-1.923660e+01,-1.883871e+01,-1.849061e+01,-1.828441e+01,-1.920051e+01,-1.843221e+01,-1.791030e+01
7.250000e+00,-2.009956e+01,-1.934277e+01,-1.894846e+01,-1.854986e+01,-1.828537e+01,-1.930657e+01,-1.850183e+01,-1.790877e+01
7.750000e+00,-2.022404e+01,-1.942805e+01,-1.905071e+01,-1.859571e+01,-1.823477e+01,-1.939451e+01,-1.856454e+01,-1.786101e+01
8.250000e+00,-2.033423e+01,-1.950270e+01,-1.914620e+01,-1.866050e+01,-1.817911e+01,-1.946777e+01,-1.864422e+01,-1.780946e+01
8.750000e+00,-2.042173e+01,-1.956965e+01,-1.922863e+01,-1.872481e+01,-1.815259e+01,-1.953301e+01,-1.872131e+01,-1.777980e+01
9.250000e+00,-2.049446e+01,-1.963427e+01,-1.931129e+01,-1.877132e+01,-1.811136e+01,-1.959658e+01,-1.878277e+01,-1.772269e+01
9.750000e+00,-2.054227e+01,-1.969068e+01,-1.939003e+01,-1.882745e+01,-1.806580e+01,-1.966144e+01,-1.885142e+01,-1.765463e+01
1.025000e+01,-2.057904e+01,-1.974278e+01,-1.946981e+01,-1.887340e+01,-1.803140e+01,-1.972032e+01,-1.890582e+01,-1.761050e+01
1.075000e+01,-2.059970e+01,-1.978773e+01,-1.953190e+01,-1.891655e+01,-1.801882e+01,-1.976965e+01,-1.895730e+01,-1.758438e+01
1.125000e+01,-2.061053e+01,-1.983102e+01,-1.959430e+01,-1.896445e+01,-1.801369e+01,-1.981940e+01,-1.901342e+01,-1.753141e+01
1.175000e+01,-2.059556e+01,-1.986695e+01,-1.965384e+01,-1.901031e+01,-1.800642e+01,-1.986407e+01,-1.906552e+01,-1.749079e+01
1.225000e+01,-2.056968e+01,-1.989786e+01,-1.971265e+01,-1.905846e+01,-1.803402e+01,-1.990617e+01,-1.911753e+01,-1.747676e+01
1.275000e+01,-2.053767e+01,-1.993009e+01,-1.975973e+01,-1.910804e+01,-1.806582e+01,-1.994846e+01,-1.916842e+01,-1.747796e+01
1.325000e+01,-2.048299e+01,-1.995736e+01,-1.981465e+01,-1.915994e+01,-1.811826e+01,-1.999218e+01,-1.922427e+01,-1.748128e+01
1.375000e+01,-2.041348e+01,-1.997607e+01,-1.986564e+01,-1.921240e+01,-1.819662e+01,-2.002988e+01,-1.927782e+01,-1.751516e+01
1.425000e+01,-2.032503e+01,-1.998648e+01,-1.991105e+01,-1.925704e+01,-1.826811e+01,-2.006332e+01,-1.932395e+01,-1.753960e+01
1.475000e+01,-2.022132e+01,-1.998661e+01,-1.995484e+01,-1.929343e+01,-1.834281e+01,-2.009060e+01,-1.935946e+01,-1.758696e+01
1.525000e+01,-2.010096e+01,-1.997756e+01,-1.999850e+01,-1.933607e+01,-1.842154e+01,-2.011135e+01,-1.940096e+01,-1.763758e+01
1.575000e+01,-1.996685e+01,-1.995387e+01,-2.004164e+01,-1.937732e+01,-1.849976e+01,-2.012369e+01,-1.944283e+01,-1.767476e+01
1.625000e+01,-1.983354e+01,-1.992278e+01,-2.008120e+01,-1.942074e+01,-1.856995e+01,-2.013091e+01,-1.948724e+01,-1.770754e+01
1.675000e+01,-1.969394e+01,-1.988320e+01,-2.012132e+01,-1.946230e+01,-1.865094e+01,-2.013369e+01,-1.952803e+01,-1.776237e+01
1.725000e+01,-1.954576e+01,-1.983351e+01,-2.015474e+01,-1.949539e+01,-1.873386e+01,-2.013097e+01,-1.956027e+01,-1.781758e+01
1.775000e+01,-1.939125e+01,-1.977079e+01,-2.018057e+01,-1.952679e+01,-1.882492e+01,-2.011615e+01,-1.958950e+01,-1.788443e+01
1.825000e+01,-1.924430e+01,-1.970676e+01,-2.020844e+01,-1.955269e+01,-1.891959e+01,-2.009987e+01,-1.961363e+01,-1.795447e+01
1.875000e+01,-1.910397e+01,-1.964543e+01,-2.023109e+01,-1.957797e+01,-1.901201e+01,-2.008335e+01,-1.963708e+01,-1.801868e+01
1.925000e+01,-1.894430e+01,-1.957393e+01,-2.025065e+01,-1.960563e+01,-1.908901e+01,-2.005862e+01,-1.966238e+01,-1.807966e+01
1.975000e+01,-1.880184e+01,-1.950601e+01,-2.026529e+01,-1.963042e+01,-1.916674e+01,-2.003213e+01,-1.968498e+01,-1.814498e+01
2.025000e+01,-1.866235e+01,-1.943756e+01,-2.027291e+01,-1.964790e+01,-1.923921e+01,-2.000084e+01,-1.970085e+01,-1.818802e+01
2.075000e+01,-1.853564e+01,-1.937261e+01,-2.027959e+01,-1.966874e+01,-1.931067e+01,-1.996875e+01,-1.971901e+01,-1.824699e+01
