Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.237553e+01	-1.262434e+01	-1.253850e+01	-1.262250e+01	-1.297814e+01	-1.269303e+01	-1.249106e+01	-1.227913e+01
1.500000e+00	-1.456001e+01	-1.464441e+01	-1.462311e+01	-1.452971e+01	-1.480296e+01	-1.474167e+01	-1.442905e+01	-1.414542e+01
2.500000e+00	-1.603699e+01	-1.573241e+01	-1.564346e+01	-1.545077e+01	-1.559357e+01	-1.579582e+01	-1.537114e+01	-1.502149e+01
3.500000e+00	-1.703747e+01	-1.640821e+01	-1.629149e+01	-1.607502e+01	-1.612077e+01	-1.644151e+01	-1.600475e+01	-1.559958e+01
4.500000e+00	-1.760794e+01	-1.687064e+01	-1.673686e+01	-1.650548e+01	-1.648399e+01	-1.689688e+01	-1.643813e+01	-1.600935e+01
5.500000e+00	-1.799885e+01	-1.721571e+01	-1.708588e+01	-1.684643e+01	-1.681043e+01	-1.724459e+01	-1.677969e+01	-1.632962e+01
6.500000e+00	-1.827261e+01	-1.748979e+01	-1.735941e+01	-1.713471e+01	-1.706017e+01	-1.752140e+01	-1.707394e+01	-1.657190e+01
7.500000e+00	-1.846184e+01	-1.771341e+01	-1.758304e+01	-1.735702e+01	-1.730577e+01	-1.774920e+01	-1.728979e+01	-1.682404e+01
8.500000e+00	-1.858270e+01	-1.788642e+01	-1.778989e+01	-1.756565e+01	-1.749704e+01	-1.792598e+01	-1.750446e+01	-1.699710e+01
9.500000e+00	-1.868203e+01	-1.804780e+01	-1.793550e+01	-1.773519e+01	-1.769320e+01	-1.808205e+01	-1.767299e+01	-1.718204e+01
1.050000e+01	-1.873925e+01	-1.817572e+01	-1.805876e+01	-1.787517e+01	-1.783908e+01	-1.820994e+01	-1.781151e+01	-1.731102e+01
1.150000e+01	-1.875321e+01	-1.828867e+01	-1.817729e+01	-1.800879e+01	-1.800240e+01	-1.833132e+01	-1.793947e+01	-1.747508e+01
1.250000e+01	-1.874939e+01	-1.838221e+01	-1.828745e+01	-1.812669e+01	-1.815916e+01	-1.843130e+01	-1.805028e+01	-1.761625e+01
1.350000e+01	-1.871676e+01	-1.845704e+01	-1.837199e+01	-1.823767e+01	-1.829713e+01	-1.851352e+01	-1.815431e+01	-1.774227e+01
1.450000e+01	-1.866993e+01	-1.852248e+01	-1.846585e+01	-1.832919e+01	-1.840868e+01	-1.859507e+01	-1.824075e+01	-1.784370e+01
1.550000e+01	-1.860178e+01	-1.856103e+01	-1.853791e+01	-1.841696e+01	-1.853973e+01	-1.865323e+01	-1.832043e+01	-1.796191e+01
1.650000e+01	-1.852719e+01	-1.859732e+01	-1.860347e+01	-1.848982e+01	-1.866344e+01	-1.870233e+01	-1.838853e+01	-1.805422e+01
1.750000e+01	-1.845848e+01	-1.862772e+01	-1.866403e+01	-1.856250e+01	-1.876386e+01	-1.874267e+01	-1.845852e+01	-1.813551e+01
1.850000e+01	-1.837744e+01	-1.861972e+01	-1.870647e+01	-1.862847e+01	-1.886436e+01	-1.874844e+01	-1.851931e+01	-1.822116e+01
1.950000e+01	-1.829384e+01	-1.861535e+01	-1.875097e+01	-1.867318e+01	-1.894628e+01	-1.876259e+01	-1.856145e+01	-1.826830e+01
2.050000e+01	-1.822993e+01	-1.859553e+01	-1.877491e+01	-1.871932e+01	-1.900575e+01	-1.875213e+01	-1.860455e+01	-1.831259e+01
2.150000e+01	-1.814991e+01	-1.856792e+01	-1.880528e+01	-1.875757e+01	-1.906828e+01	-1.874259e+01	-1.864146e+01	-1.835209e+01
2.250000e+01	-1.808115e+01	-1.852974e+01	-1.881676e+01	-1.878721e+01	-1.910327e+01	-1.872204e+01	-1.866605e+01	-1.839408e+01
2.350000e+01	-1.800107e+01	-1.847517e+01	-1.883131e+01	-1.880486e+01	-1.913486e+01	-1.869139e+01	-1.868139e+01	-1.841772e+01
2.450000e+01	-1.792497e+01	-1.842719e+01	-1.882453e+01	-1.881827e+01	-1.914997e+01	-1.865369e+01	-1.869461e+01	-1.842645e+01
