Time	U	B	V	R	I	gs	rs	is
1.500000e+00	-7.253314e+00	-9.851071e+00	-1.047122e+01	-1.133395e+01	-1.173099e+01	-1.031429e+01	-1.107096e+01	-1.128218e+01
2.500000e+00	-1.136523e+01	-1.235116e+01	-1.286902e+01	-1.318775e+01	-1.359330e+01	-1.266291e+01	-1.297434e+01	-1.307253e+01
3.500000e+00	-1.381249e+01	-1.401249e+01	-1.436106e+01	-1.446339e+01	-1.476334e+01	-1.424179e+01	-1.428740e+01	-1.419045e+01
4.500000e+00	-1.518880e+01	-1.515565e+01	-1.534594e+01	-1.542387e+01	-1.579965e+01	-1.532394e+01	-1.526148e+01	-1.511411e+01
5.500000e+00	-1.624122e+01	-1.595916e+01	-1.607015e+01	-1.613510e+01	-1.665373e+01	-1.608175e+01	-1.597135e+01	-1.588430e+01
6.500000e+00	-1.700256e+01	-1.656402e+01	-1.661126e+01	-1.667634e+01	-1.719136e+01	-1.665689e+01	-1.653044e+01	-1.641914e+01
7.500000e+00	-1.758913e+01	-1.705561e+01	-1.701624e+01	-1.706961e+01	-1.755255e+01	-1.710877e+01	-1.692988e+01	-1.678666e+01
8.500000e+00	-1.799555e+01	-1.740138e+01	-1.731887e+01	-1.735506e+01	-1.778009e+01	-1.742260e+01	-1.723508e+01	-1.701435e+01
9.500000e+00	-1.831141e+01	-1.765664e+01	-1.755009e+01	-1.759208e+01	-1.793483e+01	-1.766094e+01	-1.748282e+01	-1.719874e+01
1.050000e+01	-1.851165e+01	-1.784440e+01	-1.772624e+01	-1.777309e+01	-1.807823e+01	-1.783957e+01	-1.766563e+01	-1.736368e+01
1.150000e+01	-1.866205e+01	-1.799499e+01	-1.787762e+01	-1.790705e+01	-1.821831e+01	-1.798867e+01	-1.780124e+01	-1.749964e+01
1.250000e+01	-1.875872e+01	-1.810037e+01	-1.799647e+01	-1.803838e+01	-1.835478e+01	-1.809860e+01	-1.792611e+01	-1.764922e+01
1.350000e+01	-1.882548e+01	-1.819570e+01	-1.811209e+01	-1.815063e+01	-1.847151e+01	-1.820027e+01	-1.803970e+01	-1.776166e+01
1.450000e+01	-1.886129e+01	-1.825908e+01	-1.818564e+01	-1.824496e+01	-1.858207e+01	-1.827458e+01	-1.812529e+01	-1.787350e+01
1.550000e+01	-1.886811e+01	-1.830978e+01	-1.825670e+01	-1.831810e+01	-1.868356e+01	-1.833433e+01	-1.819488e+01	-1.796851e+01
1.650000e+01	-1.888016e+01	-1.835267e+01	-1.832426e+01	-1.839198e+01	-1.875733e+01	-1.839141e+01	-1.826646e+01	-1.803677e+01
1.750000e+01	-1.888572e+01	-1.839066e+01	-1.838204e+01	-1.844557e+01	-1.880905e+01	-1.843945e+01	-1.831859e+01	-1.809510e+01
1.850000e+01	-1.887496e+01	-1.842045e+01	-1.842257e+01	-1.849129e+01	-1.888387e+01	-1.847688e+01	-1.836024e+01	-1.815996e+01
1.950000e+01	-1.884519e+01	-1.843502e+01	-1.846285e+01	-1.852537e+01	-1.893835e+01	-1.850061e+01	-1.838640e+01	-1.822027e+01
2.050000e+01	-1.880159e+01	-1.845045e+01	-1.848498e+01	-1.854641e+01	-1.897157e+01	-1.852718e+01	-1.840461e+01	-1.824435e+01
2.150000e+01	-1.876472e+01	-1.846292e+01	-1.850880e+01	-1.857504e+01	-1.903061e+01	-1.854475e+01	-1.842894e+01	-1.828753e+01
2.250000e+01	-1.870306e+01	-1.847170e+01	-1.853713e+01	-1.860017e+01	-1.905917e+01	-1.856594e+01	-1.845841e+01	-1.828086e+01
2.350000e+01	-1.864025e+01	-1.847383e+01	-1.856746e+01	-1.862231e+01	-1.907424e+01	-1.857905e+01	-1.847982e+01	-1.829235e+01
2.450000e+01	-1.854575e+01	-1.847490e+01	-1.858526e+01	-1.862621e+01	-1.909402e+01	-1.859093e+01	-1.848351e+01	-1.830163e+01
