Time	U	B	V	R	I	gs	rs	is
1.500000e+00	NaN	-5.824896e+00	-7.134932e+00	-8.620476e+00	-1.015876e+01	-6.714969e+00	-8.581321e+00	-8.510257e+00
2.500000e+00	-1.079608e+01	-1.085577e+01	-1.136054e+01	-1.238332e+01	-1.284678e+01	-1.130202e+01	-1.217217e+01	-1.222798e+01
3.500000e+00	-1.362280e+01	-1.376189e+01	-1.428088e+01	-1.454252e+01	-1.476308e+01	-1.405641e+01	-1.434603e+01	-1.431881e+01
4.500000e+00	-1.530539e+01	-1.525644e+01	-1.554693e+01	-1.570327e+01	-1.600901e+01	-1.545500e+01	-1.554047e+01	-1.539035e+01
5.500000e+00	-1.652201e+01	-1.624409e+01	-1.640250e+01	-1.654026e+01	-1.719641e+01	-1.637711e+01	-1.635071e+01	-1.640686e+01
6.500000e+00	-1.746724e+01	-1.698711e+01	-1.702790e+01	-1.718983e+01	-1.788921e+01	-1.705522e+01	-1.701548e+01	-1.708016e+01
7.500000e+00	-1.805587e+01	-1.752472e+01	-1.748106e+01	-1.763352e+01	-1.830916e+01	-1.756500e+01	-1.746765e+01	-1.750194e+01
8.500000e+00	-1.845888e+01	-1.789632e+01	-1.782203e+01	-1.794301e+01	-1.855576e+01	-1.791691e+01	-1.780196e+01	-1.774416e+01
9.500000e+00	-1.874043e+01	-1.817967e+01	-1.806756e+01	-1.817067e+01	-1.868403e+01	-1.818441e+01	-1.805460e+01	-1.788255e+01
1.050000e+01	-1.893281e+01	-1.836595e+01	-1.824303e+01	-1.834925e+01	-1.881877e+01	-1.836067e+01	-1.824271e+01	-1.801817e+01
1.150000e+01	-1.903651e+01	-1.849696e+01	-1.837029e+01	-1.848324e+01	-1.893072e+01	-1.849284e+01	-1.838400e+01	-1.812064e+01
1.250000e+01	-1.909926e+01	-1.858935e+01	-1.846233e+01	-1.856900e+01	-1.905885e+01	-1.858308e+01	-1.847249e+01	-1.821280e+01
1.350000e+01	-1.915388e+01	-1.863313e+01	-1.852933e+01	-1.863557e+01	-1.917900e+01	-1.863700e+01	-1.853400e+01	-1.830174e+01
1.450000e+01	-1.916505e+01	-1.867163e+01	-1.859405e+01	-1.869695e+01	-1.929558e+01	-1.868553e+01	-1.858908e+01	-1.839430e+01
1.550000e+01	-1.918423e+01	-1.869155e+01	-1.863418e+01	-1.873852e+01	-1.938650e+01	-1.871318e+01	-1.862902e+01	-1.844683e+01
1.650000e+01	-1.917510e+01	-1.870670e+01	-1.867170e+01	-1.876994e+01	-1.947725e+01	-1.873742e+01	-1.865114e+01	-1.852011e+01
1.750000e+01	-1.917365e+01	-1.871428e+01	-1.869718e+01	-1.879630e+01	-1.953941e+01	-1.875855e+01	-1.867674e+01	-1.855199e+01
1.850000e+01	-1.917741e+01	-1.872336e+01	-1.873008e+01	-1.883376e+01	-1.960527e+01	-1.877675e+01	-1.871222e+01	-1.858547e+01
1.950000e+01	-1.917827e+01	-1.872736e+01	-1.875451e+01	-1.884894e+01	-1.962416e+01	-1.879269e+01	-1.872938e+01	-1.858250e+01
2.050000e+01	-1.917599e+01	-1.874154e+01	-1.878594e+01	-1.886237e+01	-1.965580e+01	-1.881740e+01	-1.874712e+01	-1.857279e+01
2.150000e+01	-1.918078e+01	-1.876039e+01	-1.881690e+01	-1.886927e+01	-1.966346e+01	-1.884463e+01	-1.875438e+01	-1.856235e+01
2.250000e+01	-1.915254e+01	-1.876714e+01	-1.882703e+01	-1.887088e+01	-1.966367e+01	-1.885243e+01	-1.876250e+01	-1.854083e+01
2.350000e+01	-1.912509e+01	-1.876351e+01	-1.886100e+01	-1.886623e+01	-1.963985e+01	-1.886121e+01	-1.876326e+01	-1.849895e+01
2.450000e+01	-1.909753e+01	-1.877215e+01	-1.886536e+01	-1.886042e+01	-1.963294e+01	-1.887259e+01	-1.876242e+01	-1.847054e+01
