Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.435620e+01	-1.359689e+01	-1.379188e+01	-1.367429e+01	-1.366197e+01	-1.376902e+01	-1.353258e+01	-1.329161e+01
1.500000e+00	-1.591988e+01	-1.552894e+01	-1.574648e+01	-1.569117e+01	-1.590859e+01	-1.576029e+01	-1.555395e+01	-1.541629e+01
2.500000e+00	-1.663714e+01	-1.647014e+01	-1.675664e+01	-1.667507e+01	-1.692803e+01	-1.672021e+01	-1.655442e+01	-1.637318e+01
3.500000e+00	-1.727424e+01	-1.716297e+01	-1.739527e+01	-1.729355e+01	-1.749881e+01	-1.738878e+01	-1.716678e+01	-1.700300e+01
4.500000e+00	-1.777984e+01	-1.770483e+01	-1.789410e+01	-1.778945e+01	-1.790096e+01	-1.790437e+01	-1.767309e+01	-1.742864e+01
5.500000e+00	-1.819440e+01	-1.813203e+01	-1.828601e+01	-1.813814e+01	-1.821590e+01	-1.831778e+01	-1.802762e+01	-1.775783e+01
6.500000e+00	-1.854537e+01	-1.845703e+01	-1.858479e+01	-1.844087e+01	-1.846836e+01	-1.862453e+01	-1.833830e+01	-1.802465e+01
7.500000e+00	-1.882767e+01	-1.872637e+01	-1.885054e+01	-1.866349e+01	-1.869038e+01	-1.889098e+01	-1.857207e+01	-1.822836e+01
8.500000e+00	-1.903721e+01	-1.894499e+01	-1.906031e+01	-1.883961e+01	-1.883541e+01	-1.910744e+01	-1.875794e+01	-1.836020e+01
9.500000e+00	-1.919671e+01	-1.911184e+01	-1.923976e+01	-1.898342e+01	-1.897493e+01	-1.927622e+01	-1.891076e+01	-1.846369e+01
1.050000e+01	-1.930798e+01	-1.924214e+01	-1.938971e+01	-1.910975e+01	-1.910789e+01	-1.941380e+01	-1.904486e+01	-1.857264e+01
1.150000e+01	-1.938289e+01	-1.934086e+01	-1.951950e+01	-1.919869e+01	-1.918580e+01	-1.952710e+01	-1.914737e+01	-1.860188e+01
1.250000e+01	-1.942053e+01	-1.941473e+01	-1.961652e+01	-1.928884e+01	-1.926676e+01	-1.960906e+01	-1.924516e+01	-1.864284e+01
1.350000e+01	-1.942245e+01	-1.945825e+01	-1.970333e+01	-1.935534e+01	-1.932207e+01	-1.966778e+01	-1.932256e+01	-1.865701e+01
1.450000e+01	-1.939441e+01	-1.948306e+01	-1.977507e+01	-1.941724e+01	-1.939188e+01	-1.971329e+01	-1.939123e+01	-1.866622e+01
1.550000e+01	-1.936090e+01	-1.948085e+01	-1.982843e+01	-1.946197e+01	-1.943766e+01	-1.972967e+01	-1.944281e+01	-1.866388e+01
1.650000e+01	-1.931558e+01	-1.947921e+01	-1.987732e+01	-1.949847e+01	-1.948558e+01	-1.974686e+01	-1.948683e+01	-1.864795e+01
1.750000e+01	-1.925520e+01	-1.945611e+01	-1.990403e+01	-1.952796e+01	-1.952123e+01	-1.973840e+01	-1.952335e+01	-1.863319e+01
1.850000e+01	-1.916707e+01	-1.940933e+01	-1.991224e+01	-1.953577e+01	-1.954431e+01	-1.971424e+01	-1.953690e+01	-1.859233e+01
1.950000e+01	-1.907951e+01	-1.936282e+01	-1.992677e+01	-1.956352e+01	-1.957276e+01	-1.968803e+01	-1.956722e+01	-1.858881e+01
2.050000e+01	-1.897211e+01	-1.929753e+01	-1.992882e+01	-1.956484e+01	-1.959332e+01	-1.964669e+01	-1.957066e+01	-1.857769e+01
2.150000e+01	-1.886850e+01	-1.922293e+01	-1.991134e+01	-1.957373e+01	-1.960526e+01	-1.959121e+01	-1.958086e+01	-1.856148e+01
2.250000e+01	-1.874055e+01	-1.915046e+01	-1.989239e+01	-1.955263e+01	-1.961461e+01	-1.953470e+01	-1.955957e+01	-1.855120e+01
2.350000e+01	-1.859518e+01	-1.906211e+01	-1.985570e+01	-1.953762e+01	-1.962626e+01	-1.946418e+01	-1.954523e+01	-1.854212e+01
2.450000e+01	-1.845163e+01	-1.896042e+01	-1.981034e+01	-1.951874e+01	-1.963375e+01	-1.938186e+01	-1.952431e+01	-1.855088e+01
