Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.192206e+01	-1.222659e+01	-1.263752e+01	-1.273524e+01	-1.279679e+01	-1.251043e+01	-1.259461e+01	-1.245792e+01
1.500000e+00	-1.364571e+01	-1.422399e+01	-1.462775e+01	-1.469464e+01	-1.469067e+01	-1.448828e+01	-1.456922e+01	-1.423989e+01
2.500000e+00	-1.493662e+01	-1.543101e+01	-1.574896e+01	-1.579598e+01	-1.589153e+01	-1.565938e+01	-1.565898e+01	-1.536957e+01
3.500000e+00	-1.589436e+01	-1.630622e+01	-1.651909e+01	-1.655672e+01	-1.674550e+01	-1.649012e+01	-1.642226e+01	-1.615716e+01
4.500000e+00	-1.655026e+01	-1.690981e+01	-1.706438e+01	-1.710423e+01	-1.734994e+01	-1.707009e+01	-1.695870e+01	-1.676719e+01
5.500000e+00	-1.704932e+01	-1.735095e+01	-1.747123e+01	-1.751910e+01	-1.779129e+01	-1.749572e+01	-1.737471e+01	-1.719251e+01
6.500000e+00	-1.739679e+01	-1.769462e+01	-1.779415e+01	-1.786732e+01	-1.811270e+01	-1.783076e+01	-1.772588e+01	-1.751348e+01
7.500000e+00	-1.766859e+01	-1.795133e+01	-1.805099e+01	-1.812843e+01	-1.835512e+01	-1.808425e+01	-1.800279e+01	-1.772655e+01
8.500000e+00	-1.785750e+01	-1.815957e+01	-1.827536e+01	-1.834532e+01	-1.857767e+01	-1.829961e+01	-1.822040e+01	-1.794646e+01
9.500000e+00	-1.801028e+01	-1.833110e+01	-1.844495e+01	-1.851109e+01	-1.874792e+01	-1.847338e+01	-1.838733e+01	-1.810338e+01
1.050000e+01	-1.812895e+01	-1.846960e+01	-1.860451e+01	-1.865577e+01	-1.889626e+01	-1.861950e+01	-1.853300e+01	-1.823489e+01
1.150000e+01	-1.819535e+01	-1.857436e+01	-1.875087e+01	-1.878410e+01	-1.901308e+01	-1.873748e+01	-1.866604e+01	-1.834156e+01
1.250000e+01	-1.824028e+01	-1.866620e+01	-1.885812e+01	-1.886889e+01	-1.911952e+01	-1.883687e+01	-1.875087e+01	-1.842278e+01
1.350000e+01	-1.826470e+01	-1.872688e+01	-1.896090e+01	-1.895082e+01	-1.921308e+01	-1.890969e+01	-1.883660e+01	-1.849073e+01
1.450000e+01	-1.826306e+01	-1.876764e+01	-1.903401e+01	-1.901213e+01	-1.927235e+01	-1.896288e+01	-1.890647e+01	-1.851861e+01
1.550000e+01	-1.822578e+01	-1.877577e+01	-1.909547e+01	-1.905490e+01	-1.932675e+01	-1.898893e+01	-1.895578e+01	-1.853784e+01
1.650000e+01	-1.816562e+01	-1.876084e+01	-1.914793e+01	-1.908343e+01	-1.934244e+01	-1.899708e+01	-1.899242e+01	-1.851724e+01
1.750000e+01	-1.810004e+01	-1.872881e+01	-1.917723e+01	-1.910683e+01	-1.936782e+01	-1.898418e+01	-1.902381e+01	-1.851138e+01
1.850000e+01	-1.800706e+01	-1.866532e+01	-1.920078e+01	-1.910687e+01	-1.937674e+01	-1.894892e+01	-1.903294e+01	-1.848218e+01
1.950000e+01	-1.790011e+01	-1.859181e+01	-1.920638e+01	-1.910568e+01	-1.936146e+01	-1.890358e+01	-1.903924e+01	-1.844146e+01
2.050000e+01	-1.775795e+01	-1.849926e+01	-1.918281e+01	-1.909246e+01	-1.935629e+01	-1.883333e+01	-1.903531e+01	-1.840076e+01
2.150000e+01	-1.758784e+01	-1.838551e+01	-1.915440e+01	-1.905943e+01	-1.933047e+01	-1.874943e+01	-1.900680e+01	-1.836299e+01
2.250000e+01	-1.739904e+01	-1.825927e+01	-1.909692e+01	-1.903153e+01	-1.928995e+01	-1.864525e+01	-1.898396e+01	-1.830978e+01
2.350000e+01	-1.719533e+01	-1.812172e+01	-1.902718e+01	-1.898201e+01	-1.926292e+01	-1.852742e+01	-1.893456e+01	-1.829101e+01
2.450000e+01	-1.695109e+01	-1.797047e+01	-1.893176e+01	-1.891963e+01	-1.923101e+01	-1.839404e+01	-1.887054e+01	-1.827175e+01
