Time	U	B	V	R	I	gs	rs	is
1.500000e+00	-9.655568e+00	-9.611832e+00	-1.038152e+01	-1.100844e+01	-1.168057e+01	-1.009565e+01	-1.079103e+01	-1.106545e+01
2.500000e+00	-1.363644e+01	-1.348701e+01	-1.385475e+01	-1.394603e+01	-1.440165e+01	-1.370020e+01	-1.377348e+01	-1.372323e+01
3.500000e+00	-1.597275e+01	-1.548982e+01	-1.550611e+01	-1.560806e+01	-1.617025e+01	-1.556915e+01	-1.545628e+01	-1.537042e+01
4.500000e+00	-1.743460e+01	-1.668727e+01	-1.652763e+01	-1.650635e+01	-1.675474e+01	-1.668662e+01	-1.641567e+01	-1.606025e+01
5.500000e+00	-1.812962e+01	-1.730869e+01	-1.718462e+01	-1.702798e+01	-1.700297e+01	-1.733289e+01	-1.696409e+01	-1.648975e+01
6.500000e+00	-1.854291e+01	-1.769307e+01	-1.757489e+01	-1.737099e+01	-1.727231e+01	-1.773018e+01	-1.731482e+01	-1.679894e+01
7.500000e+00	-1.881844e+01	-1.797009e+01	-1.785347e+01	-1.762426e+01	-1.745257e+01	-1.801669e+01	-1.756932e+01	-1.705111e+01
8.500000e+00	-1.900548e+01	-1.815244e+01	-1.803037e+01	-1.783154e+01	-1.765901e+01	-1.818784e+01	-1.778509e+01	-1.721871e+01
9.500000e+00	-1.914053e+01	-1.828923e+01	-1.819842e+01	-1.799509e+01	-1.783659e+01	-1.832822e+01	-1.794645e+01	-1.739681e+01
1.050000e+01	-1.923702e+01	-1.839973e+01	-1.829736e+01	-1.811203e+01	-1.798969e+01	-1.842766e+01	-1.805979e+01	-1.753137e+01
1.150000e+01	-1.929842e+01	-1.847042e+01	-1.837777e+01	-1.821654e+01	-1.814927e+01	-1.849474e+01	-1.815315e+01	-1.767510e+01
1.250000e+01	-1.933650e+01	-1.851393e+01	-1.841109e+01	-1.829986e+01	-1.826566e+01	-1.852622e+01	-1.822627e+01	-1.778024e+01
1.350000e+01	-1.936713e+01	-1.855754e+01	-1.845265e+01	-1.839349e+01	-1.838275e+01	-1.856043e+01	-1.831863e+01	-1.786442e+01
1.450000e+01	-1.939931e+01	-1.858966e+01	-1.848019e+01	-1.846447e+01	-1.851003e+01	-1.859299e+01	-1.837601e+01	-1.798838e+01
1.550000e+01	-1.943926e+01	-1.862787e+01	-1.852115e+01	-1.852940e+01	-1.860608e+01	-1.861965e+01	-1.843238e+01	-1.807156e+01
1.650000e+01	-1.945860e+01	-1.866073e+01	-1.856444e+01	-1.859195e+01	-1.871708e+01	-1.865651e+01	-1.848968e+01	-1.815130e+01
1.750000e+01	-1.948483e+01	-1.870520e+01	-1.860650e+01	-1.864175e+01	-1.880448e+01	-1.869733e+01	-1.854043e+01	-1.819479e+01
1.850000e+01	-1.947232e+01	-1.872896e+01	-1.864177e+01	-1.868738e+01	-1.891136e+01	-1.872273e+01	-1.857907e+01	-1.826752e+01
1.950000e+01	-1.944628e+01	-1.874293e+01	-1.867703e+01	-1.871006e+01	-1.899026e+01	-1.874310e+01	-1.859959e+01	-1.830662e+01
2.050000e+01	-1.942062e+01	-1.875953e+01	-1.871287e+01	-1.873546e+01	-1.905607e+01	-1.877092e+01	-1.862054e+01	-1.833689e+01
2.150000e+01	-1.936898e+01	-1.876062e+01	-1.873904e+01	-1.875649e+01	-1.914151e+01	-1.878473e+01	-1.863658e+01	-1.837832e+01
2.250000e+01	-1.932365e+01	-1.877027e+01	-1.876676e+01	-1.877737e+01	-1.919410e+01	-1.880451e+01	-1.865799e+01	-1.839777e+01
2.350000e+01	-1.928090e+01	-1.877065e+01	-1.879432e+01	-1.878852e+01	-1.923330e+01	-1.882009e+01	-1.866876e+01	-1.840246e+01
2.450000e+01	-1.923155e+01	-1.877310e+01	-1.881965e+01	-1.880649e+01	-1.925595e+01	-1.883810e+01	-1.868921e+01	-1.841475e+01
