Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.343023e+01	-1.319335e+01	-1.328219e+01	-1.332913e+01	-1.356736e+01	-1.337437e+01	-1.319687e+01	-1.312705e+01
1.500000e+00	-1.535732e+01	-1.517480e+01	-1.521843e+01	-1.509280e+01	-1.538997e+01	-1.532594e+01	-1.497185e+01	-1.487142e+01
2.500000e+00	-1.627342e+01	-1.603660e+01	-1.607204e+01	-1.589697e+01	-1.621510e+01	-1.620525e+01	-1.577170e+01	-1.565014e+01
3.500000e+00	-1.691922e+01	-1.669130e+01	-1.665540e+01	-1.647986e+01	-1.670276e+01	-1.682225e+01	-1.636529e+01	-1.617130e+01
4.500000e+00	-1.737883e+01	-1.713126e+01	-1.711969e+01	-1.692549e+01	-1.707121e+01	-1.727031e+01	-1.681738e+01	-1.656857e+01
5.500000e+00	-1.774878e+01	-1.751168e+01	-1.751955e+01	-1.727764e+01	-1.735371e+01	-1.764678e+01	-1.718350e+01	-1.686031e+01
6.500000e+00	-1.806050e+01	-1.780870e+01	-1.781289e+01	-1.755359e+01	-1.759287e+01	-1.794425e+01	-1.746180e+01	-1.711367e+01
7.500000e+00	-1.831781e+01	-1.807340e+01	-1.806179e+01	-1.778893e+01	-1.779506e+01	-1.820560e+01	-1.770290e+01	-1.733209e+01
8.500000e+00	-1.852748e+01	-1.826873e+01	-1.829467e+01	-1.799034e+01	-1.796945e+01	-1.840109e+01	-1.791419e+01	-1.748968e+01
9.500000e+00	-1.869550e+01	-1.844425e+01	-1.847492e+01	-1.817337e+01	-1.813504e+01	-1.858499e+01	-1.809493e+01	-1.768955e+01
1.050000e+01	-1.882737e+01	-1.858118e+01	-1.861601e+01	-1.830320e+01	-1.827414e+01	-1.872844e+01	-1.822609e+01	-1.780915e+01
1.150000e+01	-1.893311e+01	-1.870576e+01	-1.875830e+01	-1.843264e+01	-1.838586e+01	-1.885896e+01	-1.835803e+01	-1.792804e+01
1.250000e+01	-1.903090e+01	-1.881080e+01	-1.887542e+01	-1.855219e+01	-1.849247e+01	-1.897295e+01	-1.848428e+01	-1.802198e+01
1.350000e+01	-1.906780e+01	-1.888029e+01	-1.898011e+01	-1.865353e+01	-1.858894e+01	-1.905247e+01	-1.859568e+01	-1.808361e+01
1.450000e+01	-1.909686e+01	-1.893509e+01	-1.905833e+01	-1.873871e+01	-1.870210e+01	-1.911693e+01	-1.868170e+01	-1.816336e+01
1.550000e+01	-1.911348e+01	-1.897459e+01	-1.912856e+01	-1.880511e+01	-1.877883e+01	-1.916744e+01	-1.874962e+01	-1.821742e+01
1.650000e+01	-1.910759e+01	-1.900387e+01	-1.918603e+01	-1.887025e+01	-1.884148e+01	-1.920602e+01	-1.881732e+01	-1.824552e+01
1.750000e+01	-1.909576e+01	-1.901212e+01	-1.924404e+01	-1.892282e+01	-1.891119e+01	-1.923055e+01	-1.887402e+01	-1.828684e+01
1.850000e+01	-1.906598e+01	-1.901840e+01	-1.928831e+01	-1.898247e+01	-1.896067e+01	-1.924456e+01	-1.893505e+01	-1.831755e+01
1.950000e+01	-1.903078e+01	-1.900515e+01	-1.931935e+01	-1.901687e+01	-1.903941e+01	-1.924801e+01	-1.896504e+01	-1.837727e+01
2.050000e+01	-1.897801e+01	-1.899276e+01	-1.935058e+01	-1.906907e+01	-1.907946e+01	-1.924727e+01	-1.902075e+01	-1.840209e+01
2.150000e+01	-1.892891e+01	-1.896330e+01	-1.936429e+01	-1.909811e+01	-1.914285e+01	-1.923068e+01	-1.904767e+01	-1.843613e+01
2.250000e+01	-1.885777e+01	-1.892395e+01	-1.936959e+01	-1.913001e+01	-1.917130e+01	-1.920317e+01	-1.908015e+01	-1.845713e+01
2.350000e+01	-1.879007e+01	-1.889315e+01	-1.937586e+01	-1.914504e+01	-1.920512e+01	-1.918399e+01	-1.909601e+01	-1.847021e+01
2.450000e+01	-1.869366e+01	-1.883376e+01	-1.937130e+01	-1.915753e+01	-1.925622e+01	-1.914148e+01	-1.910568e+01	-1.850303e+01
