Time	U	B	V	R	I	gs	rs	is
5.000000e-01	-1.233752e+01	-1.242071e+01	-1.277341e+01	-1.280752e+01	-1.280459e+01	-1.265668e+01	-1.268731e+01	-1.231552e+01
1.500000e+00	-1.425959e+01	-1.429899e+01	-1.469940e+01	-1.457710e+01	-1.482566e+01	-1.458453e+01	-1.446662e+01	-1.423153e+01
2.500000e+00	-1.520980e+01	-1.528106e+01	-1.549667e+01	-1.551497e+01	-1.569484e+01	-1.550192e+01	-1.540076e+01	-1.512239e+01
3.500000e+00	-1.587029e+01	-1.598831e+01	-1.622604e+01	-1.615237e+01	-1.642214e+01	-1.621762e+01	-1.603791e+01	-1.581572e+01
4.500000e+00	-1.647615e+01	-1.652972e+01	-1.671041e+01	-1.667056e+01	-1.694715e+01	-1.673061e+01	-1.654089e+01	-1.636021e+01
5.500000e+00	-1.702605e+01	-1.701427e+01	-1.714143e+01	-1.706612e+01	-1.731832e+01	-1.718899e+01	-1.694753e+01	-1.673114e+01
6.500000e+00	-1.747328e+01	-1.743192e+01	-1.752241e+01	-1.742369e+01	-1.763433e+01	-1.759826e+01	-1.731735e+01	-1.705244e+01
7.500000e+00	-1.786896e+01	-1.775481e+01	-1.782249e+01	-1.770152e+01	-1.783036e+01	-1.790385e+01	-1.760151e+01	-1.727526e+01
8.500000e+00	-1.819746e+01	-1.802682e+01	-1.806817e+01	-1.792905e+01	-1.803077e+01	-1.816139e+01	-1.783636e+01	-1.748469e+01
9.500000e+00	-1.846808e+01	-1.826847e+01	-1.829273e+01	-1.812445e+01	-1.817738e+01	-1.839448e+01	-1.803993e+01	-1.764314e+01
1.050000e+01	-1.867335e+01	-1.844505e+01	-1.846329e+01	-1.828668e+01	-1.831919e+01	-1.857017e+01	-1.820264e+01	-1.779168e+01
1.150000e+01	-1.884049e+01	-1.859817e+01	-1.861280e+01	-1.843110e+01	-1.844324e+01	-1.871716e+01	-1.835723e+01	-1.790633e+01
1.250000e+01	-1.895128e+01	-1.871678e+01	-1.874546e+01	-1.854447e+01	-1.854734e+01	-1.884302e+01	-1.847976e+01	-1.799095e+01
1.350000e+01	-1.902833e+01	-1.882448e+01	-1.885183e+01	-1.864350e+01	-1.865929e+01	-1.895641e+01	-1.858069e+01	-1.807175e+01
1.450000e+01	-1.907776e+01	-1.889834e+01	-1.894497e+01	-1.872366e+01	-1.876318e+01	-1.903678e+01	-1.866414e+01	-1.814650e+01
1.550000e+01	-1.909880e+01	-1.895930e+01	-1.902552e+01	-1.881029e+01	-1.886794e+01	-1.910432e+01	-1.875618e+01	-1.820794e+01
1.650000e+01	-1.910495e+01	-1.899915e+01	-1.909604e+01	-1.886632e+01	-1.894789e+01	-1.915690e+01	-1.881193e+01	-1.824915e+01
1.750000e+01	-1.910249e+01	-1.903529e+01	-1.914625e+01	-1.892357e+01	-1.905781e+01	-1.919730e+01	-1.886322e+01	-1.832898e+01
1.850000e+01	-1.906976e+01	-1.904707e+01	-1.920114e+01	-1.896335e+01	-1.912259e+01	-1.922367e+01	-1.890254e+01	-1.836467e+01
1.950000e+01	-1.903485e+01	-1.905902e+01	-1.923257e+01	-1.900695e+01	-1.916908e+01	-1.923859e+01	-1.894646e+01	-1.838616e+01
2.050000e+01	-1.897755e+01	-1.904781e+01	-1.926286e+01	-1.904029e+01	-1.921733e+01	-1.924097e+01	-1.898219e+01	-1.840761e+01
2.150000e+01	-1.891785e+01	-1.904617e+01	-1.928701e+01	-1.906921e+01	-1.925729e+01	-1.924662e+01	-1.900981e+01	-1.843447e+01
2.250000e+01	-1.885852e+01	-1.903132e+01	-1.930803e+01	-1.910092e+01	-1.928589e+01	-1.924304e+01	-1.904243e+01	-1.844501e+01
2.350000e+01	-1.877365e+01	-1.899744e+01	-1.930719e+01	-1.910711e+01	-1.930906e+01	-1.921746e+01	-1.905084e+01	-1.843768e+01
2.450000e+01	-1.867713e+01	-1.896274e+01	-1.930668e+01	-1.911701e+01	-1.934120e+01	-1.919360e+01	-1.905826e+01	-1.846092e+01
